year,ff_no,ff_semi,ff_yes,mm_no,mm_semi,mm_yes,mf_no,mf_semi,mf_yes
2013,27.83933518,0,72.16066482,84.01120056,10.04750238,5.941297065,14.14901554,4.197346654,81.65363781
2014,51.03575482,0,48.96424518,81.97535507,10.49694831,7.527696624,18.63164517,3.954073608,77.41428122
2015,27.30480812,5.006616674,67.68857521,81.18247553,11.0317918,7.785732669,21.56500814,8.116274936,70.31871693
2016,27.93990301,5.76073779,66.2993592,80.58839748,10.59734884,8.814253682,22.60448306,15.20704372,62.18847322
2017,31.44130156,7.494768109,61.06393033,79.94619448,9.861549426,10.1922561,22.90046358,16.28319944,60.81633698
2018,0,0,0,0,0,0,0,0,0
2019,40.80798281,6.29662994,52.89538725,81.11067692,8.290561296,10.59876179,24.60428997,11.87763958,63.51807046
2020,42.45078546,5.418525086,52.13068945,80.97400503,7.762416433,11.26357854,24.23306921,11.30714828,64.45978251
2021,42.21549151,5.504431874,52.28007661,80.9581225,7.293958581,11.74791892,24.23518552,12.5666561,63.19815837
2022,46.64249189,6.255780177,47.10172794,81.38144229,6.682130639,11.93642707,24.07832069,12.44545766,63.47622165
2023,50.12597328,6.005653564,43.86837316,81.92872298,6.208606377,11.86267064,24.10274686,12.65489325,63.24235988
