rank,change,ship,fandom,works,gender,genderA,genderB,raceA,raceB
1,0,Castiel/Dean Winchester,Supernatural,102783,M/M,M,M,White,White
2,0,Sherlock Holmes/John Watson,Sherlock,63386,M/M,M,M,White,White
3,0,Derek Hale/Stiles Stilinski,Teen Wolf,63333,M/M,M,M,White,White
4,1,Draco Malfoy/Harry Potter,Harry Potter,59048,M/M,M,M,White,White
5,-1,"James ""Bucky"" Barnes/Steve Rogers",Captain America,58160,M/M,M,M,White,White
6,1,Aziraphale/Crowley,Good Omens,45362,N/N,M,M,White,White
7,-1,Steve Rogers/Tony Stark,The Avengers,42239,M/M,M,M,White,White
8,4,Sirius Black/Remus Lupin,Harry Potter,40881,M/M,M,M,White,White
9,-1,Harry Styles/Louis Tomlinson,One Direction,39028,M/M,M,M,White,White
10,0,Bakugou Katsuki/Midoriya Izuku,My Hero Academia,38415,M/M,M,M,Asian,Asian
11,-2,Jungkook/V,BTS,35024,M/M,M,M,Asian,Asian
12,1,Lán Zhàn/Wèi Yīng,Módào Zǔshī,34632,M/M,M,M,Asian,Asian
13,1,Adrien Agreste/Marinette Dupain-Cheng,Miraculous Ladybug,33169,F/M,M,F,White,Asian
14,-3,Keith/Lance,Voltron: Legendary Defender,32035,M/M,M,M,Ambiguous,Latino
15,0,Dean Winchester/Sam Winchester,Supernatural,30257,M/M,M,M,White,White
16,0,Magnus Bane/Alec Lightwood,Shadowhunters,29501,M/M,M,M,Asian,White
17,1,Bakugou Katsuki/Kirishima Eijirou,My Hero Academia,29316,M/M,M,M,Asian,Asian
18,3,Merlin/Arthur Pendragon,Merlin,27082,M/M,M,M,White,White
19,1,Peter Parker & Tony Stark,Marvel Cinematic Universe,26868,M/M,M,M,White,White
20,2,Jungkook/Park Jimin,BTS,26552,M/M,M,M,Asian,Asian
21,-4,Rey/Kylo Ren,Star Wars Sequel Trilogy,26363,F/M,F,M,White,White
22,1,Suga/Park Jimin,BTS,26124,M/M,M,M,Asian,Asian
23,1,Will Graham/Hannibal Lecter,Hannibal,25643,M/M,M,M,White,White
24,-5,Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice,25253,M/M,M,M,Asian,White
25,4,Hermione Granger/Draco Malfoy,Harry Potter,24827,F/M,F,M,Ambiguous,White
26,10,Dazai Osamu/Nakahara Chuuya,Bungou Stray Dogs,24005,M/M,M,M,Asian,Asian
27,1,Dream/GeorgeNotFound,Video Blogging RPF,22989,M/M,M,M,White,White
28,2,James Potter/Lily Evans Potter,Harry Potter,22759,F/M,F,M,White,White
29,-4,Midoriya Izuku/Todoroki Shouto,My Hero Academia,22486,M/M,M,M,Asian,Asian
30,-3,RM/Jin,BTS,21567,M/M,M,M,Asian,Asian
31,-5,Pepper Potts/Tony Stark,Marvel Cinematic Universe,21033,F/M,F,M,White,White
32,14,Wilbur Soot & TommyInnit,YouTube RPF,20602,M/M,M,M,White,White
33,5,Eraserhead/Present Mic,My Hero Academia,20070,M/M,M,M,Asian,Asian
34,10,Wilbur Soot & Technoblade & TommyInnit & Phil Watson,YouTube RPF,19889,Multi,M,M,White,White
35,New,Steve Harrington/Eddie Munson,Stranger Things,19870,M/M,M,M,White,White
36,-4,Kara Danvers/Lena Luthor,Supergirl,19455,F/F,F,F,White,White
37,-4,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,19147,M/M,M,M,Asian,Asian
38,-4,Geralt of Rivia/Dandelion,The Witcher,18753,M/M,M,M,White,White
39,-2,Hermione Granger/Ron Weasley,Harry Potter,18730,F/M,F,M,Ambiguous,White
40,-9,Sherlock Holmes & John Watson,Sherlock,18470,M/M,M,M,White,White
