year,ship,fandom,Genre,collapsedFandom,totalWorks,relType,isCanon,isRPF
2024,Castiel/Dean Winchester,Supernatural,Fantasy,,105320,M/M,Semi-Canon,No
2024,Draco Malfoy/Harry Potter,Harry Potter,Fantasy,,64661,M/M,No,No
2024,Sherlock Holmes/John Watson,Sherlock,Crime,,63802,M/M,No,No
2024,Derek Hale/Stiles Stilinski,Teen Wolf,Fantasy,,63573,M/M,No,No
2024,"James ""Bucky"" Barnes/Steve Rogers",Marvel Cinematic Universe,Superhero,Marvel,58508,M/M,No,No
2024,Sirius Black/Remus Lupin,Harry Potter,Fantasy,,50280,M/M,No,No
2024,Bakugou Katsuki/Midoriya Izuku,My Hero Academia,Superhero,,42852,M/M,No,No
2024,Steve Rogers/Tony Stark,Marvel Cinematic Universe,Superhero,Marvel,42143,M/M,No,No
2024,Lán Zhàn/Wèi Yīng,Módào Zǔshī,Fantasy,,37617,M/M,Yes,No
2024,Merlin/Arthur Pendragon,Merlin,Fantasy,,33355,M/M,No,No
2024,Keith/Lance,Voltron: Legendary Defender,Fantasy,Voltron,32753,M/M,No,No
2024,Dazai Osamu/Nakahara Chuuya,Bungou Stray Dogs,Fantasy,,32716,M/M,No,No
2024,Dean Winchester/Sam Winchester,Supernatural,Fantasy,,31002,M/M,No,No
2024,Bakugou Katsuki/Kirishima Eijirou,My Hero Academia,Superhero,,30256,M/M,No,No
2024,Magnus Bane/Alec Lightwood,Mortal Instruments Series,Fantasy,The Shadowhunter Chronicles,29452,M/M,Yes,No
2024,Will Graham/Hannibal Lecter,Hannibal,Thriller,,28306,M/M,Yes,No
2024,Steve Harrington/Eddie Munson,Stranger Things,Thriller,,25391,M/M,No,No
2024,Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice,Sports,,24747,M/M,Yes,No
2024,"Evan ""Buck"" Buckley/Eddie Diaz",9-1-1,Crime,,23954,M/M,No,No
2024,Midoriya Izuku/Todoroki Shouto,My Hero Academia,Superhero,,23132,M/M,No,No
2024,Aizawa Shouta/Yamada Hizashi,My Hero Academia,Superhero,,22545,M/M,No,No
2024,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,Sports,,19826,M/M,No,No
2024,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,Sports,,18819,M/M,No,No
2024,James T. Kirk/Spock,Star Trek,Science Fiction,Star Trek,18055,M/M,No,No
2024,Blackbeard/Stede Bonnet,Our Flag Means Death,Romance,,18050,M/M,Yes,No
2024,Levi Ackerman/Eren Yeager,Attack on Titan,Fantasy,,17416,M/M,No,No
2024,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,Sports,,16933,M/M,No,No
2024,Blaine Anderson/Kurt Hummel,Glee,Slice of Life,,16910,M/M,Yes,No
2024,Erik Lehnsherr/Charles Xavier,X-Men,Superhero,X-Men,16587,M/M,No,No
2024,Harry Potter/Severus Snape,Harry Potter,Fantasy,,16420,M/M,No,No
2024,Ian Gallagher/Mickey Milkovich,Shameless,Slice of Life,,15997,M/M,Yes,No
2024,Regulus Black/James Potter,Harry Potter,Fantasy,,15511,M/M,No,No
2024,Getou Suguru/Gojo Satoru,Jujutsu Kaisen,Fantasy,,15265,M/M,No,No
2024,Eddie Kaspbrak/Richie Tozier,IT,Thriller,,14992,M/M,Semi-Canon,No
2024,Uchiha Sasuke/Uzumaki Naruto,Naruto,Fantasy,,14826,M/M,No,No
2024,Tartaglia/Zhongli,Genshin Impact,Video Game,,14671,M/M,No,No
2024,Armitage Hux/Kylo Ren,Star Wars Episode VII: The Force Awakens,Science Fiction,Star Wars,14550,M/M,No,No
2024,Keith/Shiro,Voltron: Legendary Defender,Fantasy,Voltron,14534,M/M,No,No
2024,Gabriel/Sam Winchester,Supernatural,Fantasy,,13402,M/M,No,No
2024,Rodney McKay/John Sheppard,Stargate Atlantis,Science Fiction,Stargate,13253,M/M,No,No
2024,Levi Ackerman/Erwin Smith,Attack on Titan,Fantasy,,12963,M/M,No,No
2024,Harry Potter/Voldemort,Harry Potter,Fantasy,,12790,M/M,No,No
2024,Mycroft Holmes/Greg Lestrade,Sherlock,Crime,,12769,M/M,No,No
2024,Nico di Angelo/Will Solace,Percy Jackson and the Olympians,Fantasy,,12365,M/M,Yes,No
2024,Miya Atsumu/Sakusa Kiyoomi,Haikyuu!!,Sports,,12326,M/M,No,No
2024,Jack Harkness/Ianto Jones,Torchwood,Science Fiction,,12276,M/M,Yes,No
2024,Alhaitham/Kaveh,Genshin Impact,Video Game,,11890,M/M,No,No
2024,Bakugou Katsuki/Todoroki Shouto,My Hero Academia,Superhero,,11682,M/M,No,No
2024,Dabi/Hawks,My Hero Academia,Superhero,,11658,M/M,No,No
2024,Enjolras/Grantaire,Les Misérables,Historical,,11600,M/M,Semi-Canon,No
2024,Roronoa Zoro/Sanji Vinsmoke,One Piece,Fantasy,,11539,M/M,No,No
2024,Bilbo Baggins/Thorin Oakenshield,The Hobbit,Fantasy,Tolkien,11473,M/M,No,No
