year,ship,fandom,Genre,collapsedFandom,totalWorks,relType,isCanon,isRPF
2023,Clay | Dream/GeorgeNotFound,Youtube RPF,Youtube RPF,,23187,M/M,No,Yes
2023,Wilbur Soot & TommyInnit,YouTube RPF,Youtube RPF,,21845,Gen,Yes,Yes
2023,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,YouTube RPF,Youtube RPF,,20859,Gen,Yes,Yes
2023,Dan Howell/Phil Lester,YouTube RPF,Youtube RPF,,16546,M/M,Yes,Yes
2023,Toby Smith | Tubbo & TommyInnit,Youtube RPF,Youtube RPF,,15005,Gen,Yes,Yes
2023,Technoblade & TommyInnit,YouTube RPF,Youtube RPF,,13065,Gen,Yes,Yes
2023,Ranboo & Toby Smith | Tubbo,Youtube RPF,Youtube RPF,,10551,Gen,Yes,Yes
2023,Technoblade & Phil Watson | Philza,YouTube RPF,Youtube RPF,,8813,Gen,Yes,Yes
2023,Ranboo & TommyInnit,Youtube RPF,Youtube RPF,,8146,Gen,Yes,Yes
2023,Wilbur Soot & Technoblade,YouTube RPF,Youtube RPF,,7917,Gen,Yes,Yes
2023,TommyInnit & Phil Watson | Philza,Youtube RPF,Youtube RPF,,7781,Gen,Yes,Yes
2023,Ranboo & Toby Smith | Tubbo & TommyInnit,Youtube RPF,Youtube RPF,,7717,Gen,Yes,Yes
2023,Clay | Dream & TommyInnit,Youtube RPF,Youtube RPF,,6761,Gen,Yes,Yes
2023,Clay | Dream & GeorgeNotFound & Sapnap,Youtube RPF,Youtube RPF,,6550,Gen,Yes,Yes
2023,Wilbur Soot & Phil Watson | Philza,YouTube RPF,Youtube RPF,,5922,Gen,Yes,Yes
2023,Dan Howell & Phil Lester,YouTube RPF,Youtube RPF,,4861,Gen,Yes,Yes
2023,Clay | Dream & Sapnap,Youtube RPF,Youtube RPF,,4665,Gen,Yes,Yes
2023,Clay | Dream & GeorgeNotFound,Youtube RPF,Youtube RPF,,3952,Gen,Yes,Yes
2023,Kristin Rosales Watson/Phil Watson | Philza,YouTube RPF,Youtube RPF,,3722,F/M,Yes,Yes
2023,Alexis | Quackity/Wilbur Soot,Youtube RPF,Youtube RPF,,3598,M/M,No,Yes
2023,Clay | Dream & Technoblade,Youtube RPF,Youtube RPF,,3569,Gen,Yes,Yes
2023,Clay | Dream/Sapnap,Youtube RPF,Youtube RPF,,3461,M/M,No,Yes
2023,Zak Ahmed | Skeppy/Darryl Noveschosch | BadBoyHalo,YouTube RPF,Youtube RPF,,3261,M/M,No,Yes
2023,Ranboo/Toby Smith | Tubbo,Youtube RPF,Youtube RPF,,2693,M/M,No,Yes
2023,Ranboo & Technoblade,Youtube RPF,Youtube RPF,,2691,Gen,Yes,Yes
2023,GeorgeNotFound/Sapnap,YouTube RPF,Youtube RPF,,2576,M/M,No,Yes
2023,Clay | Dream/Technoblade,Youtube RPF,Youtube RPF,,2305,M/M,No,Yes
2023,Wilbur Soot/TommyInnit,YouTube RPF,Youtube RPF,,2256,M/M,No,Yes
