value,count
Alternate Universe,159
Fluff,112
,108
Angst,81
Romance,79
AU,70
Age Difference,63
Anal Sex,59
Hurt/Comfort,43
Blow Jobs,41
Dom/sub,40
Not Blaine or Klaine Friendly,39
Alternate Universe - Different First Meeting,37
Alternate Universe - Canon Divergence,37
Klaine,36
Rimming,35
Future Fic,34
BDSM,33
Alternate Universe - Soulmates,30
Alternate Universe - College/University,30
Friends to Lovers,28
First Time,27
Hand Jobs,27
Dirty Talk,26
Bullying,24
Friendship,24
Boypussy Kurt,23
Mpreg,23
Anal Fingering,23
Orgasm Delay/Denial,23
Smut,22
Slow Burn,22
Humor,22
Boypussy,21
Minor Character Death,20
Barebacking,19
Drama,19
Homophobia,18
Angst with a Happy Ending,18
Masturbation,18
Spanking,18
Oral Sex,18
Not Blaine Friendly,18
Soulmates,17
Emotional Hurt/Comfort,16
Happy Ending,16
Dubious Consent,16
Infidelity,16
Frottage,15
Violence,15
Rough Sex,14
Depression,14
Fluff and Angst,14
Sebastian Smythe is Barry Allen | The Flash,14
Slow Build,13
bp!Blaine,13
Fake/Pretend Relationship,13
Dom Kurt,13
D/s,13
Bondage,13
Explicit Sexual Content,12
Alternate Universe - BDSM,12
Meet-Cute,12
Size Kink,12
Crossover,12
kurtbastian,12
Blangst,11
Kissing,11
Daddy Kink,11
BadBoy!Blaine,11
Friends With Benefits,11
Light Bondage,11
Sex Toys,11
Family,10
Innocence,10
Squirting,10
Teacher-Student Relationship,10
Sub Blaine,10
Alternate Universe - Future,10
Skank Kurt Hummel,9
Comeplay,9
Threesome - M/M/M,9
Light Angst,9
Voyeurism,9
Knotting,9
Jealousy,9
bp!Kurt,9
Humiliation,9
Post-Traumatic Stress Disorder - PTSD,8
Phone Sex,8
College,8
Overstimulation,8
Fix-It,8
Hybrids,8
Established Relationship,8
Chastity Device,8
Implied Sexual Content,8
Fluff and Humor,8
Arguing,8
AnderBros,8
Infantilism,8
Anxiety,8
Cock & Ball Torture,8
Secret Relationship,8
sub!Blaine,8
Alternate Universe - Canon,8
Break Up,8
Punishment,8
Minor Violence,7
Kidnapping,7
Mental Health Issues,7
Soulmate-Identifying Marks,7
Underage Drinking,7
Pining,7
Episode Related,7
Cheerio!Kurt,7
Supernatural Elements,7
Arranged Marriage,7
Misunderstandings,7
Not Rachel Friendly,7
future!fic,7
Dom!Kurt,7
Abusive Relationships,7
Multiple Orgasms,7
Rape/Non-con Elements,7
Not Klaine Friendly,6
Glee AU,6
Possessive Behavior,6
Face-Fucking,6
Subspace,6
Famous Blaine,6
Loss of Virginity,6
Cheating,6
Drunkenness,6
Bottom Blaine,6
Schmoop,6
married!klaine,6
Coming Out,6
Sexual Content,6
Fluff and Smut,6
Canonical Character Death,6
Community: glee_angst_meme,6
Enemies to Lovers,6
Broadway,6
Drunk Sex,6
Bottom Kurt,6
NYADA,6
Child Abuse,6
Dalton Academy,6
Polyamory,6
Suicidal Thoughts,6
Diapers,6
Enemies to Friends to Lovers,6
GKM Fill,6
Attempted Rape/Non-Con,6
Mating Cycles/In Heat,6
Flirting,6
Restraints,5
Roommates,5
First Kiss,5
Alternate Universe - Modern Setting,5
Famous Kurt,5
Semi-Public Sex,5
Social Media,5
Alternate Universe - Slavery,5
Crack,5
Vampires,5
famous!blaine,5
Jock!Kurt,5
Explicit Language,5
Alternate Universe - Fantasy,5
Character Death,5
Comedy,5
Canon Compliant,5
Werewolves,5
Unrequited Love,5
Magic,5
Implied/Referenced Homophobia,5
Domestic,5
Master/Slave,5
Anal,5
Riding,5
Love,5
BAMF Kurt Hummel,5
Emotional Manipulation,5
Glee - Freeform,5
Pregnancy,5
One Shot,5
Double Penetration,5
Past Abuse,5
Teacher Blaine,5
Dom/sub Undertones,5
Prostitution,5
Murder,5
Blackmail,5
Slavery,5
Dom!Blaine,5
Communication,5
Domestic Violence,5
Painplay,5
Exhibitionism,5
Science Fiction,5
Deaf!Blaine,4
Sugar Daddy,4
Breathplay,4
Anderberry Siblings,4
innocent!Kurt,4
