value,count
Explicit Sexual Content,304
Harry Potter Epilogue What Epilogue | EWE,270
Romance,188
Smut,175
Slow Burn,157
Angst,150
Hogwarts Eighth Year,127
Mutual Pining,121
POV Draco Malfoy,119
POV Hermione Granger,118
Praise Kink,117
Post-War,116
Fluff,113
Oral Sex,111
Fluff and Smut,99
Dirty Talk,97
Post-Hogwarts,92
Enemies to Lovers,91
Eventual Smut,90
Pining Draco Malfoy,90
Humor,83
Explicit Language,80
Co-workers,80
Angst with a Happy Ending,80
Alternate Universe - Canon Divergence,77
Ron Weasley Bashing,68
Hurt/Comfort,66
Sexual Tension,65
Sexual Content,64
Possessive Draco Malfoy,63
Fluff and Angst,63
Pining,60
Draco Malfoy Has a Large Cock,60
Post-Traumatic Stress Disorder - PTSD,60
Shameless Smut,57
Plot What Plot/Porn Without Plot,57
HEA,57
Banter,57
Idiots in Love,56
Happy Ending,55
Enemies to Friends to Lovers,54
BAMF Hermione Granger,53
Rough Sex,52
Friends to Lovers,52
Auror Draco Malfoy,51
Cunnilingus,51
Ministry of Magic Employee Hermione Granger,51
Minor Character Death,49
Dubious Consent,48
Porn With Plot,48
Protective Draco Malfoy,47
Masturbation,47
Vaginal Fingering,46
Alpha/Beta/Omega Dynamics,46
Loss of Virginity,46
Eventual Romance,44
Vaginal Sex,42
Semi-Public Sex,42
Secret Relationship,40
Fluff and Humor,39
Head Girl Hermione Granger,39
Possessive Behavior,37
Fake/Pretend Relationship,37
Not Epilogue Compliant,36
Past Hermione Granger/Ron Weasley,36
Drama,35
Knotting,35
Alpha Draco Malfoy,35
Breeding Kink,34
Anal Sex,34
Post-Battle of Hogwarts,34
Spanking,34
Voyeurism,34
Sex,34
Unplanned Pregnancy,34
Pregnancy,34
Light Angst,32
Jealousy,32
Omega Hermione Granger,32
Ministry of Magic Employee Draco Malfoy,31
Alternate Universe,31
Light Dom/sub,31
Established Relationship,30
Porn with Feelings,30
Good Draco Malfoy,30
Exhibitionism,30
Alpha/Omega,30
Flirting,30
Healing,30
Forced Marriage,30
marriage law,29
Blow Jobs,29
Gratuitous Smut,29
Threesome - F/M/M,29
Multiple Orgasms,29
Rape/Non-con Elements,29
Healer Hermione Granger,28
idiots to lovers,28
Miscommunication,28
Head Boy Draco Malfoy,28
Christmas,28
Soulmates,28
Eventual Happy Ending,28
Mating Cycles/In Heat,27
dramione - Freeform,27
Mystery,27
