value,count
Fluff,328
Angst,217
Smut,202
Top Jeon Jungkook,199
Bottom Kim Taehyung | V,199
Anal Sex,179
Alpha/Beta/Omega Dynamics,177
Slow Burn,174
Alternate Universe - College/University,171
Explicit Sexual Content,154
Hurt/Comfort,134
Angst with a Happy Ending,128
Rimming,125
Alpha Jeon Jungkook,120
Anal Fingering,116
Blow Jobs,111
Bottom Jeon Jungkook,111
Omega Kim Taehyung | V,106
Fluff and Angst,94
Eventual Smut,93
Top Kim Taehyung | V,91
Jeon Jungkook is Whipped,87
Strangers to Lovers,82
Light Angst,81
Mating Cycles/In Heat,77
Sexual Tension,76
Fluff and Smut,76
Dirty Talk,72
Friends to Lovers,72
Alternate Universe,71
Enemies to Lovers,70
Romance,68
Happy Ending,66
Pining,66
Knotting,66
Mutual Pining,65
Spanking,61
Falling In Love,60
Jeon Jungkook is Bad at Feelings,60
Praise Kink,59
Hand Jobs,58
Alpha Min Yoongi | Suga,57
Minor Character Death,56
taekook,55
Domestic Fluff,55
Mpreg,55
Dom/sub Undertones,53
Established Relationship,52
Violence,51
Dom/sub,51
Alpha Kim Namjoon | RM,51
Jeon Jungkook-centric,50
Barebacking,50
Misunderstandings,50
Emotional Hurt/Comfort,48
Non-Traditional Alpha/Beta/Omega Dynamics,48
OT7,47
Kim Taehyung | V is Whipped,47
Tooth-Rotting Fluff,46
Kim Taehyung | V & Park Jimin are Best Friends,46
Exhibitionism,46
Overstimulation,46
Alternate Universe - Fantasy,46
Oral Sex,45
Sub Jeon Jungkook,45
Canon Compliant,42
Alternate Universe - Soulmates,42
Alternate Universe - Modern Setting,42
Sex Toys,42
Sub Kim Taehyung | V,42
Polyamory,42
Omega Jeon Jungkook,40
Multiple Orgasms,40
Explicit Language,39
Omega Park Jimin (BTS),39
Other Additional Tags to Be Added,37
Kim Taehyung | V is a Sweetheart,37
Plot What Plot/Porn Without Plot,37
Porn With Plot,37
Jealousy,36
Rough Sex,36
Blood and Violence,36
Friends With Benefits,35
Dom Jeon Jungkook,35
Humor,35
Omega Kim Seokjin | Jin,35
Protective Jeon Jungkook,34
Daddy Kink,34
Alpha/Omega,33
Jeon Jungkook is a Sweetheart,33
Hate to Love,32
Alpha Kim Taehyung | V,31
Voyeurism,31
First Time,31
Shy Jeon Jungkook,31
Panic Attacks,30
Age Difference,30
Magic,30
Shameless Smut,29
Masturbation,29
Heavy Angst,29
Alpha Jung Hoseok | J-Hope,29
vkook,28
Soulmates,28
Semi-Public Sex,28
Beta Jung Hoseok | J-Hope,27
Enemies to Friends to Lovers,26
Face-Fucking,26
Pack Dynamics,26
Angst and Hurt/Comfort,25
Protective Kim Taehyung | V,25
Homophobia,25
Texting,25
Jeon Jungkook is a Little Shit,25
Switch Kim Taehyung | V,25
Kim Taehyung | V is a Little Shit,25
Orgasm Delay/Denial,25
Alternate Universe - High School,25
Dom Kim Taehyung | V,25
Jealous Jeon Jungkook,24
Fake/Pretend Relationship,24
Vampires,24
Aftercare,24
Alternate Universe - Vampire,24
Light Dom/sub,24
yoonmin,23
Anxiety,23
Slow Build,23
Pet Names,23
Rape/Non-con Elements,23
Threesome - M/M/M,23
side yoonmin,23
Scenting,23
Crack,23
Top Min Yoongi | Suga,22
Eventual Romance,22
Switch Jeon Jungkook,22
Possessive Jeon Jungkook,22
Love Confessions,22
Riding,22
Developing Relationship,22
Humiliation,22
Slut Shaming,22
Minor Violence,22
Fluff and Humor,21
Depression,21
Alternate Universe - Gangsters,21
Swearing,21
Kim Taehyung | V is Bad at Feelings,21
Frottage,21
Mating,21
Arranged Marriage,21
Dubious Consent,21
Blood and Injury,21
Self-Lubrication,21
Blood Drinking,21
Blowjobs,21
Sexual Content,20
Loss of Virginity,20
Public Sex,20
Aged-Up Character(s),20
Nipple Play,20
Unrequited Love,19
Bullying,19
Kidnapping,19
Come Eating,19
Past Abuse,19
Internalized Homophobia,18
Biting,18
Lingerie,18
Idiots in Love,18
Cuddling & Snuggling,18
Werewolves,18
Angst and Fluff and Smut,18
CEO Jeon Jungkook,17
Supernatural Elements,17
Drama,17
Cute Kim Taehyung | V,17
Protective Hyungs,17
Abuse,17
Min Yoongi | Suga Is Whipped,17
Flirting,17
Protectiveness,17
Vibrators,17
side namjin,17
Blood,17
Bondage,17
Crossdressing,17
Cheating,17
Getting Together,17
Omega Park Jimin,16
Choking,16
Subspace,16
Kissing,16
Mating Bites,16
Homophobic Language,16
Alternate Universe - Royalty,16
Implied Sexual Content,16
Rich Jeon Jungkook,16
Jeon Jungkook is Older Than Kim Taehyung | V,16
Alternate Universe - Coffee Shops & Cafés,15
Switching,15
Alternate Universe - Wolves,15
Childhood Friends,15
Boypussy,15
Orgasm Denial,15
Wall Sex,15
Mates,15
Hybrids,15
University Student Jeon Jungkook,15
Baby Boy Jeon Jungkook,15
Recreational Drug Use,15
Feminization,15
Jeon Jungkook is a Brat,14
Bottom Park Jimin (BTS),14
College AU,14
Park Jimin Is a Sweetheart,14
Power Bottom Kim Taehyung | V,14
Sexting,14
Alternate Universe - Magic,14
Alternate Universe - Werewolf,14
Character Development,14
BDSM,14
Teasing,14
Deepthroating,14
Social Media,14
Power Dynamics,14
Possessive Behavior,14
Kim Taehyung | V is a Tease,14
Cute Jeon Jungkook,13
Top Jung Hoseok | J-Hope,13
Alternate Universe - Canon Divergence,13
Alcohol,13
PWP,13
Suicidal Thoughts,13
Light Bondage,13
Cock Warming,13
Model Kim Taehyung | V,13
Beta Kim Seokjin | Jin,13
Omega Verse,13
Mating Bond,13
Blindfolds,13
Murder,13
Blood and Gore,13
Mental Health Issues,13
Getting to Know Each Other,13
Flashbacks,13
Vampire Jeon Jungkook,13
Emotional/Psychological Abuse,13
Slice of Life,13
Mild Language,13
Miscommunication,13
Implied/Referenced Homophobia,13
Emotional Manipulation,13
Marking,13
Jealous Kim Taehyung | V,13
Crying,12
Coming Out,12
Handcuffs,12
Light BDSM,12
Porn with Feelings,12
Gun Violence,12
Protective Min Yoongi | Suga,12
Car Sex,12
Denial of Feelings,12
Making Out,12
Jeon Jungkook is a Tease,12
Major Character Injury,12
Facials,12
Original Character(s),12
Sex,12
Vampire Min Yoongi | Suga,12
Sort Of,12
Time Skips,12
Past Child Abuse,12
Double Penetration,12
No Angst,12
Rich Kim Taehyung | V,12
Bottom Park Jimin,11
Attempted Sexual Assault,11
Idol Jeon Jungkook,11
Past Rape/Non-con,11
First Kiss,11
Love,11
thigh riding,11
Begging,11
Punishment,11
Post-Traumatic Stress Disorder - PTSD,11
Trauma,11
Attempted Rape/Non-Con,11
Bunny Hybrid Jeon Jungkook,11
Witches,11
Dry Humping,11
Post-Break Up,11
University Student Kim Taehyung | V,11
Face-Sitting,11
Crimes & Criminals,11
Vampire Kim Seokjin | Jin,11
Vampire Kim Taehyung | V,11
Implied/Referenced Self-Harm,11
Degradation,11
Betrayal,11
Male Lactation,11
Hurt Kim Taehyung | V,11
Shapeshifting,11
Chatting & Messaging,11
Kim Taehyung | V-centric,11
Human Kim Taehyung | V,11
Self-Harm,10
Min Yoongi | Suga is Bad at Feelings,10
Mild Hurt/Comfort,10
First Dates,10
Disabled Character,10
Dom Kim Seokjin | Jin,10
Implied/Referenced Child Abuse,10
Sickfic,10
Secret Relationship,10
Fluff and Crack,10
Hurt Jeon Jungkook,10
Human Jeon Jungkook,10
Sweet Jeon Jungkook,10
Alpha Kim Seokjin | Jin,10
,10
Moral Ambiguity,10
Smoking,10
Self-Esteem Issues,10
CEO Kim Taehyung | V,10
Alternate Universe - Supernatural Elements,10
Breeding,10
Physical Abuse,10
Size Kink,10
Oral Fixation,10
Butt Plugs,10
Prostate Massage,10
Office Sex,10
True Mates,10
Getting Back Together,10
Dead Dove: Do Not Eat,10
Soulmate-Identifying Marks,9
Bottom Min Yoongi | Suga,9
Protective Kim Seokjin | Jin,9
Threesome,9
namjin - Freeform,9
Idol Kim Taehyung | V,9
Implied/Referenced Torture,9
Grinding,9
Verbal Humiliation,9
Dom Jung Hoseok | J-Hope,9
Shower Sex,9
Bottom Taehyung,9
First Meetings,9
Omega Min Yoongi | Suga,9
Drama & Romance,9
Implied/Referenced Rape/Non-con,9
Mirror Sex,9
Protective Bangtan Boys,9
Manipulation,9
Vampire Kim Namjoon | RM,9
Eating Disorders,9
Breeding Kink,9
Breathplay,9
Dubious Morality,9
Dom Kim Namjoon | RM,9
Kink Negotiation,9
Tattoos,9
Kinda,9
Past Character Death,9
Drug Use,9
Top Kim Namjoon | RM,9
Top Kim Seokjin | Jin,9
Edging,9
Photographer Jeon Jungkook,9
Artist Kim Taehyung | V,9
