value,count
Bakugou Katsuki Swears A Lot,283
Fluff,239
Shinsou Hitoshi Replaces Mineta Minoru,189
Parental Aizawa Shouta | Eraserhead,154
Angst,147
Bakugou Katsuki is Bad at Feelings,144
Class 1-A Shenanigans (My Hero Academia),124
Shinsou Hitoshi is in Class 1-A,116
Slow Burn,113
Fluff and Angst,113
Other Additional Tags to Be Added,113
Hurt/Comfort,109
BAMF Midoriya Izuku,102
Todoroki Enji | Endeavor's Bad Parenting,98
Protective Bakugou Katsuki,94
Mutual Pining,94
Alternate Universe - Canon Divergence,92
Midoriya Izuku Has a Quirk,86
Bakusquad (My Hero Academia),85
Class 1-A as Family (My Hero Academia),84
Chatting & Messaging,81
Midoriya Izuku Needs A Hug,79
Aged-Up Character(s),77
Dadzawa,71
Alpha/Beta/Omega Dynamics,67
Midoriya Izuku Does Not Have One for All Quirk,67
Midoriya Izuku is a Ray of Sunshine,67
Crack,66
Married Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,64
Parental Yamada Hizashi | Present Mic,63
Humor,62
Pining,61
Quirkless Midoriya Izuku,61
Soft Bakugou Katsuki,61
chat fic,61
Aizawa Shouta | Eraserhead Adopts Shinsou Hitoshi,61
Everyone Is Gay,60
Polyamory,60
Dekusquad (My Hero Academia),58
Angst with a Happy Ending,57
Implied/Referenced Child Abuse,57
Alternate Universe - No Quirks (My Hero Academia),56
Mineta Minoru is Expelled from U.A. High School,56
Cute Midoriya Izuku,55
Kirishima Eijirou is a Ray of Sunshine,54
Getting Together,53
Dabi is Todoroki Touya,53
Protective Aizawa Shouta | Eraserhead,52
Midoriya Izuku Has One for All Quirk,49
Alternate Universe - Mineta Minoru Doesn't Exist,48
Crack Treated Seriously,47
Canon-Typical Violence,47
Parental Yagi Toshinori | All Might,46
Todoroki Enji | Endeavor Being An Asshole,46
Anal Sex,45
Memes,45
Friends to Lovers,45
Fluff and Humor,45
Kaminari Denki Has ADHD,45
Smut,43
Supportive Class 1-A (My Hero Academia),43
Texting,43
chatfic,42
Midoriya Izuku is a Little Shit,41
Dabi is a Todoroki,41
Protective Class 1-A (My Hero Academia),40
Eventual Smut,40
Midoriya Izuku is a Dork,40
Panic Attacks,40
Omega Midoriya Izuku,40
Emotional Hurt/Comfort,39
Established Relationship,39
Not Beta Read,39
Tooth-Rotting Fluff,38
Kirishima Eijirou is a Good Friend,38
Class 1-A Group Chat (My Hero Academia),38
Protective Todoroki Shouto,37
Aizawa Shouta | Eraserhead is So Done,37
Fluff and Smut,36
Bakugou Katsuki is a Good Friend,36
Protective Shinsou Hitoshi,36
Light Angst,35
Angst and Hurt/Comfort,33
Fluff and Crack,33
Todoroki Shouto is Bad at Feelings,32
Bisexual Kaminari Denki,32
Pining Bakugou Katsuki,32
Pining Todoroki Shouto,32
Mineta Minoru Being an Asshole,32
Trans Male Character,32
Alternate Universe - College/University,31
Alpha Bakugou Katsuki,31
Kaminari Denki is a Dork,30
