value,count
Hurt/Comfort,526
Fluff,344
Angst,309
Protective Wilbur Soot,295
TommyInnit-centric (Video Blogging RPF),267
TommyInnit Needs a Hug (Video Blogging RPF),223
Found Family,220
Angst with a Happy Ending,217
Sleepy Bois Inc as Family,213
Wilbur Soot and Technoblade and TommyInnit are Siblings,207
Fluff and Angst,181
Protective Technoblade (Video Blogging RPF),171
Implied/Referenced Child Abuse,153
Platonic Cuddling,150
Older Sibling Wilbur Soot,144
Hurt TommyInnit (Video Blogging RPF),135
Traumatized TommyInnit (Video Blogging RPF),132
Dark Sleepy Bois Inc,124
Family Dynamics,121
Wilbur Soot and TommyInnit are Siblings,121
Protective Phil Watson (Video Blogging RPF),120
Emotional Hurt/Comfort,117
Alternate Universe - Superheroes/Superpowers,114
Platonic Relationships,110
IRL Fic,108
Kidnapping,101
Good Parent Phil Watson (Video Blogging RPF),100
TommyInnit Angst (Video Blogging RPF),97
Possessive Behavior,97
Alternate Universe - Modern Setting,94
Sleepy Bois Inc-centric,93
Blood and Injury,92
Possessive Wilbur Soot,90
Wilbur Soot Loves TommyInnit,88
Panic Attacks,85
BAMF TommyInnit (Video Blogging RPF),77
Touch-Starved TommyInnit (Video Blogging RPF),76
Tooth-Rotting Fluff,74
Happy Ending,73
Piglin Hybrid Technoblade (Video Blogging RPF),72
Winged Phil Watson (Video Blogging RPF),72
Suicidal Thoughts,70
Angst and Hurt/Comfort,69
Protective Sleepy Bois Inc,68
TommyInnit Needs a Break (Video Blogging RPF),66
Villain Wilbur Soot,66
TommyInnit Loves Wilbur Soot,64
Unreliable Narrator,63
Child Abuse,63
Kid TommyInnit (Video Blogging RPF),61
Scared TommyInnit (Video Blogging RPF),60
Other Additional Tags to Be Added,59
Soft Wilbur Soot,59
Villain Clay | Dream (Video Blogging RPF),57
Pet Names,56
Wilbur Soot and Technoblade are Siblings,56
Winged TommyInnit (Video Blogging RPF),55
Alternate Universe - Canon Divergence,54
Sad TommyInnit (Video Blogging RPF),53
Wilbur Soot-centric,53
Alternate Universe,52
Swearing,52
Family Fluff,51
Post-Traumatic Stress Disorder - PTSD,50
Parent Phil Watson (Video Blogging RPF),50
TommyInnit Gets a Hug (Video Blogging RPF),50
Soft TommyInnit (Video Blogging RPF),49
Villain Technoblade (Video Blogging RPF),49
Foster Care,49
Possessive Technoblade (Video Blogging RPF),49
Avian Phil Watson (Video Blogging RPF),48
Sleepy Bois Inc Fluff,48
Families of Choice,48
Villain Phil Watson (Video Blogging RPF),47
Crack Treated Seriously,47
Twins Wilbur Soot & Technoblade,46
Light Angst,46
Wilbur Soot Needs a Hug,45
Sleepy Bois Inc Angst,45
Manipulation,45
Alternate Universe - Fantasy,45
Possessive Sleepy Bois Inc,45
Younger Sibling TommyInnit (Video Blogging RPF),44
Alternate Universe - Foster Family,44
Vigilante TommyInnit (Video Blogging RPF),44
Temporary Character Death,43
5+1 Things,43
Humor,43
Human TommyInnit (Video Blogging RPF),43
Emotional Manipulation,42
Ranboo & TommyInnit Friendship (Video Blogging RPF),42
Alternate Universe - Royalty,42
Bad Parent Phil Watson (Video Blogging RPF),41
Fluff and Humor,41
Child Neglect,41
Adoption,41
Past Child Abuse,41
Hero Wilbur Soot,41
It Gets Worse Before It Gets Better,40
IRL,40
Violence,39
Dark SBI,39
Dark Wilbur Soot,39
Hero Technoblade (Video Blogging RPF),39
Comfort,38
Dissociation,38
Avian TommyInnit (Video Blogging RPF),38
Minor Character Death,38
Hybrid TommyInnit (Video Blogging RPF),38
Hero Phil Watson (Video Blogging RPF),38
Character Death,36
Protective TommyInnit (Video Blogging RPF),36
Brotherly Affection,35
Manipulative Clay | Dream (Video Blogging RPF),35
Possessive Phil Watson (Video Blogging RPF),35
Heavy Angst,35
Suicide Attempt,35
Domestic Fluff,35
Sickfic,33
Implied/Referenced Suicide,33
Wilbur Soot is Not Okay,33
Enderman Hybrid Ranboo (Video Blogging RPF),33
Adoptive Parent Phil Watson (Video Blogging RPF),33
Older Sibling Technoblade (Video Blogging RPF),32
Misunderstandings,32
Not Beta Read,32
Dadza,32
Crimeboys - Freeform,32
Hugs,32
Soft Technoblade (Video Blogging RPF),31
Sleepy Bois Inc as Found Family,31
Hybrids,31
Family Feels,31
Kinda,31
The characters of this fic does not reflect the author's opinions of the CCs,31
Identity Reveal,30
Blood and Violence,30
Siren Wilbur Soot,30
Protective Older Sibling Wilbur Soot,30
Alternate Universe - Magic,29
Secret Identity,29
Exiled TommyInnit (Video Blogging RPF),28
Hurt No Comfort,28
Good Older Sibling Wilbur Soot,28
Dark Technoblade (Video Blogging RPF),28
Forced adoption,28
Family Bonding,28
Implied/Referenced Self-Harm,28
TommyInnit is Not Okay (Video Blogging RPF),27
Brotherly Love,27
Magic,27
Morally Ambiguous Character,27
Mild Hurt/Comfort,27
Self-Harm,26
Alternate Universe - Space,26
sleepy bois inc - Freeform,26
Dark Phil Watson (Video Blogging RPF),26
Protective Toby Smith | Tubbo,26
Platonic Soulmates,26
Non-Consensual Drug Use,25
Trans TommyInnit (Video Blogging RPF),25
Crack,25
Piglin Technoblade (Video Blogging RPF),25
5 Times,25
Brotherly Bonding,25
Alternate Universe - Vampire,25
Wilbur Soot Acting as TommyInnit's Parental Figure,25
Self-Esteem Issues,25
Humans are space orcs,25
Time Travel,25
Dysfunctional Family,24
Canon-Typical Violence,24
Torture,24
sbi,24
Blood,24
Toby Smith | Tubbo & TommyInnit Friendship,24
Nightmares,23
Minor Violence,23
Vampire Technoblade (Video Blogging RPF),23
Blood and Gore,23
Animal Instincts,23
Murder,23
Depression,23
Phantom Hybrid Wilbur Soot,23
Bullying,23
Not RPF,23
Alternate Universe - Fae,23
Implied/Referenced Character Death,22
Dehumanization,22
Bedrock Bros,22
5 Things,22
Older Siblings Wilbur Soot and Technoblade,22
Dark fluff,22
Fae & Fairies,22
Parental Phil Watson (Video Blogging RPF),22
Touch-Starved,22
Attempt at Humor,22
One Shot,21
Villain Sleepy Bois Inc (Video Blogging RPF),21
Vampire Wilbur Soot,21
Villain TommyInnit (Video Blogging RPF),21
Mental Health Issues,21
Clingy TommyInnit (Video Blogging RPF),21
Anxiety,21
Goat Hybrid Toby Smith | Tubbo,21
