value,count
Tony Stark Acting as Peter Parker's Parental Figure,331
Peter Parker Needs a Hug,255
Parent Tony Stark,203
Tony Stark Has A Heart,202
Fluff,152
Precious Peter Parker,149
Hurt Peter Parker,132
Precious Morgan Stark (Marvel Cinematic Universe),129
Not Avengers: Endgame (Movie) Compliant,128
Hurt/Comfort,127
Protective Tony Stark,110
Post-Avengers: Endgame (Movie),109
Peter Parker & Morgan Stark are Siblings (Marvel Cinematic Universe),99
Protective Peter Parker,96
Angst,95
Peter Parker is a Mess,89
Peter Parker Whump,82
Tony Stark Needs a Hug,81
Parent Pepper Potts,78
Irondad,77
Emotional Hurt/Comfort,76
Tony Stark Lives,74
Pepper Potts Acting as Peter Parker's Parental Figure,68
Fluff and Angst,66
Angst with a Happy Ending,60
Avengers: Endgame (Movie) Spoilers,56
Adorable Morgan Stark (Marvel Cinematic Universe),52
Peter Parker is Tony Stark's Biological Child,50
Alternate Universe - Canon Divergence,50
Domestic Fluff,46
Big Brother Peter Parker,46
Fix-It,45
Peter Parker Gets a Hug,43
May Parker (Spider-Man) & Tony Stark Coparenting Peter Parker,39
Peter Parker & Morgan Stark Friendship (Marvel Cinematic Universe),38
BAMF Peter Parker,37
Protective Pepper Potts,37
Kid Morgan Stark (Marvel Cinematic Universe),36
Whump,36
Tony Stark is Good With Kids,34
Family Feels,34
spiderson,33
Grief/Mourning,33
Family Fluff,31
Peter Parker Calls Tony Stark "Dad",31
Peter Parker is a Good Bro,30
Peter Parker is a Little Shit,30
Panic Attacks,30
Not Canon Compliant,29
Post-Endgame,29
Awesome Pepper Potts,29
Peter Parker Has a Family,29
Tooth-Rotting Fluff,28
Peter Parker's Field Trip to Stark Industries,28
Sick Peter Parker,28
Canon Divergence - Avengers: Endgame (Movie),27
Father-Son Relationship,27
Alternate Universe - Everyone Lives/Nobody Dies,27
Cute Morgan Stark (Marvel Cinematic Universe),26
Hurt Tony Stark,26
Post-Traumatic Stress Disorder - PTSD,25
Kidnapping,25
BAMF Pepper Potts,24
Post-Spider-Man: No Way Home (Movie),24
Sickfic,23
Family,23
Dead May Parker (Spider-Man),23
Peter Parker Has Panic Attacks,23
Not Spider-Man: Far From Home Compliant,23
Kidnapped Peter Parker,23
Teen Peter Parker,23
Morgan Stark Needs a Hug (Marvel Cinematic Universe),22
Field Trip,22
Other Additional Tags to Be Added,22
Angst and Hurt/Comfort,22
Identity Reveal,21
Not Avengers: Infinity War Part 1 (Movie) Compliant,21
Ned Leeds is a Good Bro,21
Platonic Cuddling,20
Peter Parker has PTSD,20
Light Angst,20
Uncle Happy Hogan,20
Avengers: Endgame (Movie),19
Happy Ending,19
Tony Stark Feels,19
Peter Parker Needs a Break,19
Sad Peter Parker,18
Peter Parker is Pepper Potts's Biological Child,17
Humor,17
Nightmares,16
Worried Tony Stark,16
Found Family,16
Adopted Peter Parker,16
Domestic Avengers,16
Avengers Family,16
Post-Avengers: Infinity War Part 1 (Movie),15
Kid Peter Parker,15
Protective May Parker (Spider-Man),14
Bisexual Peter Parker,14
Canonical Character Death,14
Female Peter Parker,14
Fix-It of Sorts,14
Time Travel,14
Iron Dad,14
Anxiety,13
Teen Morgan Stark (Marvel Cinematic Universe),13
One Shot,13
Christmas,13
Brother-Sister Relationships,13
Not Beta Read,13
Crying,13
Protective Natasha Romanov,13
Suicidal Thoughts,13
Iron Family,13
Everyone Is Alive,13
ironfam,13
Poor Peter Parker,12
Canon Compliant,12
Good Friend Ned Leeds,12
Pepper Potts Needs a Hug,12
5+1 Things,12
Adult Peter Parker,12
Peter Parker Angst,12
Alternate Universe,12
Time Travel Fix-It,12
IronDad and SpiderSon,11
Protective Harley Keener,11
Uncle James "Rhodey" Rhodes,11
Tony Stark is a Good Dad,11
Tony Stark Acting as Harley Keener's Parental Figure,11
Cuddling & Snuggling,11
Post-Spider-Man: Far From Home,11
Depression,11
Adoption,11
Spider-Man: No Way Home (Movie) Spoilers,11
Post-Canon Fix-It,11
POV Peter Parker,10
no beta we die like men,10
Tony Stark Loves Peter Parker,10
Christmas Fluff,10
Gay Harley Keener,10
Character Death,10
Mental Health Issues,10
Harley Keener & Peter Parker are Siblings,10
Vomiting,10
Torture,10
Peter Parker Has Issues,10
Heavy Angst,10
Spider-Man: No Way Home (Movie),10
Michelle Jones Is a Good Bro,10
Protective Morgan Stark (Marvel Cinematic Universe),9
Harley Keener is Tony Stark's Biological Child,9
Avengers: Endgame (Movie) Compliant,9
Angst and Feels,9
Tony Stark Has Issues,9
Peter Parker-centric,9
Protective Avengers,9
Peter Parker & Morgan Stark are Siblings,9
Bullying,9
Spoilers,9
Peter Parker Has Nightmares,9
Flash Thompson Being A Jerk,9
Tony Stark Gets a Hug,9
Everyone Loves Peter Parker,9
Howard Stark's A+ Parenting,9
Sibling Bonding,8
College Student Peter Parker,8
Sick Morgan Stark (Marvel Cinematic Universe),8
Emotional Hurt,8
Recovery,8
Peter is a Little Shit,8
Jealousy,8
Kinda,8
How Do I Tag,8
Minor Pepper Potts/Tony Stark,8
References to Depression,8
The Author Regrets Nothing,8
Genius Morgan Stark (Marvel Cinematic Universe),8
Protective Happy Hogan,8
Fluff and Humor,8
Awesome May Parker (Spider-Man),8
Implied/Referenced Character Death,8
Happy Hogan is a Good Bro,8
James "Rhodey" Rhodes Is a Good Bro,8
Homeless Peter Parker,8
Harley Keener & Peter Parker Friendship,8
Medical Inaccuracies,8
Memory Loss,7
Depressed Peter Parker,7
Precious Morgan Stark,7
Not A Fix-It,7
James "Rhodey" Rhodes & Tony Stark Friendship,7
Comfort,7
Canon-Typical Violence,7
Swearing,7
Father-Daughter Relationship,7
Broken Bones,7
One Shot Collection,7
Suicide Attempt,7
Pepper Potts Is a Good Bro,7
Multiverse,7
Implied/Referenced Rape/Non-con,7
Avengers Tower,7
Peter Parker Has Anxiety,7
Blood,7
Team as Family,7
Temporary Amnesia,7
Hospitals,7
Implied/Referenced Child Abuse,7
Social Media,7
Genius Peter Parker,7
Hugs,6
Insecure Peter Parker,6
Babysitting,6
Fever,6
Family Dynamics,6
Peter Parker is Tony Stark's Adopted Child,6
Mentioned May Parker (Spider-Man),6
Sad,6
Hurt No Comfort,6
Emotional Manipulation,6
Injured Peter Parker,6
Protective Michelle Jones,6
Everyone Needs A Hug,6
NOT STARKER - Freeform,6
Injury Recovery,6
Harley Keener Needs a Hug,6
Scared Peter Parker,6
Not Spider-Man: No Way Home Compliant,6
I Wrote This Instead of Sleeping,6
BAMF Michelle Jones,6
Supportive May Parker (Spider-Man),6
Everybody Lives,6
Peter Parker Feels,6
BAMF Natasha Romanov,6
Natasha Romanov Is Not A Robot,6
Prompt Fic,6
The Author Regrets Everything,6
Sick Character,6
