value,count
Fluff,209
Alternate Universe - Modern Setting,197
Smut,157
Angst,124
Alpha/Beta/Omega Dynamics,115
Slow Burn,97
Romance,93
Alternate Universe,82
Korrasami - Freeform,81
Hurt/Comfort,76
,69
Oral Sex,69
Alternate Universe - College/University,66
Friends to Lovers,62
Fluff and Smut,57
Knotting,57
Canon Compliant,57
Alpha Korra,56
Alpha/Omega,56
Explicit Sexual Content,55
Omegaverse,53
Mating Cycles/In Heat,48
Omega Verse,46
Fluff and Angst,41
Established Relationship,40
Omega Asami Sato,40
Alternate Universe - Canon Divergence,38
Humor,38
Lesbian Sex,35
Eventual Smut,35
Rough Sex,34
Korrasami is Canon,33
Drama,32
Shameless Smut,32
Vaginal Fingering,31
Vaginal Sex,30
Fingering,30
Violence,29
Femslash,29
Modern AU,29
Strap-Ons,29
Mutual Pining,27
Anal Sex,27
Post-Traumatic Stress Disorder - PTSD,27
Angst with a Happy Ending,27
Sex,25
Blow Jobs,24
Domestic Fluff,24
Friendship,24
First Time,24
Alternate Universe - No Bending (Avatar TV),24
Alternate Universe - High School,24
Omega Asami,22
Post-Canon,22
AU,22
Alpha!Korra,22
Omega!Asami,22
Happy Ending,22
G!P,22
Dirty Talk,21
Masturbation,21
Cross-Posted on FanFiction.Net,21
Enemies to Lovers,20
Alternate Universe - No Bending,20
Sexual Tension,20
Girl Penis,19
One Shot,19
Cunnilingus,19
Magic Cock,19
Breeding,18
Post-Finale,18
Action/Adventure,18
Emotional Hurt/Comfort,18
Jealousy,18
Plot What Plot/Porn Without Plot,17
Explicit Language,17
First Kiss,17
Pining,16
Drama & Romance,16
Fluff and Humor,16
Light Angst,16
Soulmates,15
Canon Bisexual Character,15
Teasing,15
Biting,15
Alternate Universe - Soulmates,14
Strangers to Lovers,13
Love,13
BDSM,13
Depression,13
Semi-Public Sex,13
NSFW,13
Mating Bites,13
Come Shot,13
Slice of Life,12
Drinking,12
Mating Bond,11
Falling In Love,11
Cheating,11
Bondage,11
Bisexual Female Character,11
Sex Toys,11
No Bending,11
Bisexuality,11
Omega Opal,10
Original Character(s),10
Eventual Romance,10
Love Confessions,10
Sexual Content,10
Character Death,10
Comedy,10
Pregnancy Kink,10
Vanilla,10
Pregnancy,10
Canon Lesbian Relationship,10
SMUTCATION,10
Impregnation,9
Praise Kink,9
Fake/Pretend Relationship,9
POV Alternating,9
Post-Series,9
Porn With Plot,9
Enemies to Friends to Lovers,9
Threesome - F/F/F,9
Slow Build,9
Coming Out,9
Shower Sex,9
Flirting,9
Trauma,9
Bending (Avatar),9
Anal Fingering,9
Slow Romance,9
Other Additional Tags to Be Added,9
Developing Relationship,9
Domestic,8
Post-Avatar: The Legend of Korra,8
Angst and Hurt/Comfort,8
College,8
Roommates,8
Homophobia,8
Alternate Universe - Coffee Shops & Cafés,8
Blood and Violence,8
Aftercare,8
Erotica,8
Alpha Korra (Avatar),8
Grief/Mourning,8
Cock Worship,8
Family Drama,8
Flashbacks,8
Nipple Play,8
korrasami is endgame,8
Friendship/Love,8
Porn with Feelings,8
Spanking,8
Mating,8
Female Ejaculation,8
Blowjobs,8
Gap Filler,8
Futanari,7
alternative universe,7
Alternate Universe - No Powers,7
Choking,7
Dom/sub,7
Korrasami Week,7
Unrequited Love,7
D/s,7
Voyeurism,7
Equalist Asami Sato,7
Car Sex,7
Family,7
Time Travel,7
Breeding Kink,7
Crossover,7
Canon Queer Relationship,7
legend of korra - Freeform,7
Alpha Asami,7
Unplanned Pregnancy,7
Light Bondage,7
Rutting,7
Oral,7
G!P Korra,7
Gun Violence,7
Light BDSM,6
No Angst,6
Incest,6
Implied Sexual Content,6
Dorks in Love,6
Tooth-Rotting Fluff,6
Sweet,6
Angst and Feels,6
Martial Arts,6
Mental Health Issues,6
Blood,6
Korrasami Month 2016,6
Master/Slave,6
Humiliation,6
Anal Play,6
Romantic Comedy,6
Family Fluff,6
War,6
Eventual Happy Ending,6
Cute,6
Love Triangles,6
Hand Jobs,6
Rape/Non-con Elements,6
Minor Character Death,6
Korrasami Week 2017,6
A/B/O,6
Fluffy,6
Soulmate-Identifying Marks,6
Exhibitionism,6
Alpha Kuvira,5
Alternate Universe - Fantasy,5
Marriage Proposal,5
Korra POV,5
Porn,5
Hate Sex,5
Recreational Drug Use,5
Pregnant Sex,5
Begging,5
Angst and Fluff and Smut,5
korrasami AU,5
Loss of Virginity,5
Creampie,5
First Meetings,5
Blindfolds,5
Silly,5
Muscles,5
Dancing,5
What-If,5
Found Family,5
Desk Sex,5
Massage,5
Alpha Kuvira (Avatar),5
Hijinks & Shenanigans,5
Suicidal Thoughts,5
Polyamory,5
Omega!Korra,5
Alpha!Asami,5
Attempt at Humor,5
Nerd Asami Sato,5
Alternate Universe - Modern: No Powers,5
Mild Smut,5
Mildly Dubious Consent,5
Past Relationship(s),5
Eventual Korra/Asami Sato,5
Mild Kink,5
Sequel,5
Lesbian Character,5
Bisexual Character,5
Action & Romance,5
High School,5
Death,5
Major Character Injury,5
Avatar State,5
Sharing a Bed,5
Fanart,5
Omega Korra,5
Doggy Style,5
Injury Recovery,5
Double Penetration,5
Married Life,5
Come Swallowing,5
Public Sex,5
Arranged Marriage,5
Dubious Consent,5
Racism,5
Football | Soccer,5
Scratching,5
Come Inflation,5
Fantasy,4
Mystery,4
Magic,4
Drugs,4
Oneshot,4
Collars,4
Cuddling & Snuggling,4
Alcohol,4
True Love,4
Vampires,4
Secrets,4
Meet-Cute,4
I'm Bad At Tagging,4
Physical Disability,4
Alternate Universe - Space,4
Modern Era,4
Kidnapping,4
Drabble,4
Prompt Fic,4
Dorks,4
Disability,4
Kissing,4
Implied/Referenced Rape/Non-con,4
Enemies to Friends,4
Abuse,4
Emotional Hurt,4
PTSD,4
sin sin sin none of you are free of sin,4
CEO Asami Sato,4
Light Dom/sub,4
Dominant Asami,4
Romantic Fluff,4
Canon LGBTQ Female Character,4
Athlete Korra (Avatar),4
Fingerfucking,4
Daddy Issues,4
Sparring,4
Best Friends,4
Canon Queer Character of Color,4
POV Asami Sato,4
Hurt,4
Equalist!Asami,4
Fighting,4
Drug Use,4
Bathroom Sex,4
Not Actually Unrequited Love,4
High School AU,4
Triggers,4
Bisexual Disasters,4
LGBTQ Themes,4
Funny,4
Mako & Asami Sato Friendship,4
Soulmate AU,4
Mother-Daughter Relationship,4
equalist Asami,4
Feels,4
Threesome - F/F/M,4
Texting,4
Swearing,4
Korra/Asami Sato-centric,4
Office Sex,4
College AU,4
korra whump,4
Whump,4
Canon Divergence,4
Genderqueer Korra,4
Strap-On,4
Boss/Employee Relationship,4
Slavery,4
Politics,4
Betrayal,4
Inexplicable Ejaculating Clit Cock,4
Spirit World,4
Angst and Humor,4
Fluff without Plot,4
Genderqueer,4
Eventual Sex,4
Suicide Attempt,4
Age Difference,4
Large Cock,4
Adventure,4
Teacher-Student Relationship,4
Road Trips,4
Memory Loss,3
Deepthroating,3
Facials,3
Girls Kissing,3
Supernatural Elements,3
Blood and Gore,3
Recovery,3
Amnesia,3
Time Skips,3
Sports,3
Sexual Humor,3
Reunions,3
Mating Rituals,3
Alternate Universe - Stripper/Exotic Dancer,3
Short One Shot,3
Daddy Kink,3
Werewolves,3
One Shot Collection,3
Post-The Legend of Korra: Turf Wars,3
Denial of Feelings,3
Awkward Flirting,3
Red String of Fate,3
Foreplay,3
Torture,3
Graphic Description,3
Character Development,3
Disabled Character,3
Trans Female Character,3
Gym Sex,3
Long-Distance Relationship,3
Complete,3
Sexual Slavery,3
Stripping,3
Foot Fetish,3
Mutual Masturbation,3
Gay Panic,3
Multiple Orgasms,3
Accidental Voyeurism,3
Secret Identity,3
Jealous!Korra,3
Comfort,3
Red Lotus Korra,3
Emotional/Psychological Abuse,3
Redemption,3
Tragedy,3
Badass Lin Beifong,3
Eating out,3
Femslash February,3
Alternate Universe - Supernatural Elements,3
Self-Acceptance,3
LGBTQ Female Character of Color,3
Rough Oral Sex,3
Lingerie,3
Alternate Universe - Actors,3
Alternate Universe - Celebrity,3
Social Media,3
Light Smut,3
Drunk Sex,3
Making Out,3
Dildos,3
Pre-Canon,3
Post-Avatar: The Last Airbender,3
Non-Traditional Alpha/Beta/Omega Dynamics,3
Family Issues,3
Sickfic,3
Mild Hurt/Comfort,3
Bisexual Female Character of Color,3
Childhood Friends,3
Alternate Universe - Basketball,3
Forbidden Love,3
No Beta We Transcend This Mortal Plane Like Yue,3
Miscommunication,3
Penetration,3
Marking,3
heat - Freeform,3
Republic City,3
Orgy,3
Pet Play,3
Asami POV,3
Implied/Referenced Abuse,3
Airbending & Airbenders,3
Spirits,3
Korrasami Month 2018,3
Badass Asami Sato,3
Red Lotus,3
Character Study,3
Bending Play,3
Alternate Universe - 1930s,3
Parent/Child Incest,3
Post Finale,3
Love Bites,3
Underage Drinking,3
asami sato - Freeform,3
Alternate Universe - Werewolf,3
wlw,3
Alpha Lin Beifong,3
Friends With Benefits,3
CEO!Asami,3
Seduction,3
Anal,3
Shibari,3
Anniversary,3
Pre-Relationship,3
Sex Education,3
Competition,3
Anxiety,3
OnlyFans,3
Tentacles,3
Roleplay,3
One Night Stands,3
Scent Marking,3
Come Eating,3
Temperature Play,3
Developing Friendships,3
Alternate Universe - Arranged Marriage,3
Canon-Typical Violence,3
Phone Sex,3
Body Worship,3
Rope Bondage,3
asami whump,3
sorta - Freeform,3
Chemistry,3
Series,3
Genderfluid Korra,3
Awkward Sexual Situations,3
CEO Asami,3
Oral Knotting,3
Police,3
Heavy Angst,3
Doctor/Patient,3
Master/Pet,3
Non-bending AU,3
Omega!Opal,3
Alternate Universe - Pirate,3
Bending,3
Bullying,3
Canon Queer Character,3
Children,3
Facing Fears,3
Adultery,3
Hiroshi is nice here,3
Alcohol Abuse/Alcoholism,3
Not Canon Compliant - The Legend of Korra,3
Gay Sex,3
Alpha!Kuvira,3
primal,3
Alternate Universe - Time Travel,3
Bolin & Korra Friendship,3
Orgasm Delay/Denial,3
Public Display of Affection,3
Squirting,3
Multiple Partners,3
Canon Relationships,3
Post Book 3: Change,3
Face-Fucking,3
Some angst,3
Alternate Universe - Teachers,3
trigger warning,3
Soulmate Pain AU,3
Plot,3
Lady-cock,3
Clit-cock,3
Strippers & Strip Clubs,3
Scissoring,3
G!PKorra,2
Sexual Roleplay,2
Gags,2
Rimming,2
Action,2
korrasami wedding day,2
Unreliable Narrator,2
Soccer,2
Comfort/Angst,2
Alternate Universe - Historical,2
Guns,2
season 4,2
4x13,2
Public Masturbation,2
Wet Dream,2
Worldbuilding,2
Male-Female Friendship,2
Coffee Shops,2
Moving In Together,2
Halloween,2
Consent is Sexy,2
some smut,2
AO3 exclusive,2
Stockholm Syndrome,2
Vampire AU,2
Alternate Universe - Small Town,2
Alternate Universe - Roommates/Housemates,2
Short,2
Korrasami Week 2016,2
Prompt:Meet the Parents,2
The Drift (Pacific Rim),2
Kaiju (Pacific Rim),2
Alternate Universe - Pacific Rim Fusion,2
Wheelchairs,2
Avatar Cycle,2
Murder,2
How Do I Tag,2
Some Humor,2
Mindbreak,2
Teenage Drama,2
Wax Play,2
Past Korra/Mako - Freeform,2
Clubbing,2
Power Play,2
Yuri,2
Korrasami Week 2018,2
Wedding,2
Threesome,2
Escort Service,2
Call Girl,2
Intimacy,2
Red Lotus (Avatar),2
Intersex Korra,2
Possessive Behavior,2
Morning After,2
Alternate Universe - Vampire,2
canon girlfriends,2
Language,2
Older Korrasami,2
Fluff With No Plot,2
married,2
Freeform,2
Birthday Sex,2
Future Fic,2
Korra Has a Penis (Avatar),2
Happy,2
Families of Choice,2
Compulsory Heterosexuality,2
Consent,2
Useless Lesbians,2
Post-100 Year War (Avatar TV),2
Mian - Freeform,2
Childhood,2
Getting to Know Each Other,2
soft lin,2
Pen Pals,2
Girl Penis Korra,2
Size Kink,2
Mako is trying his best,2
Family Feels,2
Queer Themes,2
Post Season 4,2
Soft sex,2
Fluff and Hurt/Comfort,2
One Big Happy Family,2
a/b/o dynamics,2
knotting kink,2
Nudity,2
Mating Cycles,2
Alternate Universe - Modern with Magic,2
Alternate Universe - Merpeople,2
Bittersweet Ending,2
Piercings,2
Hurt No Comfort,2
Implied/Referenced Child Abuse,2
Book 3,2
Past Lives,2
Weddings,2
Scars,2
Emotional Abuse,2
Feelings Realization,2
Minor Mako/Asami Sato,2
Married Korra/Asami Sato,2
Implied/Referenced Domestic Violence,2
Emotional Baggage,2
Sexuality,2
