value,count
Hurt/Comfort,498
Fluff,310
Angst,306
Protective Technoblade (Video Blogging RPF),264
TommyInnit-centric (Video Blogging RPF),240
Wilbur Soot and Technoblade and TommyInnit are Siblings,232
Sleepy Bois Inc as Family,222
TommyInnit Needs a Hug (Video Blogging RPF),216
Angst with a Happy Ending,202
Protective Wilbur Soot,201
Found Family,196
Fluff and Angst,175
Implied/Referenced Child Abuse,153
Piglin Hybrid Technoblade (Video Blogging RPF),148
Traumatized TommyInnit (Video Blogging RPF),139
Protective Phil Watson (Video Blogging RPF),134
Platonic Cuddling,127
Dark Sleepy Bois Inc,125
Hurt TommyInnit (Video Blogging RPF),123
Family Dynamics,118
Possessive Behavior,110
Emotional Hurt/Comfort,106
Good Parent Phil Watson (Video Blogging RPF),106
TommyInnit Angst (Video Blogging RPF),102
Kidnapping,101
Platonic Relationships,99
Sleepy Bois Inc-centric,96
Alternate Universe - Superheroes/Superpowers,93
Blood and Injury,89
Winged Phil Watson (Video Blogging RPF),88
Older Sibling Wilbur Soot,86
Possessive Technoblade (Video Blogging RPF),85
Alternate Universe - Canon Divergence,82
Panic Attacks,82
Angst and Hurt/Comfort,78
BAMF TommyInnit (Video Blogging RPF),78
Touch-Starved TommyInnit (Video Blogging RPF),73
Suicidal Thoughts,72
Villain Clay | Dream (Video Blogging RPF),69
Alternate Universe - Modern Setting,69
Protective Sleepy Bois Inc,68
Technoblade-centric (Video Blogging RPF),66
Other Additional Tags to Be Added,65
Soft Technoblade (Video Blogging RPF),65
Happy Ending,64
Twins Wilbur Soot & Technoblade,63
Possessive Wilbur Soot,63
Avian Phil Watson (Video Blogging RPF),62
Scared TommyInnit (Video Blogging RPF),61
Parent Phil Watson (Video Blogging RPF),60
Alternate Universe,60
TommyInnit Needs a Break (Video Blogging RPF),59
Winged TommyInnit (Video Blogging RPF),59
Wilbur Soot and TommyInnit are Siblings,59
Exiled TommyInnit (Video Blogging RPF),59
Wilbur Soot and Technoblade are Siblings,59
Sad TommyInnit (Video Blogging RPF),58
Bedrock Bros,58
Swearing,57
