value,count
Romance,240
Smut,172
Explicit Sexual Content,159
Severus Snape Lives,142
Oral Sex,127
Harry Potter Epilogue What Epilogue | EWE,111
Slow Burn,111
Angst,107
Teacher-Student Relationship,93
Vaginal Sex,92
Fluff,90
Hurt/Comfort,78
Post-War,73
Alternate Universe - Canon Divergence,71
Masturbation,68
Time Travel,68
Shameless Smut,66
Fluff and Smut,65
Ron Weasley Bashing,64
Vaginal Fingering,64
,63
Rough Sex,62
Spanking,59
Anal Sex,57
Dirty Talk,57
Humor,56
Angst with a Happy Ending,54
Cunnilingus,54
Eventual Smut,54
Complete,52
Mutual Pining,51
Severus Snape Has a Heart,48
Happy Ending,48
Sex,48
Eventual Romance,48
Explicit Language,47
Praise Kink,44
Plot What Plot/Porn Without Plot,44
Threesome - F/M/M,43
Older Man/Younger Woman,42
Post-Hogwarts,41
Dubious Consent,40
Age Difference,40
Drama,40
BDSM,39
Blow Jobs,39
Friends to Lovers,38
First Time,38
Friendship,38
Marriage Law Challenge,36
Dom/sub,36
Alternate Universe,36
Anal Fingering,35
HP: EWE,34
BAMF Hermione Granger,34
Loss of Virginity,34
Post-Traumatic Stress Disorder - PTSD,32
Voyeurism,32
Pregnancy,31
Good Severus Snape,30
Adult Hermione Granger,29
Hogwarts Eighth Year,29
Sex Toys,29
Light Angst,28
POV Severus Snape,28
Fluff and Angst,28
Daddy Kink,28
Other Additional Tags to Be Added,28
Porn With Plot,27
Penis In Vagina Sex,27
Torture,26
POV Hermione Granger,26
Exhibitionism,25
Love,25
Slow Build,25
HEA,24
One Shot,24
Mystery,24
Banter,24
Rape/Non-con Elements,23
Forced Marriage,23
Breeding Kink,23
Professor Hermione Granger,22
Sexual Tension,22
Emotional Hurt/Comfort,21
Hogwarts,21
Pining,21
Semi-Public Sex,21
Sexual Content,21
Potions,21
Orgasm Delay/Denial,21
Shower Sex,21
Time Travel Fix-It,21
Manipulative Albus Dumbledore,20
Minor Character Death,20
Bondage,20
Discord: Hearts & Cauldrons SSHG Server,20
Nipple Play,20
marriage law,20
Christmas,19
Co-workers,19
Protective Severus Snape,19
Unplanned Pregnancy,19
Breeding,19
Light Dom/sub,18
Porn with Feelings,18
Anal Play,18
Character Death,18
Rimming,18
Marauders Era (Harry Potter),17
Double Penetration,17
Idiots in Love,17
Hogwarts Seventh Year,17
Potions Master Severus Snape,16
Possessive Severus Snape,16
Soul Bond,16
Headmaster Severus Snape,16
AU,16
Light BDSM,16
Rough Oral Sex,16
Alpha/Beta/Omega Dynamics,16
Hand Jobs,16
Soulmates,15
Desk Sex,15
Falling In Love,15
Humiliation,15
Creampie,15
idiots to lovers,15
Implied/Referenced Child Abuse,14
Misunderstandings,14
Professor Severus Snape,14
Light Bondage,14
Arranged Marriage,14
Trauma,14
Time Turner (Harry Potter),14
Young Severus Snape,13
Mildly Dubious Consent,13
Violence,13
Jealousy,13
Curses,13
Eventual Happy Ending,13
Art,13
Death Eaters,13
Alpha/Omega,13
Angst and Hurt/Comfort,13
Knotting,13
Drama & Romance,13
Post-Battle of Hogwarts,13
Anal Plug,13
Polyamory,12
ss/hg,12
Christmas Fluff,12
Rape,12
Healing,12
Dead Dove: Do Not Eat,12
Sub Hermione Granger,12
Public Sex,12
Enemies to Lovers,11
Gift Fic,11
Virgin Hermione Granger,11
Possessive Behavior,11
Gratuitous Smut,11
Post-Canon,11
Nipple Licking,11
Secret Relationship,11
Multiple Orgasms,11
PWP,11
Enthusiastic Consent,11
Apprentice Hermione Granger,11
Alpha Severus Snape,11
Omega Hermione Granger,11
Not Epilogue Compliant,11
Slow Romance,11
Time Turner,11
Love Confessions,10
Past Hermione Granger/Ron Weasley,10
Legilimency (Harry Potter),10
Canon-Typical Violence,10
Implied/Referenced Torture,10
Heavy Angst,10
Caning,10
Angst and Fluff and Smut,10
Fluff and Humor,10
snamione,10
Albus Dumbledore Bashing,10
Family,10
Eventual Fluff,10
Friendship/Love,9
Molly Weasley Bashing,9
Wall Sex,9
Hogwarts Sixth Year,9
Punishment,9
Dark,9
Unresolved Sexual Tension,9
Established Relationship,9
Dom Severus Snape,9
Severus Snape Needs a Hug,9
Hair-pulling,9
SSHG - Freeform,9
Not Beta Read,9
Vampires,9
Enemies to Friends to Lovers,9
EWE,9
Explicit Consent,9
Outdoor Sex,9
Memory Loss,9
Virgin Severus Snape,9
Forced Orgasm,9
Mating Cycles/In Heat,9
Soulmate-Identifying Marks,8
Miscommunication,8
Master/Slave,8
Book 6: Harry Potter and the Half-Blood Prince,8
Alcohol,8
Library Sex,8
Flogging,8
Mutual Masturbation,8
Begging,8
Teasing,8
Dildos,8
Face-Fucking,8
Severus Snape-centric,8
Humour,8
Frottage,8
Sexual Fantasy,8
Number Twelve Grimmauld Place,8
Eventual Sex,8
Magical Pregnancy,8
Domestic Fluff,8
Implied/Referenced Rape/Non-con,8
Not Canon Compliant,8
Extremely Dubious Consent,8
Injury Recovery,8
Blood and Violence,8
Alternate Universe - Time Travel,8
Fix-It,7
Hogwarts Professors,7
Detention,7
Ministry of Magic Employee Hermione Granger,7
Sexual Slavery,7
Domestic Violence,7
Forced Pregnancy,7
Morally Grey Hermione Granger,7
Alternate Universe - Soulmates,7
Horcruxes,7
Emotional Manipulation,7
Biting,7
Sex Magic,7
Book 7: Harry Potter and the Deathly Hallows,7
Fuck Or Die,7
Literary References & Allusions,7
Healer Hermione Granger,7
Dark Magic,7
Choking,7
