value,count
Fluff,320
Alpha/Beta/Omega Dynamics,298
Top Jeon Jungkook,217
Smut,212
Alpha Jeon Jungkook,210
Angst,204
Anal Sex,181
Bottom Park Jimin (BTS),168
Omega Park Jimin (BTS),151
Hurt/Comfort,148
Slow Burn,143
Angst with a Happy Ending,138
Alternate Universe - College/University,136
Knotting,134
Mating Cycles/In Heat,126
Explicit Sexual Content,125
Dirty Talk,117
Rimming,115
Anal Fingering,110
Happy Ending,110
Fluff and Smut,95
Jeon Jungkook is Whipped,90
Light Angst,90
Mutual Pining,90
Blow Jobs,88
Mpreg,85
Enemies to Lovers,83
Fluff and Angst,83
Strangers to Lovers,81
Plot What Plot/Porn Without Plot,80
Scenting,79
Sexual Tension,75
Alternate Universe,72
Eventual Smut,69
Friends to Lovers,69
Misunderstandings,68
Multiple Orgasms,67
Falling In Love,66
Dom/sub Undertones,64
Established Relationship,63
Overstimulation,61
Jeon Jungkook is Bad at Feelings,58
Oral Sex,58
Pining,58
Romance,55
Pack Dynamics,55
Rough Sex,53
Polyamory,52
Humor,51
Emotional Hurt/Comfort,51
Spanking,50
Canon Compliant,48
Jeon Jungkook-centric,48
Violence,48
Hand Jobs,46
Barebacking,46
Jealousy,46
Bottom Jeon Jungkook,45
OT7,44
Domestic Fluff,44
Dom/sub,43
Minor Character Death,43
Omega Park Jimin,42
Praise Kink,41
jikook - Freeform,40
Masturbation,40
First Time,40
Exhibitionism,40
Kim Taehyung | V & Park Jimin are Best Friends,40
Alpha Kim Namjoon | RM,38
Omega Jeon Jungkook,37
Bottom Park Jimin,36
Porn with Feelings,36
Self-Lubrication,36
Jeon Jungkook is a Little Shit,35
Tooth-Rotting Fluff,34
Biting,34
Semi-Public Sex,34
Porn With Plot,33
Loss of Virginity,33
Dubious Consent,33
Fluff and Humor,32
Alternate Universe - Fantasy,32
Possessive Behavior,32
Aftercare,32
Alpha Min Yoongi | Suga,32
Come Inflation,31
Daddy Kink,31
Mating Bites,31
Other Additional Tags to Be Added,31
Blood and Violence,31
Jeon Jungkook is a Sweetheart,30
Rape/Non-con Elements,30
Top Park Jimin (BTS),29
Alpha/Omega,29
