value,count
Fluff,278
Top Jeon Jungkook,217
Bottom Kim Taehyung | V,199
Smut,167
Angst,165
Anal Sex,135
Jeon Jungkook is Whipped,124
Top Kim Taehyung | V,118
Bottom Jeon Jungkook,114
Fluff and Angst,110
Hurt/Comfort,110
taekook,107
Alternate Universe - College/University,98
Explicit Sexual Content,92
Angst with a Happy Ending,92
Kim Taehyung | V is Whipped,92
Oral Sex,90
Jeon Jungkook-centric,90
Boypussy Kim Taehyung | V,80
Anal Fingering,79
Light Angst,78
Vaginal Sex,78
Fluff and Smut,77
Kim Taehyung | V & Park Jimin are Best Friends,74
Boypussy,74
Blow Jobs,71
One Shot,66
Alpha/Beta/Omega Dynamics,64
Alpha Jeon Jungkook,64
Domestic Fluff,63
Jeon Jungkook & Kim Taehyung | V are Best Friends,62
vkook,62
Established Relationship,62
Friends to Lovers,60
Happy Ending,58
Kim Taehyung | V-centric,57
Strangers to Lovers,57
Kim Taehyung | V Has a Vagina,57
Boys Kissing,56
Porn With Plot,55
Kim Taehyung | V is a Sweetheart,52
Slow Burn,52
Shameless Smut,52
Jeon Jungkook is Bad at Feelings,51
Emotional Hurt/Comfort,51
Omega Kim Taehyung | V,50
Cute Kim Taehyung | V,49
Established Jeon Jungkook/Kim Taehyung | V,48
Plot What Plot/Porn Without Plot,48
Vaginal Fingering,48
Other Additional Tags to Be Added,47
Romance,45
Cute Jeon Jungkook,45
Dead Dove: Do Not Eat,45
Not Beta Read,44
Eventual Smut,44
Shy Jeon Jungkook,43
Rough Sex,43
Jeon Jungkook Has a Big Dick,43
Hurt Jeon Jungkook,42
Alternate Universe,41
Hurt Kim Taehyung | V,40
Cunnilingus,40
Canon Compliant,40
Jeon Jungkook is a Little Shit,38
Angst and Hurt/Comfort,38
Misunderstandings,37
Gay Sex,37
Sub Jeon Jungkook,36
Barebacking,36
Kim Taehyung | V is a Little Shit,35
Pining,35
Falling In Love,35
Sex,34
Rimming,34
Tooth-Rotting Fluff,34
Boypussy Jeon Jungkook,34
Alpha Kim Taehyung | V,34
Kissing,34
Jeon Jungkook is Older Than Kim Taehyung | V,33
University Student Kim Taehyung | V,32
we die like hyyh yoonkook,32
Creampie,31
Hand Jobs,31
Alternate Universe - Modern Setting,30
Mpreg,30
Dirty Talk,30
University Student Jeon Jungkook,30
Cheating,30
Spanking,30
Masturbation,30
Platonic Relationships,30
Slice of Life,29
Mutual Pining,29
Dom Kim Taehyung | V,29
Fluff and Humor,28
Kim Taehyung | V is Bad at Feelings,28
Penis In Vagina Sex,28
Enemies to Lovers,28
