value,count
Fluff,223
Kim Taehyung | V & Park Jimin are Best Friends,209
Angst,199
Hurt/Comfort,141
Fluff and Angst,103
Alternate Universe - College/University,92
Angst with a Happy Ending,83
vmin - Freeform,69
Smut,69
Alternate Universe,68
Bottom Park Jimin (BTS),62
Emotional Hurt/Comfort,62
Slow Burn,61
Canon Compliant,58
Light Angst,56
Top Kim Taehyung | V,54
Friends to Lovers,50
Friendship,48
Anal Sex,44
Soulmates,43
Kim Taehyung | V-centric,42
Heavy Angst,39
Romance,38
Jeon Jungkook is Whipped,38
Bottom Kim Taehyung | V,37
Oral Sex,37
Anal Fingering,37
Depression,37
Platonic Relationships,36
Alternate Universe - Soulmates,36
Alpha/Beta/Omega Dynamics,36
Jeon Jungkook is Bad at Feelings,35
Established Relationship,35
Humor,35
Fluff and Smut,35
Happy Ending,35
Angst and Hurt/Comfort,34
Jeon Jungkook is a Little Shit,34
One Shot,33
Park Jimin (BTS) is a Sweetheart,33
Kim Taehyung | V is Whipped,33
Top Jeon Jungkook,32
Kim Taehyung | V is a Sweetheart,32
Top Park Jimin (BTS),31
Domestic Fluff,31
Violence,30
Character Death,30
Mental Health Issues,30
Alternate Universe - Fantasy,29
Other Additional Tags to Be Added,29
Falling In Love,29
Minor Character Death,29
Alternate Universe - High School,28
Omega Park Jimin (BTS),28
Mutual Pining,27
Blow Jobs,27
Pining,27
Best Friends,26
Unrequited Love,26
Hurt Kim Taehyung | V,26
Suicide Attempt,26
Tooth-Rotting Fluff,26
Fluff and Humor,25
Explicit Sexual Content,25
Misunderstandings,24
,24
Alpha Jeon Jungkook,24
Slice of Life,24
Eating Disorders,24
Magic,23
Enemies to Lovers,23
Drabble,22
Childhood Friends,22
Min Yoongi | Suga is Bad at Feelings,22
Park Jimin Is a Sweetheart,22
OT7,22
Cute Park Jimin (BTS),22
Crying,22
Platonic Cuddling,22
Sub Park Jimin (BTS),22
Gay Sex,21
Kim Taehyung | V is Bad at Feelings,21
Love,21
Love Confessions,21
Blood and Injury,21
Platonic Soulmates,21
Eventual Smut,21
Boys In Love,21
Alternate Universe - Modern Setting,21
Alternate Universe - Magic,20
Platonic Soulmates Kim Taehyung | V & Park Jimin,20
Min Yoongi | Suga Is Whipped,20
Park Jimin-centric (BTS),20
Alternate Universe - Canon Divergence,20
Rape/Non-con Elements,20
How Do I Tag,19
Kim Taehyung | V is a Little Shit,19
bts - Freeform,19
Friendship/Love,19
Found Family,19
Developing Relationship,19
Shy Jeon Jungkook,18
Alpha Kim Namjoon | RM,18
Alpha Min Yoongi | Suga,18
Murder,18
Blood and Violence,18
Sad,18
Anxiety,18
Angst and Feels,18
Cuddling & Snuggling,18
Strangers to Lovers,18
Dom Kim Taehyung | V,18
Dom Park Jimin (BTS),18
Attempt at Humor,17
Romantic Fluff,17
Cute Kim Taehyung | V,17
Bullying,17
Manipulation,17
Cute Jeon Jungkook,17
Panic Attacks,17
Sub Kim Taehyung | V,17
Dancer Park Jimin (BTS),17
Implied/Referenced Rape/Non-con,16
Non-Traditional Alpha/Beta/Omega Dynamics,16
Park Jimin (BTS)-centric,16
Soft Park Jimin (BTS),16
Short One Shot,16
Polyamory,16
Daddy Kink,16
Emotional/Psychological Abuse,16
Plot What Plot/Porn Without Plot,16
Swearing,16
Adorable Kim Taehyung | V,15
Suicidal Thoughts,15
Implied/Referenced Self-Harm,15
Sex,15
Drama,15
Homophobia,15
Jeon Jungkook & Park Jimin are Best Friends,15
Post-Traumatic Stress Disorder - PTSD,15
Jeon Jungkook & Kim Taehyung | V are Best Friends,15
Ambiguous/Open Ending,15
Sad Park Jimin (BTS),15
Alternate Universe - Royalty,14
Gay,14
University Student Park Jimin (BTS),14
Threesome - M/M/M,14
Alpha Kim Taehyung | V,14
Implied Sexual Content,14
Angst and Fluff and Smut,14
Mpreg,14
I Wrote This Instead of Sleeping,14
lapslock,14
Queerplatonic Relationships,14
Sad Kim Taehyung | V,14
taekook,14
Anxiety Attacks,14
Kidnapping,14
First Kiss,14
Light Dom/sub,14
Boypussy,14
No Smut,13
Growing Up,13
Rough Sex,13
First Time,13
Alcohol,13
Established Kim Namjoon | RM/Kim Seokjin | Jin,13
Red String of Fate,13
Blood and Gore,13
Cute,13
Enemies to Friends to Lovers,13
Soulmates Kim Taehyung | V & Park Jimin,13
Self-Esteem Issues,13
Producer Min Yoongi | Suga,13
jikook - Freeform,13
Jealous Jeon Jungkook,13
Crack,13
Sexual Tension,13
Bangtan Boys | BTS is a Family,13
Rimming,13
Dirty Talk,13
Kim Taehyung | V Needs a Hug,12
One-Sided Attraction,12
Implied/Referenced Character Death,12
University Student Kim Taehyung | V,12
Implied/Referenced Suicide,12
Alpha/Omega,12
Alpha Jung Hoseok | J-Hope,12
Self-Harm,12
Texting,12
Underage Drinking,12
Hurt Park Jimin (BTS),12
Not Beta Read,12
Mentioned Jung Hoseok | J-Hope,12
Kissing,12
Kim Seokjin | Jin & Kim Taehyung | V are Siblings,12
Jeon Jungkook-centric,12
Bottom Jeon Jungkook,12
Dom/sub,12
Shameless Smut,12
Dancer Jung Hoseok | J-Hope,12
Hand Jobs,12
Boypussy Park Jimin (BTS),12
Fluff and Hurt/Comfort,11
vminkook,11
University Student Jeon Jungkook,11
Blood,11
Horror,11
Flashbacks,11
Smoking,11
Implied/Referenced Child Abuse,11
Trauma,11
Slow Build,11
Idiots in Love,11
Kid Jeon Jungkook,11
Established Kim Taehyung | V/Park Jimin,11
Soft Min Yoongi | Suga,11
Eventual Happy Ending,11
Coming Out,11
First Meetings,11
Secret Relationship,11
Grief/Mourning,11
Minor Violence,11
Break Up,11
Vampires,11
Boys Kissing,11
VMINWEEK,11
Torture,11
Dubious Consent,11
Platonic Kissing,11
Asexual Character,11
Underage Sex,11
Voyeurism,10
Self-Hatred,10
Introspection,10
Romantic Soulmates,10
Supernatural Elements,10
Domestic,10
Suicide,10
Idols,10
Friends With Benefits,10
Implied/Referenced Alcohol Abuse/Alcoholism,10
Jealousy,10
Time Travel,10
Healing,10
Protective Kim Taehyung | V,10
Kim Namjoon | RM & Min Yoongi | Suga are Best Friends,10
Incest,10
Arranged Marriage,10
Established Jeon Jungkook/Park Jimin,10
Cute Jeon Jungkook/Park Jimin,10
BDSM,10
Top Min Yoongi | Suga,10
Omega Kim Seokjin | Jin,10
Omega Kim Taehyung | V,10
Power Bottom Park Jimin (BTS),10
Park Jimin Is Whipped,10
Magical Realism,10
References to Depression,10
Hospitals,10
Kid Kim Taehyung | V,10
Vaginal Sex,10
Protective Bangtan Boys | BTS,10
Hurt Jeon Jungkook,10
Kid Fic,10
Masturbation,10
Dom/sub Undertones,10
Alternate Universe - Non-Famous,9
Unhealthy Relationships,9
Alternate Universe - Superheroes/Superpowers,9
yoonkook,9
Exhibitionism,9
Coming of Age,9
Sad Ending,9
Implied/Referenced Homophobia,9
Love Triangles,9
Crimes & Criminals,9
High School,9
Physical Abuse,9
Pain,9
Underage Rape/Non-con,9
Grumpy Min Yoongi | Suga,9
Pre-Relationship,9
Park Jimin is Trying His Best (BTS),9
Hurt No Comfort,9
Royalty,9
Gangs,9
Sexual Content,9
Mild Hurt/Comfort,9
Recovery,9
Humiliation,9
Canon Universe,9
Soft Kim Taehyung | V,9
Teasing,9
Multiple Orgasms,9
Short & Sweet,9
Omega Verse,9
Child Abuse,8
Prince Kim Taehyung | V,8
Blood Drinking,8
Action/Adventure,8
Some Humor,8
Emotional Manipulation,8
Light BDSM,8
The Author Regrets Nothing,8
Mating Cycles/In Heat,8
Fantasy,8
Photographer Kim Taehyung | V,8
