value,count
Hurt/Comfort,531
Angst,328
Sleepy Bois Inc as Family,301
Fluff,300
TommyInnit-centric (Video Blogging RPF),255
Wilbur Soot and Technoblade and TommyInnit are Siblings,251
Protective Wilbur Soot,247
Found Family,239
Protective Technoblade (Video Blogging RPF),220
Angst with a Happy Ending,209
TommyInnit Needs a Hug (Video Blogging RPF),203
Implied/Referenced Child Abuse,188
Fluff and Angst,179
Dark Sleepy Bois Inc,158
Alternate Universe - Superheroes/Superpowers,144
Traumatized TommyInnit (Video Blogging RPF),143
Protective Phil Watson (Video Blogging RPF),141
Family Dynamics,131
Good Parent Phil Watson (Video Blogging RPF),124
Sleepy Bois Inc-centric,118
Kidnapping,117
Platonic Cuddling,116
Hurt TommyInnit (Video Blogging RPF),114
Touch-Starved TommyInnit (Video Blogging RPF),110
TommyInnit Angst (Video Blogging RPF),108
Piglin Hybrid Technoblade (Video Blogging RPF),107
Emotional Hurt/Comfort,105
Possessive Behavior,98
Winged Phil Watson (Video Blogging RPF),98
Panic Attacks,95
Blood and Injury,93
Protective Sleepy Bois Inc,92
BAMF TommyInnit (Video Blogging RPF),92
Alternate Universe - Modern Setting,90
Platonic Relationships,89
Older Sibling Wilbur Soot,86
Other Additional Tags to Be Added,84
Possessive Wilbur Soot,71
Villain Wilbur Soot,69
Wilbur Soot and Technoblade are Siblings,68
Twins Wilbur Soot & Technoblade,67
Suicidal Thoughts,65
Angst and Hurt/Comfort,65
Unreliable Narrator,65
Winged TommyInnit (Video Blogging RPF),65
Happy Ending,64
Alternate Universe,64
Villain Technoblade (Video Blogging RPF),63
Avian Phil Watson (Video Blogging RPF),63
Villain Clay | Dream (Video Blogging RPF),62
Parent Phil Watson (Video Blogging RPF),60
Vigilante TommyInnit (Video Blogging RPF),60
Alternate Universe - Royalty,60
Post-Traumatic Stress Disorder - PTSD,59
Villain Phil Watson (Video Blogging RPF),59
Scared TommyInnit (Video Blogging RPF),59
TommyInnit Needs a Break (Video Blogging RPF),59
Alternate Universe - Foster Family,58
Sleepy Bois Inc Fluff,58
Foster Care,58
Child Abuse,57
Sleepy Bois Inc Angst,57
Alternate Universe - Canon Divergence,57
Adoption,55
Child Neglect,54
Past Child Abuse,52
Family Fluff,52
Adoptive Parent Phil Watson (Video Blogging RPF),51
Violence,50
Minor Character Death,50
Possessive Technoblade (Video Blogging RPF),50
Possessive Sleepy Bois Inc,50
Wilbur Soot and TommyInnit are Siblings,49
Sad TommyInnit (Video Blogging RPF),49
Kid TommyInnit (Video Blogging RPF),49
Dark SBI,49
Swearing,48
Light Angst,48
Families of Choice,48
Human TommyInnit (Video Blogging RPF),47
Emotional Manipulation,47
Hero Technoblade (Video Blogging RPF),47
Bad Parent Phil Watson (Video Blogging RPF),47
Avian TommyInnit (Video Blogging RPF),47
Temporary Character Death,47
Hero Phil Watson (Video Blogging RPF),46
Alternate Universe - Fantasy,46
Crack Treated Seriously,46
Hero Wilbur Soot,45
Technoblade-centric (Video Blogging RPF),44
Hybrid TommyInnit (Video Blogging RPF),44
Manipulation,43
Domestic Fluff,43
Character Death,43
Protective TommyInnit (Video Blogging RPF),42
Dadza,41
Hybrids,41
Blood and Violence,41
Ranboo & TommyInnit Friendship (Video Blogging RPF),40
Dissociation,39
Manipulative Clay | Dream (Video Blogging RPF),39
It Gets Worse Before It Gets Better,39
Heavy Angst,38
Misunderstandings,38
Family Bonding,38
Enderman Hybrid Ranboo (Video Blogging RPF),38
Angel of Death Phil Watson (Video Blogging RPF),38
Dark Wilbur Soot,37
TommyInnit is Not Okay (Video Blogging RPF),37
Alternate Universe - Vampire,37
Soft Technoblade (Video Blogging RPF),37
Tooth-Rotting Fluff,37
Possessive Phil Watson (Video Blogging RPF),36
Alternate Universe - Magic,36
Siren Wilbur Soot,36
Blood,35
Blood and Gore,35
Exiled TommyInnit (Video Blogging RPF),35
Family Feels,34
IRL Fic,34
Secret Identity,34
Technoblade Hears Voices (Video Blogging RPF),34
Non-Consensual Drug Use,33
Suicide Attempt,33
Identity Reveal,33
Alternate Universe - High School,33
Phantom Hybrid Wilbur Soot,32
Vampire Technoblade (Video Blogging RPF),32
Dark Technoblade (Video Blogging RPF),32
sbi,32
Kinda,31
Dark Phil Watson (Video Blogging RPF),31
Alternate Universe - Space,31
Forced adoption,31
Older Siblings Wilbur Soot and Technoblade,31
Wilbur Soot-centric,30
Vampire Wilbur Soot,30
Implied/Referenced Suicide,30
Morally Ambiguous Character,30
Dehumanization,30
Not Beta Read,30
Piglin Hybrid Wilbur Soot,30
Toby Smith | Tubbo & TommyInnit Friendship,29
Implied/Referenced Self-Harm,29
TommyInnit Gets a Hug (Video Blogging RPF),29
Platonic Soulmates,29
Hurt No Comfort,28
Self-Harm,28
Depression,28
Alternate Universe - Gods & Goddesses,28
Canon-Typical Violence,28
Animal Instincts,28
Humor,27
Humans are space orcs,27
Implied/Referenced Character Death,27
Magic,27
Piglin Technoblade (Video Blogging RPF),27
Bird Hybrid Phil Watson (Video Blogging RPF),27
sleepy bois inc - Freeform,26
Vampire Phil Watson (Video Blogging RPF),26
Bedrock Bros,26
Hero TommyInnit (Video Blogging RPF),26
Touch-Starved,26
Villain TommyInnit (Video Blogging RPF),26
Villain Sleepy Bois Inc (Video Blogging RPF),25
Trauma,25
Wilbur Soot Needs a Hug,25
Raccoon Hybrid TommyInnit (Video Blogging RPF),25
Wilbur Soot Loves TommyInnit,25
Older Sibling Technoblade (Video Blogging RPF),25
Miscommunication,25
Murder,24
Protective Clay | Dream (Video Blogging RPF),24
Torture,24
Sleepy Bois Inc as Found Family,24
Prince Wilbur Soot,24
Time Travel,24
Dave | Technoblade and Wilbur Soot and TommyInnit are Siblings,23
Vampires,23
Wilbur Soot is Not Okay,23
Winged Wilbur Soot,23
Bullying,23
Pet Names,23
Dysfunctional Family,23
Vigilante Ranboo (Video Blogging RPF),23
Fluff and Humor,23
Minor Violence,22
Implied/Referenced Torture,22
Nightmares,22
Healing,22
Mental Health Issues,22
Prince TommyInnit (Video Blogging RPF),22
Alcohol Abuse/Alcoholism,21
Attempt at Humor,21
Sickfic,21
BAMF Technoblade (Video Blogging RPF),21
Prince Technoblade (Video Blogging RPF),21
Immortal Phil Watson (Video Blogging RPF),21
Soft Wilbur Soot,21
Phil Watson is Wilbur Soot and Technoblade and TommyInnit's Parent,21
Author Is Sleep Deprived,21
Trust Issues,21
Comfort,21
Hurt Wilbur Soot,20
Self-Esteem Issues,20
Aliens,20
Technoblade is Bad at Feelings (Video Blogging RPF),20
Hero Clay | Dream (Video Blogging RPF),20
BAMF Toby Smith | Tubbo,20
Jschlatt is Toby Smith | Tubbo's Parent,20
King Phil Watson (Video Blogging RPF),20
Protective Older Sibling Wilbur Soot,20
Eventual Happy Ending,20
Hugs,20
Vigilante Toby Smith | Tubbo,20
Good Older Sibling Technoblade (Video Blogging RPF),20
Wingfic,20
Crack,19
Trans TommyInnit (Video Blogging RPF),19
Alien Wilbur Soot,19
Goat Hybrid Toby Smith | Tubbo,19
Blood God Technoblade (Video Blogging RPF),19
Alternate Universe - Soulmates,19
Foster Child TommyInnit (Video Blogging RPF),19
Alternate Universe - Aliens,19
Technoblade Needs a Hug (Video Blogging RPF),19
TommyInnit Has ADHD (Video Blogging RPF),19
Emotional/Psychological Abuse,19
Goddess of Death Kristin Rosales Watson,19
Past Abuse,19
Dark fluff,18
Protective Toby Smith | Tubbo,18
5+1 Things,18
Stockholm Syndrome,18
Adopted Sibling Relationship,18
Ghost Wilbur Soot,18
Vomiting,18
Alternate Universe - Fae,18
Sick TommyInnit (Video Blogging RPF),17
Anxiety Attacks,17
BAMF Phil Watson (Video Blogging RPF),17
Baby TommyInnit (Video Blogging RPF),17
Mild Hurt/Comfort,17
Soft TommyInnit (Video Blogging RPF),17
Good Clay | Dream (Video Blogging RPF),17
TommyInnit Has PTSD (Video Blogging RPF),17
Elytrian Phil Watson (Video Blogging RPF),17
Clay | Dream is Not a Villain (Video Blogging RPF),17
Ranboo-centric (Video Blogging RPF),16
Near Death Experiences,16
TommyInnit Hears Voices (Video Blogging RPF),16
Trans Character,16
Parental Phil Watson (Video Blogging RPF),16
Not RPF,16
Worldbuilding,16
Younger Sibling TommyInnit (Video Blogging RPF),16
Recovery,16
Anxiety,16
They/Them Pronouns for Eret (Video Blogging RPF),15
Vampire TommyInnit (Video Blogging RPF),15
Protectiveness,15
Bittersweet Ending,15
Alien Phil Watson (Video Blogging RPF),15
no beta we die like men,15
Implied/Referenced Drug Use,15
Friendship,15
Phil Watson is Wilbur Soot and Technoblade's Parent,15
Sad Wilbur Soot,15
Brotherly Bonding,15
Tags May Change,15
Werewolf TommyInnit (Video Blogging RPF),15
TommyInnit Loves Wilbur Soot,15
Human Experimentation,15
Family,15
Ambiguous/Open Ending,15
Major Character Injury,15
Depressed TommyInnit (Video Blogging RPF),15
Possessive TommyInnit (Video Blogging RPF),15
Vigilantism,15
Kid Fic,14
Dark TommyInnit (Video Blogging RPF),14
Mentioned Clay | Dream (Video Blogging RPF),14
Immortal Technoblade (Video Blogging RPF),14
Wilbur Soot Acting as TommyInnit's Parental Figure,14
Crying,14
Alternate Universe - Modern with Magic,14
Alternate Universe - Coffee Shops & Cafés,14
Superheroes,14
Protective Parent Phil Watson (Video Blogging RPF),14
Shapeshifter TommyInnit (Video Blogging RPF),14
Underage Drinking,14
Abandoned Work - Unfinished and Discontinued,14
Bad Sibling Wilbur Soot,14
Childhood Trauma,14
How Do I Tag,14
Mafia AU,13
Minor Injuries,13
Dimension Travel,13
TommyInnit is Bad at Feelings (Video Blogging RPF),13
Author is a TommyInnit Apologist (Video Blogging RPF),13
Dark,13
Whump,13
