value,count
Hurt/Comfort,460
Angst,348
Fluff,295
TommyInnit-centric (Video Blogging RPF),259
Wilbur Soot and Technoblade and TommyInnit are Siblings,191
Found Family,183
Fluff and Angst,177
Sleepy Bois Inc as Family,175
Angst with a Happy Ending,171
TommyInnit Needs a Hug (Video Blogging RPF),171
Protective Wilbur Soot,140
Implied/Referenced Child Abuse,129
Platonic Cuddling,120
Traumatized TommyInnit (Video Blogging RPF),119
TommyInnit Angst (Video Blogging RPF),115
Platonic Relationships,111
Hurt TommyInnit (Video Blogging RPF),109
Other Additional Tags to Be Added,105
Family Dynamics,102
Panic Attacks,95
Protective Technoblade (Video Blogging RPF),94
Alternate Universe - Superheroes/Superpowers,93
Emotional Hurt/Comfort,92
Winged TommyInnit (Video Blogging RPF),91
Alternate Universe - Canon Divergence,89
Winged Phil Watson (Video Blogging RPF),87
Blood and Injury,86
Kidnapping,86
Suicidal Thoughts,83
Ranboo & TommyInnit Friendship (Video Blogging RPF),78
BAMF TommyInnit (Video Blogging RPF),75
Older Sibling Wilbur Soot,74
Angst and Hurt/Comfort,74
Villain Clay | Dream (Video Blogging RPF),73
Enderman Hybrid Ranboo (Video Blogging RPF),73
Alternate Universe - Modern Setting,72
Piglin Hybrid Technoblade (Video Blogging RPF),71
Touch-Starved TommyInnit (Video Blogging RPF),69
Post-Traumatic Stress Disorder - PTSD,68
Protective Phil Watson (Video Blogging RPF),66
Bad Parent Phil Watson (Video Blogging RPF),66
TommyInnit Needs a Break (Video Blogging RPF),65
Good Parent Phil Watson (Video Blogging RPF),62
Manipulation,62
Happy Ending,61
Swearing,61
Wilbur Soot and TommyInnit are Siblings,58
Sad TommyInnit (Video Blogging RPF),58
IRL Fic,56
Protective Toby Smith | Tubbo,54
Hybrid TommyInnit (Video Blogging RPF),54
Hurt No Comfort,51
Light Angst,51
Emotional Manipulation,51
Heavy Angst,51
Sleepy Bois Inc-centric,51
Toby Smith | Tubbo & TommyInnit Friendship,50
Temporary Character Death,50
Exiled TommyInnit (Video Blogging RPF),48
Dark Sleepy Bois Inc,48
Alternate Universe,48
Crack Treated Seriously,46
Villain Wilbur Soot,45
Unreliable Narrator,45
Canon-Typical Violence,45
Twins Wilbur Soot & Technoblade,44
Dadza,43
Manipulative Clay | Dream (Video Blogging RPF),43
Vigilante TommyInnit (Video Blogging RPF),42
Sleepy Bois Inc Angst,42
Parent Phil Watson (Video Blogging RPF),42
Toby Smith | Tubbo-centric,42
Child Neglect,42
Implied/Referenced Suicide,42
Soft TommyInnit (Video Blogging RPF),41
Child Abuse,41
Character Death,41
Minor Character Death,40
Avian TommyInnit (Video Blogging RPF),40
It Gets Worse Before It Gets Better,40
Friendship,40
Protective TommyInnit (Video Blogging RPF),40
Scared TommyInnit (Video Blogging RPF),40
Hero Wilbur Soot,39
Not Beta Read,39
Violence,39
Goat Hybrid Toby Smith | Tubbo,39
Kinda,39
Domestic Fluff,38
Possessive Behavior,38
BAMF Toby Smith | Tubbo,38
Family Fluff,37
Wilbur Soot and Technoblade are Siblings,37
Ranboo-centric (Video Blogging RPF),36
Hero Technoblade (Video Blogging RPF),34
Hero Phil Watson (Video Blogging RPF),34
Trauma,34
Dissociation,34
Avian Phil Watson (Video Blogging RPF),33
Suicide Attempt,33
Trans TommyInnit (Video Blogging RPF),33
Alternate Universe - Royalty,32
Protective Sleepy Bois Inc,31
Adoptive Parent Phil Watson (Video Blogging RPF),31
Blood and Violence,31
Self-Harm,31
Technoblade Hears Voices (Video Blogging RPF),31
Hybrids,31
Foster Care,31
Time Travel,31
Tooth-Rotting Fluff,30
Hugs,30
Past Child Abuse,30
Ghost Wilbur Soot,30
Alternate Universe - Fantasy,30
Alternate Universe - Foster Family,30
Family Feels,29
Protective Ranboo (Video Blogging RPF),29
I Wrote This Instead of Sleeping,29
Humans are space orcs,29
Ranboo and Toby Smith | Tubbo Have a Child Named Michael,29
Depressed TommyInnit (Video Blogging RPF),29
Fluff and Humor,29
sbi,28
Families of Choice,28
Dave | Technoblade and Wilbur Soot and TommyInnit are Siblings,28
Humor,28
Depression,28
Platonically Married Ranboo and Toby Smith | Tubbo,28
Platonic Soulmates,28
TommyInnit is Not Okay (Video Blogging RPF),28
Bee Hybrid Toby Smith | Tubbo,27
Wilbur Soot Loves TommyInnit,27
Secret Identity,27
Human TommyInnit (Video Blogging RPF),27
Villain Technoblade (Video Blogging RPF),27
Implied/Referenced Character Death,27
Toby Smith | Tubbo Needs a Hug,26
Wingfic,26
Phantom Hybrid Wilbur Soot,26
Non-Consensual Drug Use,26
Alternate Universe - High School,26
Sleepy Bois Inc Fluff,25
sleepy bois inc - Freeform,25
Alternate Universe - Gods & Goddesses,25
Nightmares,25
Blood,25
Touch-Starved,25
5+1 Things,25
