value,count
Hurt/Comfort,409
Fluff,320
Angst,309
Fluff and Angst,195
TommyInnit-centric (Video Blogging RPF),191
Ranboo-centric (Video Blogging RPF),160
Platonic Relationships,142
Angst with a Happy Ending,140
Wilbur Soot and Technoblade and TommyInnit are Siblings,137
Enderman Hybrid Ranboo (Video Blogging RPF),135
Found Family,135
Other Additional Tags to Be Added,132
TommyInnit Needs a Hug (Video Blogging RPF),131
Sleepy Bois Inc as Family,129
Traumatized TommyInnit (Video Blogging RPF),124
Panic Attacks,104
Platonically Married Ranboo and Toby Smith | Tubbo,103
Alternate Universe - Canon Divergence,101
Platonic Cuddling,99
Emotional Hurt/Comfort,98
Toby Smith | Tubbo-centric,93
Ranboo & TommyInnit Friendship (Video Blogging RPF),91
Alternate Universe - Superheroes/Superpowers,88
Implied/Referenced Child Abuse,87
Piglin Hybrid Technoblade (Video Blogging RPF),81
Protective Technoblade (Video Blogging RPF),80
Blood and Injury,79
Ranboo and Toby Smith | Tubbo Have a Child Named Michael,79
Light Angst,77
Angst and Hurt/Comfort,76
Winged Phil Watson (Video Blogging RPF),74
Protective Wilbur Soot,71
Hurt TommyInnit (Video Blogging RPF),67
Goat Hybrid Toby Smith | Tubbo,67
Winged TommyInnit (Video Blogging RPF),66
Alternate Universe - Modern Setting,60
Happy Ending,59
Kidnapping,58
Good Parent Phil Watson (Video Blogging RPF),58
TommyInnit Angst (Video Blogging RPF),57
Ranboo Needs a Hug (Video Blogging RPF),56
Post-Traumatic Stress Disorder - PTSD,56
Protective Ranboo (Video Blogging RPF),56
BAMF TommyInnit (Video Blogging RPF),55
Villain Clay | Dream (Video Blogging RPF),55
TommyInnit Needs a Break (Video Blogging RPF),54
Parent Phil Watson (Video Blogging RPF),52
Sad Ranboo (Video Blogging RPF),51
Family Dynamics,51
Suicidal Thoughts,50
Sad TommyInnit (Video Blogging RPF),50
Protective Phil Watson (Video Blogging RPF),50
Character Death,50
Avian TommyInnit (Video Blogging RPF),49
Protective Toby Smith | Tubbo,49
Alternate Universe,49
Domestic Fluff,48
Kinda,48
Vigilante TommyInnit (Video Blogging RPF),48
Alternate Universe - High School,47
Avian Phil Watson (Video Blogging RPF),47
Bad Parent Phil Watson (Video Blogging RPF),47
Crack Treated Seriously,46
He/Him and They/Them Pronouns for Ranboo (Video Blogging RPF),46
Traumatized Toby Smith | Tubbo,45
Toby Smith | Tubbo Needs a Hug,45
Swearing,44
Heavy Angst,44
Emotional Manipulation,44
Manipulative Clay | Dream (Video Blogging RPF),43
Protective TommyInnit (Video Blogging RPF),42
Canon-Typical Violence,41
Minor Character Death,41
Bench trio,41
BAMF Toby Smith | Tubbo,40
Dark Sleepy Bois Inc,40
Hurt No Comfort,40
IRL Fic,40
Manipulation,40
Friendship,39
Hero Wilbur Soot,39
Hybrids,38
Fluff and Humor,38
Child Neglect,38
Sad Toby Smith | Tubbo,37
Hero Technoblade (Video Blogging RPF),37
Sleepy Bois Inc-centric,36
Wilbur Soot and Technoblade are Siblings,36
I Wrote This Instead of Sleeping,36
Vigilante Ranboo (Video Blogging RPF),36
Vigilante Toby Smith | Tubbo,36
Implied/Referenced Suicide,36
Implied/Referenced Character Death,35
Twins Wilbur Soot & Technoblade,35
Hybrid TommyInnit (Video Blogging RPF),35
Violence,35
Child Abuse,34
Trauma,34
Not Beta Read,34
Queerplatonic Relationships,34
Older Sibling Wilbur Soot,34
Touch-Starved TommyInnit (Video Blogging RPF),34
Humor,34
Married Ranboo and Toby Smith | Tubbo,33
Enderwalking Ranboo (Video Blogging RPF),33
Toby Smith | Tubbo & TommyInnit Friendship,33
Temporary Character Death,33
Author Is Sleep Deprived,33
Unreliable Narrator,33
Ranboo Angst (Video Blogging RPF),32
Ranboo & Toby Smith | Tubbo Friendship,32
