fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Video Blogging RPF,Toby Smith | Tubbo & TommyInnit,Toby Smith | Tubbo & TommyInnit,go big or go home!,Gen,Semi-Canon,No,01 Nov 2020,"1,294",General Audiences,No Archive Warnings Apply,"Halloween,Trick or Treating,Family Dynamics,Fluff"
Minecraft (Video Game),Toby Smith | Tubbo & Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Toby Smith | Tubbo & TommyInnit,"It’s Okay, It’s a Strategy (to ensure I remain)",Gen,Semi-Canon,No,13 Mar 2022,"1,293",General Audiences,Creator Chose Not To Use Archive Warnings,"TommyInnit-centric (Video Blogging RPF),Family Feels,Fluff and Angst,How Do I Tag,first fic,it’s probably bad,Vigilante TommyInnit (Video Blogging RPF),Vigilante Toby Smith | Tubbo,Hero Technoblade (Video Blogging RPF),Hero Phil Watson (Video Blogging RPF),Hero Wilbur Soot,they are all oblivious,Angst,Hero Ranboo (Video Blogging RPF),Hurt/Comfort,I’m kinda scared to post this lmao,Found Family,Secret Identities,Bad has a cafe,TommyInnit Has a Bad Time (Video Blogging RPF),powers,sbi,Sleepy Bois Inc Fluff,Twins Wilbur Soot & Technoblade,Good Parent Phil Watson (Video Blogging RPF),Alexis | Quackity is Not a Villain,Quackity is a vigilante,Quackity is kinda smart ngl,They’re all kinda dumb,give them time lol,I wrote this is my notes app like a fool,Traumatized TommyInnit (Video Blogging RPF),Traumatized Toby Smith | Tubbo,Traumatized Ranboo (Video Blogging RPF),Minor Character Death,Not Beta Read,Angst with a Happy Ending,Near Death Experiences,Miscommunication,Lots of it,im so sorry,Skephalo if you squint reallyyyy hard"
Minecraft (Video Game),No Romantic Relationship(s),Toby Smith | Tubbo & TommyInnit,Found,Gen,Semi-Canon,No,10 Oct 2020,"1,292",General Audiences,No Archive Warnings Apply,"sbi hybrid au!!!,Families of Choice,Hurt/Comfort,Fluff,how do i tag help,Crow Hybrid Phil Watson (Video Blogging RPF),Pig Hybrid Technoblade (Video Blogging RPF),Dolphin Hybrid Wilbur Soot,Moobloom Hybrid TommyInnit (Video Blogging RPF),Bee Hybrid Toby Smith | Tubbo"
Video Blogging RPF,Ranboo & TommyInnit (Video Blogging RPF),Toby Smith | Tubbo & TommyInnit,"If I lay here, if I just lay here, would you lie with me (and just forget the world)",Gen,Semi-Canon,No,27 Jan 2022,"1,291",General Audiences,No Archive Warnings Apply,"Protective Ranboo (Video Blogging RPF),Soft Ranboo (Video Blogging RPF),Soft Ranboo & Toby Smith | Tubbo,Ranboo & TommyInnit Friendship (Video Blogging RPF),Ranboo & Toby Smith | Tubbo & TommyInnit Friendship,Ranboo & Toby Smith | Tubbo Friendship,Toby Smith | Tubbo & TommyInnit Friendship,Soft TommyInnit (Video Blogging RPF),Cute TommyInnit (Video Blogging RPF),Fluff,Domestic Fluff,Tooth-Rotting Fluff,Family Fluff,Platonic Relationships,Platonic Cuddling,Cuddling & Snuggling,Sleepy Cuddles,Couch Cuddles,Everything is Beautiful and Nothing Hurts,Author Is Sleep Deprived,I Wrote This Instead of Sleeping,Protective Older Brothers,Brotherly Love,Brotherly Affection,Brother Feels,Cute,Forehead Kisses,Short & Sweet,SHIPPERS DNI,platonic,IRL Fic,Protective Beeduo,They band together and protect Tommy,Its like the sunshine and sunshine protector meme,But theres two sunshine protectors,Comfort No Hurt,Family Dynamics,Short One Shot,One Shot,allium duo,come get y'all juice,author is touch starved,Cuddles,Author is dyslexic,TommyInnit Gets a Hug (Video Blogging RPF),Fluff without Plot,No Plot/Plotless,Pet Names,Clingy TommyInnit (Video Blogging RPF),Clingy Ranboo,Tubbo is so done,Family Feels,Touch-Starved TommyInnit (Video Blogging RPF),TommyInnit-centric (Video Blogging RPF),Ranboo-centric (Video Blogging RPF),Sweet,The Author Regrets Nothing"
Dream SMP,TommyInnit & Phil Watson (Video Blogging RPF),Toby Smith | Tubbo & TommyInnit,Let The Pictures Soak,Gen,Semi-Canon,No,04 Mar 2021,"1,289",Teen And Up Audiences,Major Character Death,"Spoilers for Tommy's 03/01 stream,Angst,ghostinnit,Dead TommyInnit (Video Blogging RPF),Blood and Injury,sleepy bois inc - Freeform,Sleepy Bois Inc Angst,Grieving,Wilbur Soot and TommyInnit are Siblings,Bittersweet,Hurt No Comfort,teen for swearing and violence"
Minecraft (Video Game),No Romantic Relationship(s),Toby Smith | Tubbo & TommyInnit,such a stubborn beast (is best away from the flock),Gen,Semi-Canon,No,07 Feb 2021,"1,289",General Audiences,No Archive Warnings Apply,"Post January 20th,Prisoner Clay | Dream (Video Blogging RPF),dream prison arc,Manipulation,Post-Traumatic Stress Disorder - PTSD,Dream Smp — Freeform,Canon Compliant,for now I think,Platonic Relationships,awesamdad,Sam is so great,Protective Sam | Awesamdude,Protective Toby Smith | Tubbo,Older Sibling Sam | Awesamdude,Sad Clay | Dream (Video Blogging RPF),Angst,Hurt/Comfort,we got some wholesome stuff in there too,everything is platonic,TommyInnit Needs a Hug (Video Blogging RPF),Clay | Dream Angst (Video Blogging RPF),Panic Attacks"
Video Blogging RPF,Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Toby Smith | Tubbo & TommyInnit,The solution to x wasn’t 7,Gen,Semi-Canon,No,11 May 2022,"1,288",Teen And Up Audiences,No Archive Warnings Apply,"TommyInnit-centric (Video Blogging RPF),Sleepy Bois Inc as Family,Protective Sleepy Bois Inc,Winged TommyInnit (Video Blogging RPF),Avian TommyInnit (Video Blogging RPF),Wilbur Soot and Technoblade and TommyInnit are Siblings,TommyInnit Needs a Hug (Video Blogging RPF),Wilbur Soot and TommyInnit are Siblings,Winged Phil Watson (Video Blogging RPF),Parent Phil Watson (Video Blogging RPF),Good Parent Phil Watson (Video Blogging RPF),Avian Phil Watson (Video Blogging RPF),Adoptive Parent Phil Watson (Video Blogging RPF),Bird Hybrid Phil Watson (Video Blogging RPF),Bird Hybrid TommyInnit (Video Blogging RPF),Phil Watson is Wilbur Soot and Technoblade and TommyInnit's Parent,Older Sibling Wilbur Soot,Protective Wilbur Soot,Twins Wilbur Soot & Technoblade,Wilbur Soot and Technoblade are Siblings,Piglin Hybrid Wilbur Soot,Piglin Wilbur Soot,Piglin Hybrid Technoblade (Video Blogging RPF),Piglin Technoblade (Video Blogging RPF),Protective Technoblade (Video Blogging RPF),Pig Hybrid Technoblade (Video Blogging RPF),POV TommyInnit (Video Blogging RPF),Minor Injuries,Young TommyInnit (Video Blogging RPF),Teen Wilbur Soot,Teen Technoblade (Video Blogging RPF),Fluff,Tooth-Rotting Fluff,Family Fluff,Animal Instincts,Light Angst"
Minecraft (Video Game),Wilbur Soot & TommyInnit,Toby Smith | Tubbo & TommyInnit,"be careless, be cruel",Gen,Semi-Canon,No,24 Apr 2021,"1,288",Teen And Up Audiences,Graphic Depictions Of Violence,"Villain Wilbur Soot,Insanity,Insane Wilbur Soot,Sad TommyInnit (Video Blogging RPF),Angst,Abuse,Emotional/Psychological Abuse,Physical Abuse,Abusive Relationships,Emotional Manipulation,Recovery Attempt,Unreliable Narrator,Dreams and Nightmares,Dreams,Trauma,Trauma Bonding,Alternate Universe - Canon Divergence,Cutting,Blood and Injury,Blood and Violence,Domestic Violence,Unhealthy Relationships,Child Abuse,Self-Hatred,Self Confidence Issues,Emotional Hurt/Comfort,Dissociation,Panic Attacks,Traumatized TommyInnit (Video Blogging RPF)"
Minecraft (Video Game),Toby Smith | Tubbo & TommyInnit,Toby Smith | Tubbo & TommyInnit,Take it out on me,Gen,Semi-Canon,No,03 Mar 2021,"1,288",Teen And Up Audiences,Graphic Depictions Of Violence,"Big brother Dream,Protective Dream,Protective Gerogenotfound,Protective Sapnap,Big Brother Georgenotfound,Big Brother Sapnap,Family Dynamics,Platonic Cuddling,Tommy and Tubbo are brothers,l'manburg,Dream Smp — Freeform,Video Game Mechanics,Respawn,Implied/Referenced Child Abuse,Abuse,power hungry Wilbur,not beta read we die like men,Hurt Tubbo,Hurt/Comfort,Angst,Other Additional Tags to Be Added,Tags May Change,Traitor Toby Smith | Tubbo,Traitor TommyInnit,Emotional Manipulation,Manipulation"
Dream SMP,Aizawa Shouta | Eraserhead & TommyInnit (Video Blogging RPF),Toby Smith | Tubbo & TommyInnit,TommyInnit – the Hero's Origin,Gen,Semi-Canon,No,03 Mar 2024,"1,287",General Audiences,"Graphic Depictions Of Violence,Major Character Death","Fluff and Angst,Angst with a Happy Ending,Hurt/Comfort,Winged TommyInnit (Video Blogging RPF),Hurt TommyInnit (Video Blogging RPF),TommyInnit-centric (Video Blogging RPF),Traumatized TommyInnit (Video Blogging RPF),TommyInnit Needs a Hug (Video Blogging RPF),Parental Aizawa Shouta | Eraserhead,Parental Takami Keigo | Hawks,Villain Clay | Dream (Video Blogging RPF)"
Dream SMP,No Romantic Relationship(s),Toby Smith | Tubbo & TommyInnit,Children of Tragedy,Gen,Semi-Canon,No,08 Jul 2021,"1,287",Mature,Graphic Depictions Of Violence,"DreamSMP - Freeform,apocalypse au,Found Family,only platonic,no weirdos plz,Zombie AU,sbi,Sleepy Bois Inc as Family,Phil centric,DreamSMP reimagining,dream team,Animal Death,Fables - Freeform,depersonalization&derealization,DPDR,Alternate Universe - Zombie Apocalypse,surprisingly little zombies,Hurt/Comfort,Murder,Minor Character Death,murder justification,Abuse,Sadnap - Freeform,Mild Gore,Body Horror,Hurt No Comfort,Child Death,Angst with a Happy Ending"
Video Blogging RPF,Wilbur Soot & TommyInnit,Toby Smith | Tubbo & TommyInnit,in which I'm reliant on you,Gen,Semi-Canon,No,20 Apr 2022,"1,286",General Audiences,No Archive Warnings Apply,"Wilbur Soot is Bad at Feelings,TommyInnit is Bad at Feelings (Video Blogging RPF),Wilbur Soot Loves TommyInnit,TommyInnit Loves Wilbur Soot,Best Friends,Hurt/Comfort,They're very stupid,Protective Toby Smith | Tubbo,Affection,Fluff"
Minecraft (Video Game),Wilbur Soot & TommyInnit,Toby Smith | Tubbo & TommyInnit,18 ways to hug your closest friends,Gen,Semi-Canon,No,01 Oct 2021,"1,286",General Audiences,No Archive Warnings Apply,"Soft TommyInnit (Video Blogging RPF),Soft Wilbur Soot,Wilbur Soot and Technoblade and TommyInnit are Siblings,Sad TommyInnit (Video Blogging RPF),Hugs,TommyInnit Needs a Hug (Video Blogging RPF),he gets one !! :D its what the fics about!,Hurt/Comfort,Emotional Hurt/Comfort,Cute TommyInnit (Video Blogging RPF),Cute Ending,cute fic,Good Older Sibling Wilbur Soot,Good Older Sibling Technoblade (Video Blogging RPF),Good Parent Phil Watson (Video Blogging RPF),Mild Hurt/Comfort,only a lil bit,Younger Sibling TommyInnit (Video Blogging RPF),Good Sibling TommyInnit (Video Blogging RPF),Age Regression Little TommyInnit (Video Blogging RPF),Precious boy"
