fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,Hotline Bling,F/F,Yes,Yes,08 Nov 2015,22,Teen And Up Audiences,No Archive Warnings Apply,
Women's Soccer RPF,Kelley O'Hara/Hope Solo,Ashlyn Harris/Ali Krieger,Love is all around,F/F,Yes,Yes,31 Jan 2016,21,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,Alternate Universe - High School
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,College to Life,F/F,Yes,Yes,27 Aug 2015,21,Not Rated,No Archive Warnings Apply,
Women's Association Football | Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,The Sea Captain's House - Part 19: Christmas One-Shot 2048,F/F,Yes,Yes,29 Dec 2022,20,General Audiences,No Archive Warnings Apply,
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,The Sea Captain's House - Part 10: FAQ & Info,F/F,Yes,Yes,28 Oct 2018,20,Mature,No Archive Warnings Apply,
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,Depths of despair,F/F,Yes,Yes,17 Jun 2016,20,Mature,No Archive Warnings Apply,
Krashlyn - Fandom,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,how to host a murder,F/F,Yes,Yes,22 Jun 2016,20,Not Rated,"Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply",
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,taking a break...,F/F,Yes,Yes,09 Jun 2015,20,General Audiences,"Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply",
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,The proposition,F/F,Yes,Yes,17 May 2015,20,Not Rated,Creator Chose Not To Use Archive Warnings,
Women's Association Football | Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,The A-Team (Original Version),F/F,Yes,Yes,31 Jan 2022,19,Explicit,Graphic Depictions Of Violence,
USWNT - Fandom,Servando Carrasco/Alex Morgan,Ashlyn Harris/Ali Krieger,The Player and The Freckled Girl,F/F,Yes,Yes,02 Mar 2021,19,Mature,Creator Chose Not To Use Archive Warnings,"High School,Sisters,Mystery,Murder Mystery,Family,Implied/Referenced Child Abuse,References to Drugs,Foster Care,Abuse"
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,SharetheLiebe Come Back!,F/F,Yes,Yes,04 Jul 2017,19,Not Rated,Creator Chose Not To Use Archive Warnings,
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,What?,F/F,Yes,Yes,04 Apr 2016,19,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,
Women's Association Football | Women's Soccer RPF,Zecira Musovic/Amanda Ilestedt,Ashlyn Harris/Ali Krieger,Coming Back To You.,F/F,Yes,Yes,02 May 2024,17,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,#rarepairings #love
woso,Alyssa Naeher/Becky Sauerbrunn,Ashlyn Harris/Ali Krieger,Wedded 'Blyss' (Becky and Lyssa),F/F,Yes,Yes,20 May 2022,17,Explicit,Creator Chose Not To Use Archive Warnings,"USWNT,NWSL"
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,You Can't Plant Me In Your Penthouse,F/F,Yes,Yes,11 Apr 2021,15,Mature,No Archive Warnings Apply,"US Women's Soccer National Team,Love,Love Confessions,Falling In Love,National Women's Soccer League,Women's Professional Soccer,Developing Relationship,Marriage,Unrequited Love,Unrequited Crush,Not Actually Unrequited Love,Friendship,Romantic Friendship"
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,Ashlyn Harris vs The World,F/F,Yes,Yes,07 Jul 2016,15,Mature,Creator Chose Not To Use Archive Warnings,
Women's Association Football | Women's Soccer RPF,Tobin Heath/Christen Press,Ashlyn Harris/Ali Krieger,Football Quest 2,F/F,Yes,Yes,07 Nov 2022,14,General Audiences,No Archive Warnings Apply,"US Women's Soccer National Team,National Women's Soccer League,Women's Professional Soccer"
Women's Soccer RPF,Tobin Heath/Alex Morgan,Ashlyn Harris/Ali Krieger,Letters to No One,F/F,Yes,Yes,03 Apr 2016,14,Mature,"Graphic Depictions Of Violence,Major Character Death","Death,alternate universe- attack on titan"
Women's Soccer RPF,Ashlyn Harris/Ali Krieger,Ashlyn Harris/Ali Krieger,Let her go,F/F,Yes,Yes,17 Mar 2016,14,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,
Women's Association Football | Women's Soccer RPF,Tobin Heath/Christen Press,Ashlyn Harris/Ali Krieger,The way to the heart.,F/F,Yes,Yes,04 Mar 2023,27,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,
Women's Soccer RPF,Tobin Heath/Christen Press,Ashlyn Harris/Ali Krieger,Away from Home,F/F,Yes,Yes,16 Dec 2020,27,General Audiences,Creator Chose Not To Use Archive Warnings,
