fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,Prescription,F/F,No,No,05 Jul 2017,"1,967",General Audiences,Creator Chose Not To Use Archive Warnings,"i saw a picture of katie mcgrath with glasses,i have no chill,kara has no chill,This is so ridiculous,SuperCorp,this ship will be the end of me,The thirst is real,kara is all of us,mon-dickhead is now a thing,Sanvers - Freeform,Maggie is a little shit,Idiots in Love,The Ridiculousness Continues"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,Love Language,F/F,No,No,22 Sep 2020,"1,966",Mature,Creator Chose Not To Use Archive Warnings,"Light Angst,Past Relationship(s),Angst with a Happy Ending,Idiots in Love"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,The Value Of Love,F/F,No,No,13 Feb 2021,"1,966",Not Rated,No Archive Warnings Apply,"Teacher Kara Danvers,Single Parent Lena Luthor,Angst,Fluff,Protective Kara Danvers,Endgame Kara Danvers/Lena Luthor,Parents Kara Danvers/Lena Luthor,Protective Lena Luthor,Lena Luthor-centric,Lori Luthor - Freeform"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,you feel like second nature,F/F,No,No,07 Jul 2020,"1,965",Explicit,No Archive Warnings Apply,"Alpha/Beta/Omega Dynamics,Alternate Universe - College/University,Alternate Universe - No Powers,you may think that this fic is smutty but it's also Soft,Falling in Love with mixed sexting,and other scenarios!"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,fall onto you,F/F,No,No,31 Oct 2020,"1,962",Teen And Up Audiences,No Archive Warnings Apply,"Kara hooks up with everyone,Lena is the reluctant roommate,omg they're roommates,Supercorptober2020,queerbaiting in this fic? get a grip,Alternate Universe - No Powers,Slow Burn Kara Danvers/Lena Luthor,enemies to idiots to lovers,Idiots in Love,Roommates,Eventual Smut,it's fairly pg13 there's only one f bomb in this fic,and some casual light choking,Light Angst"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,be your quiet afternoon crush,F/F,No,No,23 Jul 2017,"1,961",General Audiences,No Archive Warnings Apply,"Fluff,Alternate Universe - Coffee Shops & Cafés,Tumblr Prompt,POV Second Person"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,Off Guard,F/F,No,No,17 Apr 2017,"1,961",General Audiences,No Archive Warnings Apply,"Established SuperCorp,Sanvers - Freeform,Hurt/Comfort,Emotional Hurt/Comfort,Fluff and Angst,Fluff,Angst with a Happy Ending,Game Night,Lena just needs a hug,and everyone is willing to give her one,a lot of love for lena,Angst,so many brOTPs,and otps,Big Sister Alex,big sister Maggie,Lena has big sisters now,lena has a family,they love her,This is so soft"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,Did You Absolutely Have To,F/F,No,No,14 Apr 2017,"1,961",Teen And Up Audiences,No Archive Warnings Apply,"Established Relationship,Fluff,leave her alone kara it's her aesthetic"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,Office Romance?,F/F,No,No,11 Jan 2017,"1,961",General Audiences,No Archive Warnings Apply,"Office AU,Alternate Universe - No Powers,First Kiss,From friends to more,SuperCorp,Kara and Lena are colleagues,And they're as cute as always"
Supergirl (TV 2015),Kara Danvers/Lena Luthor,Kara Danvers/Lena Luthor,What Wedding?,F/F,No,No,27 May 2021,"1,959",Not Rated,No Archive Warnings Apply,"Idiots in Love,Lena Luthor is a clueless lesbian,Kara Danvers is a clueless bisexual,Crack-ish,Humor,Misinterpretations,Fluff,a bit of pining,Bracelets,Lena gets engaged without even knowing."
