fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Midoriya Izuku & Todoroki Shouto,Bakugou Katsuki & Uraraka Ochako,cataclysm,Gen,No,No,11 Dec 2018,96,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Zombie Apocalypse,AU,Roleplay,Feels,Bakugou Katsuki Swears A Lot,Angst,Fluff and Angst,Platonic Relationships,Please save them,Dad Might,Parental Yagi Toshinori | All Might,zombies with quirks,Anxiety,Unhealthy Coping Mechanisms,I'm Bad At Tagging,I'm Bad At Summaries,Bakugou Katsuki is Bad at Feelings,Quirkless Midoriya Izuku,at least temporarily,implied panic attacks,Burns,injuries,Hurt/Comfort,can you tell I have no idea what I’m doing,Minor Character Death,Blood,BAMF Uraraka Ochako,Body Horror,just in case I mean it's zombies,Minor Original Character(s)"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Midoriya Izuku & Uraraka Ochako,Bakugou Katsuki & Uraraka Ochako,Odd Future,Gen,No,No,21 Jun 2021,95,Teen And Up Audiences,No Archive Warnings Apply,"Class 1-A Shenanigans (My Hero Academia),My Hero Academia AU,future kids,Fluff,Angst,Fluff and Angst,Humor,Bromance,so many bromances,Hurt/Comfort,aizawa is so done with his problem children,Aizawa Shouta | Eraserhead is So Done,Action,Bonding,Family Bonding"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Bakugou Katsuki/Midoriya Izuku,Bakugou Katsuki & Uraraka Ochako,Seven Days Too Long,Gen,No,No,22 Jun 2019,95,General Audiences,No Archive Warnings Apply,"BNHA Fluff Week 2019,Fluff,Tsundere Bakugou Katsuki,Inspired by InuYasha - A Feudal Fairy Tale,Teasing,Embarrassed Bakugou Katsuki,Bakugou Katsuki is Bad at Feelings,Alternate Universe - No Quirks (My Hero Academia),Younger Midoriya Izuku"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Bakugou Katsuki/Uraraka Ochako,Bakugou Katsuki & Uraraka Ochako,Are you alright?,Gen,No,No,22 Jul 2019,95,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Alternate Universe - Fantasy,Fantasy,Bakugou's a warrior,Uraraka is a healer,because why not,and she's too sweet,I hope this isn't so bad,i had so much fun writing this,kacchaco,Slow To Update"
Boku no Hero Academia,Bakugou Katsuki & Uraraka Ochako,Bakugou Katsuki & Uraraka Ochako,Promises,Gen,No,No,27 Feb 2019,95,Teen And Up Audiences,"Creator Chose Not To Use Archive Warnings,Graphic Depictions Of Violence","Bakugou Katsuki Swears A Lot,Parental Yagi Toshinori | All Might,Other Additional Tags to Be Added,Tags May Change,Midoriya Izuku Has Multiple Quirks,Midoriya Izuku Has a Quirk,Midoriya Izuku Has All for One Quirk,No Beta,Human Experimentation,but later,Self-Harm,no beta we die like men,Relationships are not a priority,what is canon?"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Bakugou Katsuki & Bakugou Masaru,Bakugou Katsuki & Uraraka Ochako,My number 1,Gen,No,No,17 May 2022,94,Mature,"Graphic Depictions Of Violence,Major Character Death","Angst,Eventual Happy Ending,Bakugou Mitsuki's Bad Parenting,Trans Bakugou Katsuki,Bakugou Katsuki is Bad at Feelings,Homophobic Bakugou Mitsuki,Bakugou Katsuki & Midoriya Izuku are Best Friends"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Bakugou Katsuki & Bakugou Mitsuki,Bakugou Katsuki & Uraraka Ochako,[PODFIC] Once More unto the Breach,Gen,No,No,19 Jun 2018,94,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Future Fic,Aged-Up Character(s),Permanent Injury,Podfic,Podfic & Podficced Works,Soundcloud,Format: Streaming"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Bakugou Katsuki/Uraraka Ochako,Bakugou Katsuki & Uraraka Ochako,Hidden Gems,Gen,No,No,05 Nov 2017,94,General Audiences,No Archive Warnings Apply,"Fluff without Plot,Inktober 2017,Drabble,Short & Sweet,Canon Universe,Canon Compliant,i seriously don't know how to tag,im so sorry,Warm and Fuzzy Feelings,Friendship/Love"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),Bakugou Katsuki/Midoriya Izuku,Bakugou Katsuki & Uraraka Ochako,"Gay, Yes or No?",Gen,No,No,14 May 2024,93,Explicit,No Archive Warnings Apply,"bestfriends,Waiter Midoriya Izuku,Pining Bakugou Katsuki,Soft Bakugou Katsuki,Shy Midoriya Izuku,NSFW,Anal Sex,ass eating,One Shot,Semi-Public Sex"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),Bakugou Katsuki/Todoroki Shouto,Bakugou Katsuki & Uraraka Ochako,"Spring Wind, Summer Rain",Gen,No,No,29 Mar 2023,93,Mature,Creator Chose Not To Use Archive Warnings,"Bakugou Katsuki-centric,Protective Bakugou Katsuki,Protective Todoroki Shouto,Hurt/Comfort,Post-Threesome,Boyfriends,Boyfriends figuring out they are boyfriends,Bakugou Katsuki likes half the school,Kirishima Eijirou is a Good Friend,BAMF Uraraka Ochako,Yagi Toshinori | All Might Being an Idiot,Canon Compliant,During Canon,Caretaking"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Bakugou Katsuki & Midoriya Izuku,Bakugou Katsuki & Uraraka Ochako,Kiss Control,Gen,No,No,30 Nov 2021,93,Not Rated,Creator Chose Not To Use Archive Warnings,"Midoriya Izuku Gets Hit by a Quirk,Mind Control,Bakugou Katsuki Swears A Lot,Protective Bakugou Katsuki,kind of,Iida Tenya & Midoriya Izuku & Uraraka Ochako Friendship,Villain OC - Freeform,Confused Midoriya Izuku"
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Midoriya Izuku/Uraraka Ochako,Bakugou Katsuki & Uraraka Ochako,"Still Need You, But We'll Be Okay",Gen,No,No,27 Oct 2020,93,Teen And Up Audiences,Major Character Death,"Inspired by TikTok,Angst and Tragedy,Angst,Hurt No Comfort,Soft Bakugou Katsuki,Midoriya Izuku Dies,Pregnant Uraraka Ochako,Aged-Up Character(s),Bakugou Katsuki is a Good Friend"
