fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Minecraft (Video Game),Dave | Technoblade & Wilbur Soot & TommyInnit & Phil Watson,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,fearless,Gen,Yes,Yes,29 Nov 2020,"1,954",Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Organized Crime,organised crime syndicate,Mafia AU,sleepy bois inc - Freeform,Dadza,Technoblade is badass,Wilbur is Sleep deprived,Wilbur and Techno are twins,Twins,yay,I had to do it,techno's eldest,wil's middle child,tommy is struggling to comprehend this,more characters will be added with second chapter,Foster AU,Kinda,adopted family,sbi are all adopted by phil,because we love that,Dave | Technoblade and Wilbur Soot and TommyInnit are Siblings,technoblade and wilbur arent the most responsible siblings,They/Them Pronouns for Eret (Video Blogging RPF),smpearth members included,eret likes chilean food,mote con huesillos,tommy got beef w dream over the lift,BAMF Eret"
Dream SMP,Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,Angel in the Sinners Cradle,Gen,Yes,Yes,18 Apr 2022,"1,953",General Audiences,"Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply","Organized Crime,Non-Consensual Drug Use,Kidnapping,Murder,Gun Violence,Manipulation,Dark Sleepy Bois Inc,Possessive Behavior,Obsession,Stalking,Crime Boss Phil Watson (Video Blogging RPF),Wilbur Soot and TommyInnit are Siblings,Older Sibling Wilbur Soot,Implied/Referenced Child Abuse,Angst,Infantilism,Hurt No Comfort,Crimes & Criminals,References to Drugs,It's Not Paranoia If They're Really Out To Get You,Sick Character,Mafia AU,mob,mob boss,Dark Character"
Minecraft (Video Game),Ranboo & Phil Watson (Video Blogging RPF),Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,L’Manburg Bias,Gen,Yes,Yes,10 Jun 2022,"1,953",Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"L’Manburg,School,High School,College,ranboo is a foster kid,maybe he gets adopted,who knows - Freeform,No beta we die like jschlatt,heart attacks in the middle of war,pog - Freeform,Maybe - Freeform,give me clout please - Freeform,i will surpass heatwaves,DNF,Ranboo-centric (Video Blogging RPF),read me,LIKE ALICE IN WONDERLAND BUT STORY,Mellohi,estranged war sounds,if any cc’s are uncomfortable this will be taken down,Neurodiversity,why did the first tags to pop up say “threesome”,Phantom Hybrid Wilbur Soot,chatfic,messaging,Texting,i have no beta because we die like tommyinnit,killed in a prison by a faceless blob"
Dream SMP,Toby Smith | Tubbo & TommyInnit,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,Between Dreams and Memories - A DreamSMP Retelling [Season 1],Gen,Yes,Yes,27 Sep 2021,"1,953",Teen And Up Audiences,Graphic Depictions Of Violence,"Canon Rewrite,During Canon,Dissociation,Father Figures,Big Brothers,Platonic Relationships,Near Death Experiences,Older Sibling Wilbur Soot,Toby Smith | Tubbo & TommyInnit Friendship,Angst,Hurt/Comfort,The Nether (Minecraft),SMPLive References,SMPEarth References,TommyInnit Angst (Video Blogging RPF),Mianite References,Post-Traumatic Stress Disorder - PTSD,Fights,Violence,Canonical Character Death,Wilbur Soot-centric,Jschlatt-centric,Backstory,Dave | Technoblade and Wilbur Soot and TommyInnit are Siblings,this includes the potato war as well,and dreamons,and mrbeast,and the techno vs dream duel,Found Family,Family Feels,Family Dynamics,Alcohol Abuse/Alcoholism,Addiction,Heavy Angst,PLEASE NOTE: THIS FIC INCLUDES THE LUNCH CLUB BUT CALLMECARSON WAS REMOVED. HE IS REPLACED BY JOKO,I DO NOT CONSTENT TO MY WORK BEING USED FOR AI/MACHINE LEARNING"
Minecraft (Video Game),Niki | Nihachu & TommyInnit,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,Ashamed?,Gen,Yes,Yes,02 Feb 2022,"1,952",Mature,No Archive Warnings Apply,"Vampire TommyInnit (Video Blogging RPF),Vampire Wilbur Soot,Vampire Technoblade (Video Blogging RPF),Vampire Phil Watson (Video Blogging RPF),BAMF GeorgeNotFound (Video Blogging RPF),TommyInnit Needs a Hug (Video Blogging RPF),Minor Injuries,Older Sibling Niki | Nihachu,Protective Niki | Nihachu,Protective Eret (Video Blogging RPF),Protective GeorgeNotFound (Video Blogging RPF),TommyInnit Angst (Video Blogging RPF),Misunderstandings,Sad Sapnap (Video Blogging RPF),Sleepy Bois Inc as Family,Witches,Platonically Married Ranboo and Toby Smith | Tubbo,Blood Drinking,Family Bonding"
Dream SMP,Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,I can't talk about my trauma rn I'm tryna learn how the toaster works,Gen,Yes,Yes,19 Jul 2022,"1,951",Teen And Up Audiences,Major Character Death,"Clay | Dream Kills TommyInnit (Video Blogging RPF),Angst,Hurt/Comfort,Blood,Humor,Attempt at Humor,TommyInnit-centric (Video Blogging RPF),Traumatized TommyInnit (Video Blogging RPF),Dark Sleepy Bois Inc,Crack,Winged Phil Watson (Video Blogging RPF),Villain Sleepy Bois Inc (Video Blogging RPF),Villain Technoblade (Video Blogging RPF),Villain Phil Watson (Video Blogging RPF),Villain Wilbur Soot,Alternate Universe - Superheroes/Superpowers,Dimension Travel,Scared TommyInnit (Video Blogging RPF),Swearing,Chess,TommyInnit Needs a Hug (Video Blogging RPF)"
Minecraft (Video Game),Wilbur Soot & TommyInnit,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,we’ll work this out (right),Gen,Yes,Yes,01 Aug 2021,"1,951",General Audiences,No Archive Warnings Apply,"Sickfic,Hurt/Comfort,Fluff and Angst,Sleepy Bois Inc as Family,Found Family,IRL Fic,Protective Wilbur Soot,Light Angst,Swearing,Child Neglect,Implied/Referenced Child Abuse,Additional Warnings In Author's Note,tommy's not taking care of himself,wilbur and phil come to do it for him lol,Protective Technoblade (Video Blogging RPF),Hurt TommyInnit (Video Blogging RPF),Sick TommyInnit (Video Blogging RPF)"
Minecraft (Video Game),Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,Sunburn,Gen,Yes,Yes,01 Jul 2022,"1,948",Not Rated,Graphic Depictions Of Violence,"Dark Sleepy Bois Inc,Fluff,Protective Phil Watson (Video Blogging RPF),Family Dynamics,Possessive Behavior,Protectiveness,Possessive Platonic Behavior,Kid Fic,at least in the beginning,Dark Phil Watson (Video Blogging RPF),Other Additional Tags to Be Added,Vampire Phil Watson (Video Blogging RPF),Good Parent Phil Watson (Video Blogging RPF),even if he doesnt realize,Vampires,Domestic Fluff,Blood,no beta we die like l'manberg,Platonic Cuddling,Dark Comedy,Sort Of,the fic it's kinda dark but at the same time isn't,Protective Technoblade (Video Blogging RPF),Wilbur Soot and Technoblade and TommyInnit are Siblings,Dark Technoblade (Video Blogging RPF),Hurt Wilbur Soot,Found Family,Adoptive Parent Phil Watson (Video Blogging RPF),Dark Wilbur Soot,Dark fluff,Dark TommyInnit (Video Blogging RPF),Vampire Technoblade (Video Blogging RPF),Vampire Wilbur Soot,Implied Cannibalism,Dead Dove: Do Not Eat"
Minecraft (Video Game),Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,Death of a Shooting Star,Gen,Yes,Yes,04 Aug 2022,"1,947",Teen And Up Audiences,No Archive Warnings Apply,"Violinist TommyInnit (Video Blogging RPF),Hurt/Comfort,Alternate Universe - Foster Family,Sleepy Bois Inc as Family,TommyInnit Angst (Video Blogging RPF),Protective Sam | Awesamdude,Suicide Attempt,in the past though,And not Tommy's,Wilbur Soot and Technoblade and TommyInnit are Siblings,TommyInnit Needs a Hug (Video Blogging RPF),Touch-Starved TommyInnit (Video Blogging RPF),Protective Technoblade (Video Blogging RPF),Child Neglect,Sad TommyInnit (Video Blogging RPF),Implied/Referenced Self-Harm,Bittersweet Ending"
Origins SMP,Technoblade & TommyInnit (Video Blogging RPF),Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,Localized,Gen,Yes,Yes,20 Jun 2022,"1,947",Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"TommyInnit-centric (Video Blogging RPF),Alternate Universe - Space,Humans are space orcs,Trans TommyInnit (Video Blogging RPF),Trans Male TommyInnit (Video Blogging RPF),Sleepy Bois Inc as Family,Alien Technoblade (Video Blogging RPF),Alien Wilbur Soot,Alien Phil Watson (Video Blogging RPF),Human TommyInnit (Video Blogging RPF),Light Angst,Happy Ending,Protective Technoblade (Video Blogging RPF),Oblivious Wilbur Soot,Acceptance,Clementine is an AI,Alien Cultural Differences,Coming Out"
