fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
GOT7,Choi Youngjae/Im Jaebum | JB,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,I Do,F/F,No,Yes,08 Jun 2022,16,Mature,Creator Chose Not To Use Archive Warnings,"comedia,Comédia Romantica,romcom,Strangers to Lovers,Romantic Comedy,Comedy,Friends to Lovers,Slow Burn,Marriage Proposal,Same-Sex Marriage,jaebeom is a loser at love,Mutual Masturbation,Light Angst,Making Love,Bisexuality,Making Out,Happy Ending,Domestic Boyfriends,Fluff and Smut,Fluff,OTP Feels,2Jae,Love at First Sight,left in the altar"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,the latte is cold (but all i think about is you),F/F,No,Yes,06 Jun 2022,16,Not Rated,Creator Chose Not To Use Archive Warnings,"I Don't Know Anymore,this is unedited,idk why all the things i write are like this,im sorry,idk why i post these either hsjejdjs"
K-pop,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,共犯,F/F,No,Yes,22 Nov 2020,16,Explicit,"Graphic Depictions Of Violence,Major Character Death",
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,无人生还,F/F,No,Yes,17 Feb 2020,16,Not Rated,Creator Chose Not To Use Archive Warnings,
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,航程 第七章,F/F,No,Yes,24 Jan 2020,16,Not Rated,Creator Chose Not To Use Archive Warnings,Minor Kim Yongsun | Solar/Moon Byulyi | Moonbyul
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Eternal Sunshine (for the Moonless Nights),F/F,No,Yes,17 May 2024,15,General Audiences,Major Character Death,"Alternate Universe - Eternal Sunshine of the Spotless Mind Fusion,Angst,Hurt/Comfort"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,繞圈,F/F,No,Yes,09 Jun 2023,15,Mature,Creator Chose Not To Use Archive Warnings,
K-pop,moonsun - Relationship,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Y,F/F,No,Yes,23 Apr 2022,15,Not Rated,Creator Chose Not To Use Archive Warnings,
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Adulthood,F/F,No,Yes,07 Mar 2022,15,Not Rated,Creator Chose Not To Use Archive Warnings,"Set During Their Adult Lives,But With Flashbacks To Their Teenage Selves,like Euphoria For Someone That’s Never Watched It"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Baby Steps,F/F,No,Yes,10 Nov 2021,15,Mature,Creator Chose Not To Use Archive Warnings,"Becoming Parents,Adoption,Fluff,Love"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Baby I'll be the astronaut who can love your universe,F/F,No,Yes,07 Sep 2021,15,General Audiences,Creator Chose Not To Use Archive Warnings,"Kim Yongsun center,Mentioned Moon Byulyi | Moonbyul,Mentioned Jung Wheein,Mentioned Ahn Hyejin | Hwasa,Soulmates,Buddhism,soft,Domestic Fluff"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,你成為日常後,F/F,No,Yes,09 May 2021,15,General Audiences,No Archive Warnings Apply,moonsun
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Seize or Cease,F/F,No,Yes,31 Jul 2018,15,Mature,Creator Chose Not To Use Archive Warnings,
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,三角,F/F,No,Yes,29 Feb 2024,14,Not Rated,Creator Chose Not To Use Archive Warnings,
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,right where you left me,F/F,No,Yes,11 Jun 2023,14,General Audiences,No Archive Warnings Apply,"Post-Break Up,Angst,Hurt No Comfort,Emotional Hurt,Non-Linear Narrative"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,two souls talking at night,F/F,No,Yes,12 Nov 2022,14,General Audiences,No Archive Warnings Apply,Late Night Conversations
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,a bad liar (even to myself),F/F,No,Yes,29 Mar 2022,14,Not Rated,Creator Chose Not To Use Archive Warnings,"byul is kinda mentioned,idk what I was writing,unedited,it's night and my mind is running free,im sorry if it doesn't make sense,have a nice day tho"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Don't let me go (like if I'm just a stranger),F/F,No,Yes,16 Oct 2021,14,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"POV Second Person,this have a lot of second persons povs,Hurt No Comfort,aaaaaaaaaaaaangst,Español | Spanish"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,【Moonsun】贰伍,F/F,No,Yes,28 Sep 2020,14,Teen And Up Audiences,No Archive Warnings Apply,Hong Kong Gansters
Mamamoo,moonsun - Relationship,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,初雪 23 补档,F/F,No,Yes,04 Aug 2020,14,Not Rated,Underage,
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,YOU ARE MY HEART 2: Back Again,F/F,No,Yes,15 Dec 2021,18,Teen And Up Audiences,Graphic Depictions Of Violence,"Angst and Romance,Comedy,Tragedy,LeanteaLang"
Mamamoo,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,The Branches of Eclipse,F/F,No,Yes,03 Feb 2021,18,Teen And Up Audiences,Major Character Death,"Alternate Universe - Fantasy,Betrayal,Magical trees,dw moonsun is endgame,Witch Moon Byulyi | Moonbyul,Witch Kim Yongsun | Solar"
