fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Strings Attached,M/M,Semi-Canon,No,20 Jul 2018,"3,427",Explicit,No Archive Warnings Apply,"Getting Together,Anal Sex,Blow Jobs,Flirting,Dumb Banter,Denial of Feelings,omg is Draco in denial of his feelings,Unspeakable Draco Malfoy,Gratuitous Descriptions of Harry Potter,Friends With Benefits,but not really as FEELINGS,Harry Potter Epilogue What Epilogue | EWE,From Sex to Love,Post-Hogwarts"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,when evil blooms,M/M,Semi-Canon,No,15 Sep 2020,"3,425",Explicit,No Archive Warnings Apply,"Hogwarts Eighth Year,Herbology,Potions,residual dark magic,Slow Burn,UST,Light Angst,Pining,Eventual Smut,Frottage,Mystery,Research,Books,Wandless Magic,Clever Draco,Oblivious Harry,Flowers,Hogwarts building magic,Hurt/Comfort,Harry Potter Epilogue What Epilogue | EWE,Supportive Ron and Hermione,draco has a lot of feelings,Harry loves pet names,Draco and Luna are besties,Happy Ending"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,On One's Knees,M/M,Semi-Canon,No,20 Mar 2008,"3,425",Explicit,Creator Chose Not To Use Archive Warnings,Infidelity occurs
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Silk Scarves and Enchanted Handcuffs,M/M,Semi-Canon,No,24 Apr 2016,"3,419",Explicit,No Archive Warnings Apply,"Party Games,Drinking,Loss of Virginity,Blindfolds,Handcuffs,alternate seventh year,Scheming Friends,Anal Sex,Explicit Sexual Content"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Wands Away,M/M,Semi-Canon,No,05 Jun 2015,"3,418",Explicit,No Archive Warnings Apply,"Punching,Mild Blood,Rough Sex,Blow Jobs,Face-Fucking,Masturbation,Auror Training"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Dial Tone,M/M,Semi-Canon,No,05 Dec 2017,"3,418",Teen And Up Audiences,No Archive Warnings Apply,"Texting,text fic,Drarry,non-magic au,AU"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Something There,M/M,Semi-Canon,No,02 Dec 2019,"3,415",Explicit,Creator Chose Not To Use Archive Warnings,"Harry Potter Epilogue What Epilogue | EWE,Hogwarts Eighth Year,Veela Draco Malfoy,Enemies to Friends to Lovers,glamours,Ginny Weasley Bashing,Internalized Homophobia,Fluff and Angst,Angst with a Happy Ending,Bottom Harry,Top Draco Malfoy,Mildly Dubious Consent,Scent Kink,Rimming,Semi-Public Sex,Low Self Esteem,switching POVs,Loss of Virginity,Jealousy,And so much self indulgence"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Fanboy Draco Malfoy Convinces Harry Potter to Marry Him,M/M,Semi-Canon,No,02 Nov 2022,"3,413",Mature,Creator Chose Not To Use Archive Warnings,"Romantic Fluff,Shy Harry Potter,Slytherin Draco Malfoy"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Charming When He Needs to Be,M/M,Semi-Canon,No,16 Jan 2013,"3,413",Mature,No Archive Warnings Apply,"Dark Lord Harry,Humor,Established Relationship"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Silver Moon,M/M,Semi-Canon,No,03 Jun 2018,"3,412",Explicit,Graphic Depictions Of Violence,"Werewolves,Werewolf Harry,Alpha Harry,Top Harry,Bottom Draco,Slightly Dark Harry,questionable morals,Slow Burn,Enemies to Lovers,dubcon,Fluffy Ending,Violence,Mild Blood and Gore,Drama,Soulmate elements,Harry raises Teddy"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,"Ten Years, and His Whole Life",M/M,Semi-Canon,No,26 Jul 2017,"3,412",Explicit,No Archive Warnings Apply,"Pining,Post-War,Falling In Love,Switching"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Domestic,M/M,Semi-Canon,No,20 Feb 2014,"3,408",Mature,No Archive Warnings Apply,"Weasley Family,Man panties,2012 H/D Smoochfest,Bathroom Humor,Boys Being Boys"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,The Years Before Love,M/M,Semi-Canon,No,12 Nov 2015,"3,403",Mature,No Archive Warnings Apply,"Family,Family Feels,Black Family,Kid Fic,Romance,Light Angst"
Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,Draco Malfoy/Harry Potter,Savage,M/M,Semi-Canon,No,29 Mar 2012,"3,403",Explicit,No Archive Warnings Apply,"Feral Behavior,Werewolves,Violence,Animal Instincts,Animal Traits,Animal Transformation,Werewolf Draco,Scent Marking,Scenting,Loss of Control"
