fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Park Jimin,Jeon Jungkook/Park Jimin,Shower Boy,M/M,No,Yes,20 Feb 2020,"2,088",Mature,No Archive Warnings Apply,"Alternate Universe - College/University,Alternate Universe,Jock Jeon Jungkook,Dancer Park Jimin (BTS),Singer Park Jimin (BTS),Park Jimin (BTS) is a Sweetheart,Jeon Jungkook is a Tease,Cocky Jeon Jungkook,Sassy Park Jimin (BTS),Kim Taehyung | V & Park Jimin are Roommates,Kim Namjoon | RM & Park Jimin are Best Friends,Jeon Jungkook & Min Yoongi | Suga are Best Friends,Jeon Jungkook is Whipped,Fluff and Humor,Fluff,Fluff without Plot,Romantic Fluff,Falling In Love,Jikook Week,Jikook Fluff Week,jikook - Freeform,Strangers to Lovers,Complete"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Park Jimin,Jeon Jungkook/Park Jimin,i found peace in your violence,M/M,No,Yes,08 Nov 2020,"2,088",Explicit,Rape/Non-Con,"Alternate Universe - Fantasy,Alternate Universe - Fairy Tale,Witch Jimin,Magic,Werewolves,Bestiality,Rimming,Frottage,Anal Sex,Multiple Orgasms,Overstimulation,Knotting,Come Inflation,distention,Stomach Bulge,Large Cock,Loss of Innocence,Humiliation,Mind Break,Lots of Cum,Dead Dove: Do Not Eat,Blacksmith Jeon Jungkook,Whump Park Jimin,Hurt/Comfort,Rape Aftermath"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Kim Taehyung | V/Park Jimin,Jeon Jungkook/Park Jimin,some good clean fun.,M/M,No,Yes,12 Dec 2015,"2,088",Explicit,Creator Chose Not To Use Archive Warnings,"Plot What Plot/Porn Without Plot,Anal Sex,Anal Fingering,Rimming,Orgasm Denial,Hand Jobs,Doing Stuff In the Practice Room,Shower Sex,Barebacking,Threesome - M/M/M"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Park Jimin,Jeon Jungkook/Park Jimin,yesteryear's charms,M/M,No,Yes,21 Oct 2017,"2,087",Mature,No Archive Warnings Apply,"Alternate Universe - Harry Potter Setting,Alternate Universe - Magic,Alternate Universe - Hogwarts,Yoonseok (Side),Namjin (Side),Mean Girls References,Memes,Slytherin Park Jimin,Ravenclaw Jeon Jungkook,Sex in the prefect's bathroom,magical lube,Misunderstandings,Enemies to Lovers,Childhood Friends,Switching"
방탄소년단 | Bangtan Boys | BTS,Park Jimin (BTS)/Everyone,Jeon Jungkook/Park Jimin,Starving For Perfection,M/M,No,Yes,06 Jan 2020,"2,084",Not Rated,No Archive Warnings Apply,"Park Jimin (BTS)-centric,Hurt Park Jimin (BTS),Sick Park Jimin (BTS),Sick Kim Namjoon | RM,Protective Bangtan Boys,Protective Hyungs,Protective Dongsaengs,Eating Disorders,Anorexia,Purging,Body Dysphoria,Suicidal Thoughts,Hospitals,Mental Health Issues,Major Illness,Sad Park Jimin (BTS),Panic Attacks,Self-Hatred,trigger warning,It Gets Worse Before It Gets Better,Here we go,LET'S GET IT"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Park Jimin,Jeon Jungkook/Park Jimin,"interlude: dream, reality",M/M,No,Yes,25 May 2019,"2,082",Explicit,No Archive Warnings Apply,"Smut,Plot What Plot/Porn Without Plot,Somnophilia,Consensual Somnophilia,Canon Compliant,Power Bottom Park Jimin (BTS),sub top jungkook,Dom/sub Undertones,Morning Sex,Blowjobs,A little bit of fluff,jimin calling jk his puppy,because that shit's canon,Park Jimin (BTS) is Whipped,Jeon Jungkook is Whipped,sorry to the housekeepers"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Park Jimin,Jeon Jungkook/Park Jimin,"Sugar, We're Goin' Down",M/M,No,Yes,09 Apr 2017,"2,082",Explicit,Underage,"Park Jimin-centric,Park Jimin Is a Sweetheart,Cute Park Jimin,Sub Park Jimin,Dom/sub,BDSM,Spanking,Master/Pet,Pet Names,Animal Play,kitten play,Age Play,Smol Jimin,Tiny Jimin,Min Yoongi | Suga is Bad at Feelings,Kim Taehyung | V is a Little Shit,Innocent Park Jimin,Jungkook Is In Love,everyone loves jimin,Bottom Park Jimin,Little Space,little jimin,Age Regression/De-Aging,Daddy Kink,Oppa Kink,Sub Jimin,Non-Sexual Age Play"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Everyone,Jeon Jungkook/Park Jimin,What We Used To Be and Will Be,M/M,No,Yes,05 Jul 2021,"2,081",General Audiences,No Archive Warnings Apply,"Age Play Little Jeon Jungkook,Age Play Caregiver Kim Seokjin | Jin,Age Play Caregiver Kim Namjoon | RM,Age Play Caregiver Min Yoongi | Suga,Age Play Caregiver Jung Hoseok | J-Hope,Age Play Caregiver Kim Taehyung | V,Age Play Little Park Jimin (BTS),Fluff and Angst,Angst and Hurt/Comfort,Angst with a Happy Ending,Little Space,Canon Compliant,Diapers,Pacifiers,Stuffies,Non-Sexual Age Play,Baby space,Age Play Baby Jeon Jungkook,Unintentional Forced Infantilism,Tooth-Rotting Fluff,Jeon Jungkook-centric"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Park Jimin,Jeon Jungkook/Park Jimin,Flustered,M/M,No,Yes,17 Jul 2018,"2,081",Mature,Creator Chose Not To Use Archive Warnings,"Alpha/Beta/Omega Dynamics,Alpha Jeon Jungkook,Omega Park Jimin,Omega Kim Taehyung | V,Beta Jung Hoseok | J-Hope,Alpha Kim Namjoon | Rap Monster,Fluff,Light Angst,Omega Kim Seokjin | Jin,Smut is here everyone,Anal Sex,Anal Fingering,Bottom Park Jimin,Top Jeon Jungkook,Mating Cycles/In Heat"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Kim Taehyung | V/Park Jimin,Jeon Jungkook/Park Jimin,a kitten in a lion's den,M/M,No,Yes,24 Jan 2018,"2,080",Explicit,Creator Chose Not To Use Archive Warnings,"Plot What Plot/Porn Without Plot,Trans Male Character,Trans Park Jimin,69 (Sex Position),Cunnilingus,Rimming,Orgasm Delay/Denial,Overstimulation,Multiple Orgasms,Forced Orgasm,Squirting,like ALOT,Double Penetration,Face-Sitting,Creampie,Felching,Some soft fun times between sexy times,pussy slapping,Marathon Sex"
