fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,Can't Take My Eyes Off of You,M/M,Yes,Yes,26 Sep 2023,147,Explicit,No Archive Warnings Apply,"Referenced underage drinking,Gender,talk about being non-cis and labels being hard,talk about pronouns being complicated,there's no gender angst just discussions,things are pretty gender affirming from the author's pov,transmasc Jimmy,Not Quite Drunk Sex,but everyone is so down with it,Vaginal Fingering,Edging,like so much edging I can't really explain why,Multiple Orgasms,Messy Orgasms,Begging,Semi-Public Sex,it's pretty close to public sex,Getting Together,D/s Vibes,Polyamory,Playlist,Rough Fingering,Drinking,First Time,Alternate Universe - Modern Setting,alternate universe - larpers,one background ship it's a surprise check the end note if you wanna be spoiled,POV Jimmy"
Empires SMP,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,"when i go, bury me six feet in snow",M/M,Yes,Yes,18 Nov 2021,147,General Audiences,Major Character Death,"Character Death,Scott | Smajor1995 | Dangthatsalongname Needs a Hug,Scott | Smajor1995 | Dangthatsalongname-centric,Winged Scott | Smajor1995 | Dangthatsalongname,Elf Scott | Smajor1995 | Dangthatsalongname,Deity Scott | Smajor1995 | Dangthatsalongname,Well this is it,Grief/Mourning,Angst,Heavy Angst,Angst and Feels,Angst and Tragedy,Tragic Romance,Angst and Romance,He is dead,Cod Hybrid Jimmy | Solidarity,he's actually an eldritch sea creature but for some reason that tag doesn't exist,Blood,Blood and Injury,i don't know how to write grief!!!!!,no beta we die like SOMEBODY in this fic"
Last Life SMP,EthosLab & BdoubleO100,Jimmy | Solidarity/Scott Major | Smajor1995,but i have seen the same (i know the shame in your defeat),M/M,Yes,Yes,07 Nov 2021,147,General Audiences,Major Character Death,"Grief/Mourning,Hurt/Comfort,dressing wounds and salting new ones,Guilt,Survivor Guilt,Queerplatonic Relationships,if you wanna read ethubs as romantic or platonic thats up to you,Past Lives,mentioned 3rd Life SMP,last life smp - Freeform,if im not careful im gonna fall back into this rabbit hole,Angst,normalise making revenge plans instead of comforting each other"
Empires SMP,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,Another Adventure,M/M,Yes,Yes,20 Mar 2024,146,Teen And Up Audiences,No Archive Warnings Apply,"Empires SMP Season 2,Enemies to Friends to Lovers,Developing Relationship,Toy Jimmy | Solidarity,Alternate Universe - Canon Divergence,Adventure,Hurt/Comfort,Dancing,Storytelling,Hermitshipping Big Bang (Hermitcraft)"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott Major | Smajor1995/TangoTek,Jimmy | Solidarity/Scott Major | Smajor1995,Flower Ranchers headcanons: Faerie's Edition (small ficlets too!),M/M,Yes,Yes,08 Jul 2023,146,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"headcanons,Flower Ranchers,Mini fics,slight angst,Canary Hybrid Jimmy | Solidarity,Elf Scott | Smajor1995 | Dangthatsalongname,Blaze Hybrid TangoTek (Video Blogging RPF)"
Empires SMP,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,but i’ll shout out my love to the stars,M/M,Yes,Yes,24 Oct 2022,146,Not Rated,No Archive Warnings Apply,"Alternate Universe - Royalty,Fluff and Angst,pearl and scott are former besties because double life,Slow Dancing,theres a ballroom scene kinda but not really,author is ignoring empires geography sorry,also lore? who’s she,Enemies to Lovers,but not really because jimmy doesn’t realize they’re enemies"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/TangoTek,Jimmy | Solidarity/Scott Major | Smajor1995,From Across The Balcony,M/M,Yes,Yes,12 May 2023,146,Teen And Up Audiences,No Archive Warnings Apply,"Mutual Pining,Strangers to Friends to Lovers,Friends to Lovers,Neighbors,Song recommendations,Fluff,Neopronouns for Jimmy | Solidarity,Neopronouns for TangoTek,Neopronouns for everybody,Slice of Life,you get neopronouns you get neopronouns everybody gets neopronouns,Other Ships Not Mentioned in Tags,Suggestive jokes because. Scott Smajor is here,Idiots in Love,Rated teen for language and jokes,Slow Burn,I guess???,Modern Era AU,Childhood Friends,Neopronouns for Scott Major | Smajor1995,Not RPF,Light Angst,Polyamory Negotiations,tbh. Everybody is neurodivergent coded because I don't know how to write neurotypicals,Same goes for everyone being arospec coded /j im struggling here"
Double Life - Fandom,Flower husbands - Relationship,Jimmy | Solidarity/Scott Major | Smajor1995,Do you want to be soulmates?,M/M,Yes,Yes,24 Jun 2022,146,Not Rated,Creator Chose Not To Use Archive Warnings,"Fluff,Tooth-Rotting Fluff,Flower Husbands,Double Life,3rd life,Platonic Relationships,Platonic Soulmates,Soulmates,Gay,No beta we die like jimmy in 3rd life,No Beta,no beta read"
Minecraft (Video Game),Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,Feel the Fear in my Enemy's Eyes,M/M,Yes,Yes,10 Jan 2022,152,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Bryce | fWhip and GeminiTay are Twins,Winged Scott | Smajor1995 | Dangthatsalongname,Elf Scott | Smajor1995 | Dangthatsalongname,Axolotl Hybrid Lizzie | LDShadowLady (Video Blogging RPF),Cod Hybrid Jimmy | Solidarity,Scott | Smajor1995 | Dangthatsalongname Needs a Hug,Scott | Smajor1995 | Dangthatsalongname-centric,Alternate Universe - Empires SMP Setting (Video Blogging RPF),3rd Life SMP References (Video Blogging RPF),Scott | Smajor1995 | Dangthatsalongname Has a Sibling Named Xornoth"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,Supply Run,M/M,Yes,Yes,18 Nov 2021,152,Teen And Up Audiences,No Archive Warnings Apply,"Winged Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity-centric,Cod Hybrid Jimmy | Solidarity,Hurt/Comfort,Slightly - Freeform"
