fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Marvel Cinematic Universe,Peter Parker & Morgan Stark (Marvel Cinematic Universe),Peter Parker & Morgan Stark,The Best Medicine,Gen,No,No,01 Nov 2022,217,General Audiences,No Archive Warnings Apply,"Hurt Peter Parker,Peter Parker Gets a Hug,Precious Morgan Stark (Marvel Cinematic Universe),Peter Parker & Morgan Stark are Siblings (Marvel Cinematic Universe),Protective Morgan Stark (Marvel Cinematic Universe),Bossy Morgan Stark (Marvel Cinematic Universe),because who are we kidding,with Pepper and Tony as her parents there's no way she doesn't have a bossy side,Tony Stark is Good With Kids,Parent Tony Stark,Running,Injury,Minor Injuries,Sprains,Platonic Cuddling,Couch Cuddles,Hugs,Mild Hurt/Comfort,Protective Siblings,Adopted Sibling Relationship,Sibling Bonding,Comfortember,Comfortember 2022"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Morgan Stark,All through the night,Gen,No,No,13 Jan 2020,217,General Audiences,No Archive Warnings Apply,"Hurt/Comfort,Emotional Hurt/Comfort,Angst,Fluff,Peter Parker Needs a Hug,Peter Parker is a Mess,Precious Peter Parker,Protective May Parker (Spider-Man),May Parker (Spider-Man) & Tony Stark Coparenting Peter Parker,Tony Stark Has A Heart,Protective Tony Stark,Tony Stark Acting as Peter Parker's Parental Figure,Parent Tony Stark,Post-Avengers: Endgame (Movie),Canon Divergence - Avengers: Endgame (Movie),Fix-It,sorta - Freeform"
Marvel Cinematic Universe,Tony Stark/Pepper Potts,Peter Parker & Morgan Stark,"You’ve Still Got Your Story, Tell It Every Morning.",Gen,No,No,17 May 2019,217,General Audiences,Creator Chose Not To Use Archive Warnings,"Morgan Stark Needs a Hug,Irondad,Angst,Fluff,Not Canon Compliant,Superfamily,IronDad and SpiderSon,Tony Stark Has A Heart,Peter Parker is a good big brother,Fix It Fic"
Spider-Man - All Media Types,May Parker (Spider-Man) & Peter Parker,Peter Parker & Morgan Stark,Falling Hard or Hardly Falling?,Gen,No,No,25 Jun 2023,216,Teen And Up Audiences,No Archive Warnings Apply,"Peter Parker is Tony Stark's Biological Child,Bisexual Peter Parker,Protective Tony Stark,Fluff,Family Drama,Secrets,Identity Reveal,Pansexual Wade Wilson,Minor Character Death,Lesbian Michelle Jones,Lesbian Gwen Stacy (The Amazing Spider-Man),Falling In Love,Getting Together,Memory Loss,I literally don’t know how to tag a marvel fic just know it’s really fluffy,i’ll tag as i go,Insecure Wade Wilson,College Student Peter Parker,No Deadpool Thought Boxes,POV Peter Parker,Jewish Peter Parker,No beta we die like Wade"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Morgan Stark,Wishes Come From You and Not a Random Shooting Star,Gen,No,No,26 Jun 2022,216,General Audiences,No Archive Warnings Apply,"Post-Endgame,Tony Stark Lives,Tony Stark Has A Heart,Tony Stark Acting as Peter Parker's Parental Figure,Insecure Peter Parker,Peter Parker is a Mess,Sad Peter Parker,Peter Parker Gets a Hug,Peter Parker Needs a Hug,Emotional Hurt/Comfort"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Morgan Stark,Impaling,Gen,No,No,27 Feb 2021,216,General Audiences,No Archive Warnings Apply,"Tony Stark Acting as Peter Parker's Parental Figure,FebuWhump2021,Accidental Stabbing,Peter Parker & Morgan Stark are Siblings (Marvel Cinematic Universe),Babysitting,Mild Hurt/Comfort"
The Avengers (Marvel Movies),Pepper Potts/Tony Stark,Peter Parker & Morgan Stark,Sick Kids,Gen,No,No,12 Jan 2021,216,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Sickfic,Harley Keener is a Good Bro,Peter Parker is Tony Stark's Biological Child,Harley Keener is Tony Stark's Biological Child,Peter Parker is a Good Bro,Protective Peter Parker,Protective Harley Keener,Family"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Morgan Stark,never dreamed (that he’d be gone from me),Gen,No,No,16 Jan 2020,216,Not Rated,Creator Chose Not To Use Archive Warnings,"Sad Peter Parker,little bit of,Depressed Peter Parker,and a dash of,Suicidal Peter Parker,Peter Parker is Tony Stark's Biological Child,Pepper Potts Acting as Peter Parker's Parental Figure,Precious Morgan Stark,Avengers: Endgame (Movie) Compliant,im sorry,Emotional Hurt/Comfort,Angst and Feels,kina happy ending? not really,this hurts me too,Peter Parker is a Mess,Poor Peter Parker,peter is babey and im really sorry,You Have Been Warned,kk on to the angst"
Spider-Man (Tom Holland Movies),Peter Parker & Tony Stark,Peter Parker & Morgan Stark,Always Pass On What You Have Learned,Gen,No,No,24 Aug 2020,215,General Audiences,No Archive Warnings Apply,"Star wars bonding,Not Avengers: Endgame (Movie) Compliant,Peter Parker Needs a Hug,Precious Peter Parker,Parent Tony Stark,Tony Stark Acting as Peter Parker's Parental Figure,Peter Parker is a Good Dad,Grandpa Tony,no beta we die like men,Post-Avengers: Endgame (Movie)"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Morgan Stark,Lightning Crashes,Gen,No,No,13 May 2019,214,General Audiences,Creator Chose Not To Use Archive Warnings,"Avengers: Endgame (Movie) Spoilers,Post-Endgame,Me projecting my Endgame feelings on Peter,Not A Fix-It"
Iron Man (Movies),Harley Keener/Peter Parker,Peter Parker & Morgan Stark,Potential,Gen,No,No,04 May 2019,214,Teen And Up Audiences,"Graphic Depictions Of Violence,Major Character Death","Avengers: Endgame (Movie) Spoilers,Avengers: Infinity War Part 1 (Movie) Spoilers,Post-Avengers: Endgame (Movie),Post-Avengers: Infinity War Part 1 (Movie),Avengers: Endgame (Movie),LITERALLY PLS THIS IS BIG SPOILERS,STOP READING IF YOU AINT ENDGAMED,Harley Keener is a little shit,Peter Parker is a Little Shit,Peter Parker has PTSD,Post-Traumatic Stress Disorder - PTSD,Anxiety,Nightmares,Peter Parker Needs a Hug,Hurt Peter Parker,Emotional Hurt/Comfort,Angst,Angst with a Happy Ending,Harley Keener is Ironman,Peter Parker is a Mess,tony stark is dead,The fact I typed that makes me wanna die,Natasha Romanov is dead,EVERYONE IS DEAD INCLUDING ME :'),Avenger Loki (Marvel),Loki (Marvel) Lives,Deadpool being Deadpool,Avenger Deadpool,Avenger Daredevil,Avenger Shuri,BAMF Peter Parker,BAMF Harley Keener,Peter and Harley are Tony's kids fite me,spiderson,Irondad,TONY JUST LOWKEY ADOPTS CHILDREN ALL OVER,More tags to be added,TONYS SONS DESERVE HAPPINESS"
Iron Man (Movies),Peter Parker & Tony Stark,Peter Parker & Morgan Stark,Filling in the Blanks as we go,Gen,No,No,15 Sep 2022,213,General Audiences,No Archive Warnings Apply,"Peter Parker is Tony Stark's Biological Child,Peter Parker & Morgan Stark are Siblings (Marvel Cinematic Universe),Teen Morgan Stark (Marvel Cinematic Universe),Morgan Stark Needs a Hug (Marvel Cinematic Universe),Sick Morgan Stark (Marvel Cinematic Universe),Anxiety,Mental Illness,School,Parent Tony Stark,Tony Stark Has Issues,Parent Pepper Potts,Protective Pepper Potts,Peter Parker is Pepper Potts's Biological Child,James ""Rhodey"" Rhodes & Tony Stark Friendship,Protective James ""Rhodey"" Rhodes,Awesome James ""Rhodey"" Rhodes,Uncle James ""Rhodey"" Rhodes"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Morgan Stark,First Encounter,Gen,No,No,03 Jun 2021,213,Teen And Up Audiences,Graphic Depictions Of Violence,"Peter Parker-centric,Tony Stark-centric,Villain Tony Stark,Peter Parker is Tony Stark's Biological Child,Peter Parker is Pepper Potts's Biological Child,Tony Stark Acting as Peter Parker's Parental Figure,Peter Parker is a Mess,Photographer Peter Parker,Protective Tony Stark,Protective Pepper Potts,Cute Morgan Stark (Marvel Cinematic Universe),Bucky Barnes is Not the Winter Soldier,Bucky Barnes as Captain America,Wanda Maximoff as Black Widow,BAMF Clint Barton,One Shot,Short One Shot,marvel AU,Alternate Universe - Canon Divergence,Alternate Universe - Role Reversal,Jarvis (Iron Man movies) is a Good Bro,Protective Jarvis (Iron Man movies),Parent Tony Stark,Morally Grey Tony Stark,Hurt Peter Parker,Villainous July (2021),Villainous July"
Spider-Man - All Media Types,Peter Parker & Tony Stark,Peter Parker & Morgan Stark,Day 3,Gen,No,No,03 Oct 2019,213,General Audiences,No Archive Warnings Apply,"Adorable Morgan Stark (Marvel Cinematic Universe),Fever,Delusions,Worried Tony Stark,Worried Peter,Post-Avengers: Endgame (Movie),But Tony lived,because I say so,no beta we die like men,Whumptober"
Spider-Man (Tom Holland Movies),Peter Parker & Tony Stark,Peter Parker & Morgan Stark,It’s Safe (I Think),Gen,No,No,30 Oct 2023,212,Not Rated,Creator Chose Not To Use Archive Warnings,"Emotional Hurt/Comfort,Light Angst,Peter Parker Needs a Hug,Precious Peter Parker,Peter Parker Whump,Peter Parker is a Mess,Tony Stark Acting as Peter Parker's Parental Figure,Parent Tony Stark,Tony Stark Has A Heart,Precious Morgan Stark (Marvel Cinematic Universe),Peter Parker & Morgan Stark are Siblings (Marvel Cinematic Universe),Adorable Morgan Stark (Marvel Cinematic Universe),Cute Morgan Stark (Marvel Cinematic Universe),Swimming,Peter Parker has PTSD,Water,Fear,Anxiety,Happy Ending"
Marvel Cinematic Universe,Peter Parker & Morgan Stark (Marvel Cinematic Universe),Peter Parker & Morgan Stark,Family Traditions,Gen,No,No,09 Nov 2020,212,General Audiences,No Archive Warnings Apply,"Peter Parker & Morgan Stark are Siblings (Marvel Cinematic Universe),Tony Stark Acting as Peter Parker's Parental Figure,Peter Parker is a Good Bro,Protective Peter Parker,Precious Morgan Stark (Marvel Cinematic Universe),Adorable Morgan Stark (Marvel Cinematic Universe),Morgan Stark Needs a Hug (Marvel Cinematic Universe),Parent Tony Stark,Tony Stark Loves Peter Parker,Hurt/Comfort,Comfort,Fluff,Not Avengers: Endgame (Movie) Compliant,Tony Stark Lives"
Marvel Cinematic Universe,Peter Parker & Tony Stark,Peter Parker & Morgan Stark,"if i am a clock, then you are the time",Gen,No,No,29 Aug 2020,212,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Christmas,Christmas Fluff,Halloween,Halloween Costumes,Thanksgiving,Thanksgiving Dinner,Fourth of July,Fluff,Angst,Fluff and Angst,Mentions of PTSD,Light Angst,POV Alternating,Found Family,Emotional Hurt/Comfort,Snowball Fight,Bonding,Father-Son Relationship,Marriage Proposal,Anthology Series,uh yeah hope you guys like it,basically 4 holidays that peter and tony spend together,with that found family good shit,Not Avengers: Infinity War Part 1 (Movie) Compliant,Not Avengers: Endgame (Movie) Compliant,worked super hard on this hope you like it,zero word count control™️"
Spider-Man (Tom Holland Movies),Michelle Jones/Peter Parker,Peter Parker & Morgan Stark,Reputation,Gen,No,No,12 Aug 2019,212,General Audiences,Creator Chose Not To Use Archive Warnings,"Post Far From Home,Canon Compliant,Angst,Feels,Ned and MJ are good friends,Peter's famous,Flash redemption arc,kind of,I hate flash but it fits in this fic"
