fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,Lan Zhan's University Days (JAFFY),M/M,Semi-Canon,No,29 May 2021,"3,688",Teen And Up Audiences,No Archive Warnings Apply,"Alternate Universe - Modern Setting,Kinda,cultivated to immortality,University,outsider pov,Wei Wuxian is a chaos gremlin,ridiculous future bullshit,wwx vs Local Culture"
魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,Pull out game weak,M/M,Semi-Canon,No,14 Feb 2021,"3,685",Explicit,No Archive Warnings Apply,"Female Lan Zhan | Lan Wangji/Female Wei Ying | Wei Wuxian,Alternate Universe - Modern Setting,Dom/sub,Sexting,Nudes,Orgasm Delay/Denial,Strap-Ons,Mistaken Identity,Jiang Cheng character assassination,Even when its not omegaverse lwj is still an alpha dyke,Subdrop"
魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,What's the Password?,M/M,Semi-Canon,No,30 Aug 2020,"3,685",Not Rated,Graphic Depictions Of Violence,"Modern AU,wwx is a badass,lwj is smitten,Alternate Universe - College/University,unbetaed we die like wwx,slowly turning into a sugar daddy fic,that was not my intention i swear,wow this got dark real quick,Mild Blood"
陈情令 | The Untamed (TV),Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,All This Devotion,M/M,Semi-Canon,No,17 Apr 2020,"3,683",Explicit,No Archive Warnings Apply,"Mpreg,Part Two,overly indulgent nonsense,Curtain Fic,and they have a son!!,two sons"
陈情令 | The Untamed (TV),Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,in a river you wade,M/M,Semi-Canon,No,17 Jul 2021,"3,681",Mature,No Archive Warnings Apply,"Alternate Universe - Canon Divergence,Mpreg,Postpartum Depression,Grief/Mourning,Hurt/Comfort,Good Uncle Lan Qiren,Family Feels,Happy Ending,Kid Fic"
陈情令 | The Untamed (TV),Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,Farewell My Concubine,M/M,Semi-Canon,No,06 Feb 2023,"3,680",Mature,Creator Chose Not To Use Archive Warnings,"Alternate Universe - Royalty,Non-Traditional Alpha/Beta/Omega Dynamics,Arranged Marriage,Concubine Wei Ying | Wei Wuxian,Omega Wei Ying | Wei Wuxian,Alpha Lan Zhan | Lan Wangji,Prince Lan Zhan | Lan Wangji,Horny Lan Zhan | Lan Wangji,Rape/Non-con Elements,Dubious Consent,Pregnant Wei Ying | Wei Wuxian,Angst with a Happy Ending,Miscommunication,Because it's not Wangxian if they actually speak to each other from the get-go,Dark Thoughts"
魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,walking on parallel paths,M/M,Semi-Canon,No,01 Jun 2019,"3,680",Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"sick!fic,could be seen as one-sided!JC/WWX,Angst,Implied/Referenced Rape/Non-con,Mind Rape,Fluff,Crack"
魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,get wild,M/M,Semi-Canon,No,21 Mar 2021,"3,679",Explicit,Creator Chose Not To Use Archive Warnings,"Rivals With Benefits,Alternate Universe - Basketball,Under-negotiated Kink,Dom/sub,Alternate Universe - College/University,Fist Fights,top LWJ,bottom WWX,Dom LWJ,sub wwx,see ending notes for additional tags"
陈情令 | The Untamed (TV),Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,"Take Root, Come Home",M/M,Semi-Canon,No,15 Jul 2020,"3,677",General Audiences,No Archive Warnings Apply,
陈情令 | The Untamed (TV),Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,fourth time's the charm,M/M,Semi-Canon,No,14 Dec 2019,"3,675",Teen And Up Audiences,No Archive Warnings Apply,"Alternate Universe - Modern Setting,wei wuxian's dedication to getting free stuff,matchmaker lan xichen,very chaotic,one braincell duo"
