fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Video Blogging RPF,Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Wilbur Soot & TommyInnit,pressed palm lines,Gen,Yes,Yes,03 Dec 2021,"1,751",Teen And Up Audiences,No Archive Warnings Apply,"Magic Revealed,Wilbur Soot Needs a Hug,TommyInnit Loves Wilbur Soot,Brotherly Affection,Alternate Universe - Gods & Goddesses,Hurt TommyInnit (Video Blogging RPF),Magical Realism,Family Dynamics,References to Ancient Greek Religion & Lore,tommy and wilbur are ying and yang,TOMMY BUBBLES!! HE IS AN EMPATH,Soft Technoblade (Video Blogging RPF),Protective Phil Watson (Video Blogging RPF),they love wilbur - theyre a FAMILY,way too much poetic language,not enough actual magic,Maybe I'll write a sequel,who knows - Freeform,have u ever met someone who can make your flaws feel like strengths?,yeah- thats this fic"
Minecraft (Video Game),Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Wilbur Soot & TommyInnit,Dreaming of a Reality That Was Never Meant To Be [DISCONTINUED],Gen,Yes,Yes,11 Apr 2023,"1,750",Teen And Up Audiences,No Archive Warnings Apply,"Wilbur Soot and Technoblade and TommyInnit are Siblings,Bad Parent Phil Watson (Video Blogging RPF),he's trying though,Sleepy Bois Inc as Family,Family Issues,Dreams,Dreams vs. Reality,Older Sibling Wilbur Soot,Older Sibling Technoblade (Video Blogging RPF),Dream Team is not evil,Healing,Implied/Referenced Child Neglect,Overdosing,Protective Wilbur Soot,Protective Technoblade (Video Blogging RPF),Drowning,Beaches,Nightmares,Crying,Escapism,Angst,Coma,Sick Character,Sickfic,Sick TommyInnit (Video Blogging RPF)"
Dream SMP,No Romantic Relationship(s),Wilbur Soot & TommyInnit,Look at the World So Close (And I'm Halfway To It),Gen,Yes,Yes,03 Sep 2021,"1,750",Teen And Up Audiences,No Archive Warnings Apply,"Inspired by Tangled (2010),Fairy Tale Elements,Other Additional Tags to Be Added,Emotional Manipulation,Thief!Ranboo,TommyInnit Has Magic Powers,Ghostbur,Manipulative Clay | Dream (Video Blogging RPF),y'know the compasses? yeah,Found Family and Finding Family we got it all folks,Past Character Death,Toby Smith | Tubbo and Wilbur Soot and Technoblade and TommyInnit are Siblings,Survivor Guilt,Minor Violence,Prince Toby Smith | Tubbo,Prince Technoblade (Video Blogging RPF),Panic Attacks,Mild Blood,Non-Human Clay | Dream (Video Blogging RPF),They/Them Pronouns for Eret (Video Blogging RPF),Ghost Wilbur Soot Angst,Toby Smith | Tubbo and TommyInnit are Twins,Angst and Hurt/Comfort,Temporary Character Death,Happy Ending,Complete"
Dream SMP,Wilbur Soot & TommyInnit,Wilbur Soot & TommyInnit,Full Throttle,Gen,Yes,Yes,23 Oct 2022,"1,747",Teen And Up Audiences,No Archive Warnings Apply,"NASCAR,NASCAR!au,Alternate Universe - Car Racing,Hard of Hearing TommyInnit (Video Blogging RPF),Hard of Hearing Wilbur Soot,Fluff and Hurt/Comfort,crimeboys relationship in this is enemies to brothers which i find very funny,TommyInnit-centric (Video Blogging RPF)"
Video Blogging RPF,Wilbur Soot & TommyInnit,Wilbur Soot & TommyInnit,heart beats fast; colours and promises,Gen,Yes,Yes,15 Apr 2024,"1,745",Teen And Up Audiences,No Archive Warnings Apply,"Age Regression/De-Aging,domestic abuse,Domestic Violence,Found Family,Angst,Fluff and Angst,Fluff,Age Regression Little TommyInnit (Video Blogging RPF),Age Regression Caregiver Wilbur Soot,impure age regression,Babyspace - Age Regression,Pure Age Regression,Temper Tantrums,Flashbacks,no beta we die like c!ranboo,IRL Fic,Hurt,Comfort,Hurt/Comfort,Emotional Hurt/Comfort,Emotional/Psychological Abuse,TommyInnit Has PTSD (Video Blogging RPF),Traumatized TommyInnit (Video Blogging RPF),Vent Regression,Play Regression,Vent & Play Regression,Non-Sexual Age Play,Implied/Referenced Sexual Assault,Sexual Assault,Past Sexual Assault,Sexual Abuse,Gaslighting,TommyInnit in Denial (Video Blogging RPF),TommyInnit is Not Okay (Video Blogging RPF),depersonalization/derealization,It Gets Worse Before It Gets Better,Non-Consensual Drug Use,Underage Drinking,Suicidal Thoughts,TommyInnit Has an Anxiety Disorder (Video Blogging RPF),Depressed TommyInnit (Video Blogging RPF),Bed-Wetting,Dissociation,Sleepy Bois Inc as Found Family,Panic Attacks,Anxiety Attacks,Anxiety Disorder,TommyInnit Has Panic Attacks (Video Blogging RPF),TommyInnit-centric (Video Blogging RPF),Alcohol Abuse/Alcoholism,Trust Issues,TommyInnit Has Trust Issues (Video Blogging RPF),Age Regression Caregiver Kristin Rosales Watson,TommyInnit Angst (Video Blogging RPF),TommyInnit Dissociates (Video Blogging RPF),Self-Harm,Cutting"
Minecraft (Video Game),Niki | Nihachu & TommyInnit,Wilbur Soot & TommyInnit,"Gifted Family, Gifted Betrayal",Gen,Yes,Yes,30 Jul 2021,"1,745",General Audiences,No Archive Warnings Apply,"Older Sibling Niki | Nihachu,Niki | Nihachu Needs a Hug,Niki hates Tommy,Tommy can knit,L'Manberg | L'Manburg on Dream Team SMP (Video Blogging RPF),L'Manburg Revolution,L'Mantree on Dream Team SMP (Video Blogging RPF),Niki | Nihachu Burns the L'Mantree,Mentioned Eret (Video Blogging RPF),Traitor Eret (Video Blogging RPF),Soft TommyInnit (Video Blogging RPF),Touch-Starved TommyInnit (Video Blogging RPF),Toby Smith | Tubbo and TommyInnit are Siblings,President Toby Smith | Tubbo,Vice President TommyInnit (Video Blogging RPF),Toby Smith | Tubbo Has PTSD,TommyInnit Has PTSD (Video Blogging RPF),Platonic Cuddling,Exiled TommyInnit (Video Blogging RPF),Platonically Married Ranboo and Toby Smith | Tubbo,Ranboo and Toby Smith | Tubbo Have a Child Named Michael,Snowchester on Dream Team SMP (Video Blogging RPF),clingy duo,Technoblade and TommyInnit are Siblings (Video Blogging RPF),Dream is a dick,Implied/Referenced Suicide,Amputee TommyInnit (Video Blogging RPF),Big Brother Technoblade,Protective Technoblade (Video Blogging RPF),they/them pronouns for Friend,just cos i literally cannot imagine them with a gender,...am i projecting onto a sheep????,Sam | Awesamdude is Not Sam Nook,Sam Nook - Freeform,Protective Sam | Awesamdude,Big Innit Hotel on Dream Team SMP (Video Blogging RPF),Fran the therapy dog,Parent Sam | Awesamdude,Prison Arc on Dream Team SMP (Video Blogging RPF),Revived Tommyinnit,allium duo,Protective Ranboo (Video Blogging RPF),Selectively Mute Tommyinnit (Video Blogging RPF),...am i projecting again,Las Nevadas on Dream Team SMP (Video Blogging RPF),Manipulative Wilbur Soot,Manipulative Alexis | Quackity,therapy animal Friend,Traumatized TommyInnit (Video Blogging RPF),Scared TommyInnit (Video Blogging RPF),5+1 Things,Angst,TommyInnit Sews (Video Blogging RPF)"
Minecraft (Video Game),Tommyinnit & Wilbur Soot,Wilbur Soot & TommyInnit,kinship,Gen,Yes,Yes,08 Jun 2021,"1,745",Teen And Up Audiences,No Archive Warnings Apply,"Trans Female Character,Trans Female TommyInnit (Video Blogging RPF),Trans TommyInnit (Video Blogging RPF),Trans Character,She/Her Pronouns for TommyInnit (Video Blogging RPF),Friendship,Found Family,BAMF Clay | Dream's Sister Drista (Video Blogging RPF),drista's one of my favorite content creators and she isn't even one,i resonate with her personality,Older Sibling Clay | Dream (Video Blogging RPF),Sibling Rivalry,Sibling Bonding,Hijinks & Shenanigans,Family Shenanigans,Fluff,Humor,Crack,Fluff and Crack,One Shot"
Minecraft (Video Game),Wilbur Soot & TommyInnit,Wilbur Soot & TommyInnit,Tommyinnit And The Tale Of His Self Discovery,Gen,Yes,Yes,01 Sep 2021,"1,742",General Audiences,No Archive Warnings Apply,"Aromantic Asexual TommyInnit (Video Blogging RPF),Aromantic TommyInnit (Video Blogging RPF),The whole friend group is gay,very little angst,only at the start,but thats it,LGBTQ Character,Minor Original Character(s),Self-Discovery,Dancer TommyInnit (Video Blogging RPF),somebody make Amigop's a tag,Tags Are Hard"
Minecraft (Video Game),Wilbur Soot & TommyInnit,Wilbur Soot & TommyInnit,spectacle(s),Gen,Yes,Yes,30 Jun 2021,"1,742",Teen And Up Audiences,No Archive Warnings Apply,"IRL Fic,IRL,IN REAL LIFE,real life fiction - Freeform,give me my clout,day 3 bitches,thought I wasnt gonna make it huh,Wilbur Soot and TommyInnit are Siblings,Brotherly Love,Family Dynamics,Bella and Lilly at it AGINA,agian,Again,this one is for you Qar,and literally anyone else ever,this is lilly typing,BTW,if you didnt know,LB AU"
Video Blogging RPF,No Romantic Relationship(s),Wilbur Soot & TommyInnit,the world's against him (so let's be against the world),Gen,Yes,Yes,28 Jan 2021,"1,742",General Audiences,No Archive Warnings Apply,"Wilbur Soot and TommyInnit are Siblings,Sam | Awesamdude and TommyInnit are Found Family,Protective Siblings,Protective Older Brothers,Protective Wilbur Soot,Resurrected Wilbur Soot,Protective Sam | Awesamdude,Sad TommyInnit (Video Blogging RPF),Bad Parent Phil Watson (Video Blogging RPF),Fluff,tommy has good adult figures in his life,wilbur and sam are ready to attack,Sibling Rivalry?,phil is a bad dad to tommy,tommy needs a family,his brothers are more than willing,no beta we die like lmanberg"
