fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Sherlock (TV),Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,Reichenbach Rising,Gen,Yes,No,09 Oct 2013,545,Explicit,Creator Chose Not To Use Archive Warnings,"Slash,Friends to Lovers,Reverse Reichenbach,Suicidal Thoughts,First Time,First Kiss,Angst,seriously angst,More angst,But after all that a happy ending,Johnlock - Freeform"
Sherlock (TV),Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,Tin Soldier,Gen,Yes,No,23 Jun 2012,545,General Audiences,Creator Chose Not To Use Archive Warnings,"BAMF!John,Post-Reichenbach,Mini-Fic,Friendship"
Sherlock (TV),Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,The Penny Drops,Gen,Yes,No,03 Aug 2012,544,Explicit,"Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply","PWP,Lazy Sex,This is just porn don't hate me"
Sherlock (TV),Sherlock Holmes & John Watson,Sherlock Holmes & John Watson,Storming the Ship,Gen,Yes,No,30 Jul 2016,543,Teen And Up Audiences,No Archive Warnings Apply,"Captured Sherlock,BAMF John Watson,Injured Sherlock"
Sherlock Holmes & Related Fandoms,Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,The Badger and The Snake,Gen,Yes,No,08 Sep 2015,543,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Possessive Sherlock,Possessive Behavior,Oblivious John,Alternate Universe - Hogwarts,Slytherin Sherlock,Hufflepuff John,Sherlock is a Brat,Potterlock"
Sherlock (TV),Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,"i was angry with my foe (i told it not, my wrath did grow)",Gen,Yes,No,23 Mar 2021,542,General Audiences,No Archive Warnings Apply,"Alternate Universe,AU scene for an AU,BAMF John Watson,Drabble,Ficlet,Protective John Watson"
Sherlock (TV),Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,Overtime,Gen,Yes,No,26 Apr 2014,542,General Audiences,No Archive Warnings Apply,"Fluff,Tea,sherlock being cute"
Sherlock (TV),Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,Pressure,Gen,Yes,No,08 Jun 2013,542,Explicit,"Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply","Mpreg,Birth,Male Lactation,Dystocia,difficult birth,sort of erotic birth,this is a strange one as far as that goes"
Sherlock (TV),Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,Doesn't Follow Me Everywhere,Gen,Yes,No,06 Aug 2012,542,General Audiences,Major Character Death,"Five Plus One,Sherlock follows John,Stalker!Sherlock,Humor,Angst,Angst and Humor,Post Reichenbach,Post Series,A little bit of everything"
Sherlock & Co. (Podcast),Sherlock Holmes/John Watson,Sherlock Holmes & John Watson,bro come back to bed it’s bed time bro,Gen,Yes,No,03 Feb 2024,541,General Audiences,No Archive Warnings Apply,"Late Night Conversations,Sleepy Cuddles,Cuddles,Autistic Sherlock Holmes,Literal Sleeping Together,Organic hugs,felt silly yay,for those wondering what the ~ tag means it just means queerplatonic,bc!!! queerplatonic johnlock baybee !!!!,Queerplatonic Relationships,Mornings,Morning Cuddles"
