fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Everyone,Jeon Jeongguk | Jungkook/Kim Taehyung | V,What We Used To Be and Will Be,M/M,No,Yes,05 Jul 2021,"2,081",General Audiences,No Archive Warnings Apply,"Age Play Little Jeon Jungkook,Age Play Caregiver Kim Seokjin | Jin,Age Play Caregiver Kim Namjoon | RM,Age Play Caregiver Min Yoongi | Suga,Age Play Caregiver Jung Hoseok | J-Hope,Age Play Caregiver Kim Taehyung | V,Age Play Little Park Jimin (BTS),Fluff and Angst,Angst and Hurt/Comfort,Angst with a Happy Ending,Little Space,Canon Compliant,Diapers,Pacifiers,Stuffies,Non-Sexual Age Play,Baby space,Age Play Baby Jeon Jungkook,Unintentional Forced Infantilism,Tooth-Rotting Fluff,Jeon Jungkook-centric"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Kim Taehyung | V,Jeon Jeongguk | Jungkook/Kim Taehyung | V,The lies we tell but the secrets we keep,M/M,No,Yes,11 Apr 2020,"2,081",Not Rated,Creator Chose Not To Use Archive Warnings,"vkook,yoonmin,Alternate Universe,Fluff and Angst,Fluff,Angst,Secrets,Hurt/Comfort,Alternate Universe - Soulmates,Soulmates,Soulmate-Identifying Marks,Obsession,Fluff and Humor,CEO Jeon Jungkook,Boss/Employee Relationship,Jeon Jungkook is a Brat,A little only though,Obsessive Behavior,Enemies to Friends to Lovers,Enemies to Lovers,Alternate Universe - Office,Taekook Week,Kim Taehyung | V & Park Jimin are Best Friends,Top Jeon Jungkook,Bottom Kim Taehyung | V"
방탄소년단 | Bangtan Boys | BTS,Kim Taehyung | V/Park Jimin,Jeon Jeongguk | Jungkook/Kim Taehyung | V,It's not cold when there's two hands to hold,M/M,No,Yes,17 Sep 2018,"2,079",Explicit,No Archive Warnings Apply,"Alpha/Beta/Omega Dynamics,Jimin just wants to be loved,Alpha Jeon Jungkook,Alpha Kim Taehyung | V,Omega Park Jimin,Side yoonseok ofc,Park Jimin Is Bad at Feelings,Bottom Park Jimin,Alternate Universe - Modern Setting,Angst,joonie and jin might appear,Fluff,Smut,brief mpreg mention,No actual mpreg"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Kim Seokjin | Jin,Jeon Jeongguk | Jungkook/Kim Taehyung | V,The man on the Bridge,M/M,No,Yes,29 May 2022,"2,076",Not Rated,Creator Chose Not To Use Archive Warnings,"Jeon Jungkook-centric,Cute Jeon Jungkook,Violence,Hurt Park Jimin (BTS),ghost - Freeform,but only one,And not scary,jungkook is a mess,Soon to be whipped hyungs,AND JUNGKOOK,Jimin is already halfway,Gangs,Slow Updates,Protective Yugyeom,Protective Jimin,Other tags to be added,Mention of guns,Mention of Death,Implied Violence,Hurt Jungkook,Smitten hyungs and Jungkook,a bit of angst,Fluff,Happy Ending,More like hopeful ending though"
방탄소년단 | Bangtan Boys | BTS,Min Yoongi | Suga/Park Jimin,Jeon Jeongguk | Jungkook/Kim Taehyung | V,quiet,M/M,No,Yes,11 Jul 2022,"2,076",Not Rated,Creator Chose Not To Use Archive Warnings,"Depression,Self-Harm,Self-Hatred,Depressed Min Yoongi | Suga,Min Yoongi | Suga is Bad at Feelings,Bottom Min Yoongi | Suga,Min Yoongi | Suga-centric,Sad Min Yoongi | Suga,Sub Min Yoongi | Suga,Jeon Jungkook is Whipped,Top Jung Hoseok | J-Hope,Protective Jung Hoseok | J-Hope,Protective Kim Seokjin | Jin,Protective Kim Namjoon | RM,Protective Park Jimin,Protective Kim Taehyung | V,Protective Jeon Jungkook,Crying,Cute Min Yoongi | Suga,smol yoongi,Kim Taehyung | V is a Good Friend,Jung Hoseok | J-Hope is a Good Friend,Jeon Jungkook is a Good Friend,Park Jimin Is a Good Friend,Kim Namjoon | RM & Min Yoongi | Suga are Best Friends,Kim Namjoon | RM is a Sweetheart,Kim Seokjin | Jin is a Good Hyung,Angel Kim Seokjin | Jin"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Jung Hoseok/Kim Namjoon/Kim Seokjin/Kim Taehyung/Min Yoongi/Park Jimin,Jeon Jeongguk | Jungkook/Kim Taehyung | V,Past Life,M/M,No,Yes,10 Dec 2023,"2,075",Not Rated,Graphic Depictions Of Violence,"Alpha/Beta/Omega Dynamics,Omega Jeon Jungkook,Single Parent Jeon Jungkook,the cutest toddlers,Jeon Jungkook Needs a Hug,Family Feels,Falling In Love,Family Fluff,Hurt/Comfort,Past Domestic Violence,PTSD,Speech Disorders,Angst and Hurt/Comfort,i swear its cuter than these tags seem!,Good Hyungs Bangtan Boys | BTS,alpha hyungs,Alpha/Omega,Eventual Smut,Romance,True Love,Poor Jeon Jungkook,Sexual Harassment,Sexual Tension,Sexual Content,It Gets Worse Before It Gets Better,this really is just the ultimate hurt/comfort,Bangtan Boys | BTS Are Whipped For Jeon Jungkook"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Kim Taehyung | V,Jeon Jeongguk | Jungkook/Kim Taehyung | V,Breath in Time,M/M,No,Yes,04 Dec 2017,"2,074",Mature,"Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply","Romance,Smut,Light Angst,Canon Compliant,Alternate Universe - Canon Divergence,Supernatural Elements,Time Travel,Internalized Homophobia,Pining,Unrequited Love,OR IS IT,Gay Jungkook,Straight Taehyung,OR IS HE,Coming to term with one's feelings maybe,Anal Sex,Anal Fingering,Switch Taekook,They both top here,Versatality exists y'all,Barebacking,Rimming"
방탄소년단 | Bangtan Boys | BTS,Min Yoongi | Suga/Park Jimin,Jeon Jeongguk | Jungkook/Kim Taehyung | V,Fool for You,M/M,No,Yes,15 Sep 2021,"2,072",Explicit,Creator Chose Not To Use Archive Warnings,"Enemies to Lovers,Rivals With Benefits,Unresolved Sexual Tension,Rivalry,underground bands,Bassist Min Yoongi | Suga,Punk Park Jimin (BTS),Jealousy,Mild Hurt/Comfort,Unrequited Love,Mutual Pining,Explicit Language,Dirty Talk,Explicit Sexual Content,Public Hand Jobs,Public Blow Jobs,Anal Sex,Rough Sex,Top Min Yoongi | Suga,Bottom Park Jimin (BTS),Alternate Universe - Coffee Shops & Cafés,Alternate Universe - Rock Band"
방탄소년단 | Bangtan Boys | BTS,Min Yoongi | Suga/Park Jimin,Jeon Jeongguk | Jungkook/Kim Taehyung | V,A Thousand Stars To Swallow The Dark.,M/M,No,Yes,02 Mar 2020,"2,070",Explicit,No Archive Warnings Apply,"Hurt/Comfort,OT7,ot7 cuddling,Sad Jimin,Hints of Body Image Issues,lil bit of blood,But No Self Harm Dont Worry,Kim Seokjin | Jin Being a Mom,sad jin,OT7 Love,Sick Min Yoongi | Suga,Not Deadly Sick,Just a nasty cold,Sad Kim Namjoon | RM,Sad Park Jimin,NamJin smut,blowjob,Angry Kim Namjoon | RM,Shy Kim Taehyung | V,Timid Tae,taekook fluff,Like the fluffy fluff.,Unicorn fluff,Lonley Jung Hoseok,Sad Jung Hoseok | J-Hope,yoonminhope,Threesome,Lonliness.,Hoseok has more than one emotion,Arguments,Sad Jungkook,Panic Attack,Sad Jeon Jungkook,bts love,BTS Hugs,Bangtan Cuddles,vmin - Freeform,Vmin bromance,Vmin Freindship,Vmin Comfort,Tae With Kids,Bathroom Cuddles,namgi,NamGi bromance,Namgi Handholding,hand holding,angry yoongi,Yoongi Flips Out,jinhope - Freeform,Sugakookie,yoonkook,JinHope Comfort,sick!jungkook,Appa Yoongi,namjin - Freeform,injured namjoon,Exhausted Jin,taegi - Freeform,Scared tae,Gangsta Yoongi,TaeJin - Freeform,Burn the stage,Taejin Bromance,TaeJin Cuddles,Tae snaps,hopekook,Angry J-Hope,Hopekook Hugs,tired hoseok,comforting jungkook,taekook,Tae being Tae,Introvert Jungkook,Sope,Hurt Jung Hoseok | J-Hope,yoongi to the rescue,Sope Cuddles,platonic cuddles,Mean Trolls,Cyber Bullying,minjoon - Freeform,Minjoon Cuddles,Autumn feels,MinJoon being Hipsters,Pining Jimin,jinmin - Freeform,JinMin Hugs,Protective Kim Seokjin | Jin,Hurt Park Jimin,Mean Ass Bitch Ass Jungsoo,Vmon - Freeform,Mean Managers,pushing,Threatening behavior,Intimidation,Bad Ass Namjoon,Protective Namjoon,Philosopher Min Yoongi,Like come on metaphors.,lee taemin - Freeform,Taemin Cameo,jihope - Freeform,Yoonminseok cuddles,Arguing Boyfriends,Peacemaker Hobi,jinkook - Freeform,Father Figure Jin,Bit of blood again,Eldest Hyung and Mankae Bonding,Paranoid Jin,Sick Kim Namjoon | RM,Hyung Hobi,Namseok Cuddles,Sleepy Cuddles,sick cuddles,Hobi has a big dick.,fight me,jikook - Freeform,creepy fans,Saesangs,Attempted Sexual Assault,Kookie saves Jimin,Jimin Saves Kookie,yoonjin - Freeform,Min Yoongi | Suga is Bad at Feelings,Sad Min Yoongi | Suga,Lonely Min Yoongi,Perfect Hyung Jin,Middle Of The Night Heart To Hearts,Homophobia,Homophobic Uncle,Coming Out,Tae Comes Out,Hobi is a queer angel,namkook,president Namjoon,Fanboy Jungkook,Bullying,Namjoon is a goddamn inpiration,And I just need y'all to recognise,yoonmin,self degradation,Self Esteem Issues,Anxiety,bad nightmares,body issues,BUT ITS ALL HAPPY AFTER EACH SADNESS,Bangtan/ARMY,Army,Sad bangtan,Fan/Idol,Bangtan Loves Army,late night walks"
방탄소년단 | Bangtan Boys | BTS,Jeon Jungkook/Kim Taehyung | V,Jeon Jeongguk | Jungkook/Kim Taehyung | V,my church offers no absolutes,M/M,No,Yes,07 Nov 2015,"2,070",Mature,Creator Chose Not To Use Archive Warnings,"taekook,side!yoonmin,Church AU,Religious Themes,Mentions of homophobia,Slice of Life AU,College AU"
