fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
TWICE (Band),dahmo - Relationship,Im Nayeon/Yoo Jeongyeon,Aftermath (Sahyo G!P),F/F,No,Yes,07 May 2024,22,Explicit,"Graphic Depictions Of Violence,Major Character Death,No Archive Warnings Apply,Rape/Non-Con,Underage","Rape/Non-con Elements,Graphic Description of Corpses,Post-Traumatic Stress Disorder - PTSD,Community: kpop-fixmix,Girl Penis,Fluff and Angst,Angst"
LE SSERAFIM (Band),Huh Yunjin/Kim Chaewon,Im Nayeon/Yoo Jeongyeon,unspoken truths,F/F,No,Yes,13 Feb 2024,22,Not Rated,No Archive Warnings Apply,"Class Trip,Enemies to Lovers,Slow Burn,High School,rich brat kim chaewon,Love Triangles"
TWICE (Band),Myoui Mina/Son Chaeyoung,Im Nayeon/Yoo Jeongyeon,You've Got Me Confused (You've Got Me So Satisfied),F/F,No,Yes,12 Sep 2023,22,Teen And Up Audiences,No Archive Warnings Apply,"Smoking,Clubbing,Dark Character,Just Add Kittens,Pool & Billiards,Late at Night"
TWICE (Band),Hirai Momo/Myoui Mina,Im Nayeon/Yoo Jeongyeon,stuck under the moon,F/F,No,Yes,17 Aug 2021,22,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Ensemble - Freeform,Alternate Universe"
TWICE (Band),Im Nayeon/Yoo Jeongyeon,Im Nayeon/Yoo Jeongyeon,I don't like her | 2Yeon,F/F,No,Yes,28 Mar 2021,22,General Audiences,Creator Chose Not To Use Archive Warnings,"Fluff,Love,Cross-Posted on Wattpad"
TWICE (Band),Im Nayeon/Yoo Jeongyeon,Im Nayeon/Yoo Jeongyeon,Eraser,F/F,No,Yes,04 Mar 2021,22,Not Rated,Creator Chose Not To Use Archive Warnings,soft angst
TWICE (Band),Im Nayeon/Yoo Jeongyeon,Im Nayeon/Yoo Jeongyeon,Nakauwi Na,F/F,No,Yes,30 Jun 2020,22,General Audiences,No Archive Warnings Apply,"2YEON - Freeform,Tagalog,mentions of TWICE members,mentions of seulgi,wendy too,and irene and joy,ang bandang shirley"
TWICE (Band),Im Nayeon/Yoo Jeongyeon,Im Nayeon/Yoo Jeongyeon,365 days of sunflower,F/F,No,Yes,29 Jun 2020,22,General Audiences,Major Character Death,"2YEON - Freeform,is this an angst?,Forgive Me,2yeon is still alive,Alternate Universe,NaJeong,TWICE Ensemble - Freeform"
TWICE (Band),Minatozaki Sana/Yoo Jeongyeon,Im Nayeon/Yoo Jeongyeon,Chemical Emotion,F/F,No,Yes,30 Apr 2020,22,General Audiences,Creator Chose Not To Use Archive Warnings,"ghost au,sorry im just gonna wing this whole thing,Third Person POV"
TWICE (Band),Im Nayeon/Yoo Jeongyeon,Im Nayeon/Yoo Jeongyeon,Let's Only Walk The Flower Road,F/F,No,Yes,12 Apr 2020,22,Teen And Up Audiences,"Creator Chose Not To Use Archive Warnings,No Archive Warnings Apply",
TWICE (Band),Minatozaki Sana/Myoui Mina,Im Nayeon/Yoo Jeongyeon,Trouble Maker - SANA x MINA,F/F,No,Yes,07 Feb 2020,22,Mature,Creator Chose Not To Use Archive Warnings,
TWICE (Band),Park Jisoo | Jihyo/Original Character(s),Im Nayeon/Yoo Jeongyeon,Hell in Heaven,F/F,No,Yes,05 Apr 2024,21,General Audiences,Graphic Depictions Of Violence,"Angst,Abuse,Friendship,Investigations,Teamwork,Implied/Referenced Cheating,How Do I Tag,Why Did I Write This?,Implied/Referenced Rape/Non-con,Implied/Referenced Torture"
