fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,If the Choice were mine to make,F/M,Semi-Canon,No,09 Dec 2023,527,Mature,Creator Chose Not To Use Archive Warnings,"Harry Potter Epilogue What Epilogue | EWE,Alternate Universe - Canon Divergence,Slow Burn,Mutual Pining,Fix-It"
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,Off the Leash,F/M,Semi-Canon,No,01 Jan 2023,527,Mature,"Graphic Depictions Of Violence,Rape/Non-Con","vice-eater,it followed me home"
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,Blue Light,F/M,Semi-Canon,No,27 Feb 2021,526,Teen And Up Audiences,No Archive Warnings Apply,"Fluff,Light Angst,Slytherin Hermione Granger,Hermione Granger is a Good Friend,Young Severus Snape,POV Severus Snape,Romance,Friends to Lovers,Implied/Referenced Child Abuse,Marauders Era (Harry Potter),Yule Ball (Harry Potter),Love Confessions,Marauders,Alternate Universe - No Voldemort,Alternate Universe - Everyone Lives/Nobody Dies,Hurt/Comfort,Fluff and Angst,Tooth-Rotting Fluff,No Smut,Good Severus Snape,Severus Snape Has a Heart,Love at First Sight,Friendship/Love,Light-Hearted,Emotional Hurt/Comfort,Requited Love,Pureblood Culture (Harry Potter),Pureblood Society (Harry Potter),Pureblood Politics (Harry Potter),Inspired by Fanart,Eventual Hermione Granger/Severus Snape,Crack Treated Seriously,Fluff and Hurt/Comfort,Everything is Beautiful and Nothing Hurts,Marauders Bashing (Harry Potter),Childhood Friends"
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,Unanswered Prayers,F/M,Semi-Canon,No,28 Feb 2017,526,Mature,Creator Chose Not To Use Archive Warnings,"May/December Relationship,Post-War,HP: EWE,Mildly Dubious Consent,Angst with a Happy Ending,Magical Bond,Complete"
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,Binding Darkness - Severus POVs,F/M,Semi-Canon,No,04 Mar 2023,525,Explicit,No Archive Warnings Apply,"Explicit Sexual Content,Sexual Curse,Teacher-Student Relationship,Marriage Law Challenge"
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,Loophole,F/M,Semi-Canon,No,14 Jun 2022,525,Teen And Up Audiences,No Archive Warnings Apply,"Soulmates,Soulmate-Identifying Marks,References to Canon,Past Hermione Granger/Ron Weasley,Mute Severus Snape,Severus Snape Lives,i tried to write a funny and sassy Lavender because I love you,HEA,Yes Really,y'all never believe me but I'm telling the truth this time,okay fine,it's a bittersweet ending,but everyone lives,fine,I wrote a second chapter so now the ending is for real happy,and honestly I'm happier for it too"
Harry Potter - J. K. Rowling,Hermione Granger/Thorfinn Rowle,Hermione Granger/Severus Snape,Twisted Destiny,F/M,Semi-Canon,No,09 Aug 2020,525,Explicit,Creator Chose Not To Use Archive Warnings,"Ron Weasley Bashing,Molly Weasley Bashing,Manipulative Albus Dumbledore,Soulmates,Alternate Universe - Canon Divergence,pack mates,DO NOT SHARE!!,updates regularly"
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,A Long Apprenticeship,F/M,Semi-Canon,No,23 May 2018,525,Explicit,Creator Chose Not To Use Archive Warnings,
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,The Three of Us,F/M,Semi-Canon,No,25 Apr 2022,524,Explicit,No Archive Warnings Apply,"BDSM,Miscommunication,Misunderstandings,Angst with a Happy Ending,Happy Ending,Legilimency (Harry Potter),Legilimency Sex (Harry Potter),Occlumency (Harry Potter),Bad BDSM Etiquette,Hermione hides things,Cock Warming,Oral Sex,Threesome - F/M/M,Polyamory,Explicit Sexual Content,Submissive Hermione Granger,Aromantic Sirius Black,Demisexual Severus Snape,Dom/sub,Dominant Severus Snape,Dominant Sirius Black,Severus Snape Lives,Sirius Black Lives,Subdrop,Subspace,Blindfolds,Queer Themes,Queer Character,Person of Color Severus Snape,Insecurity,HP Triad!Fest 2022"
Harry Potter - J. K. Rowling,Hermione Granger/Severus Snape,Hermione Granger/Severus Snape,La Mascarade Infernale,F/M,Semi-Canon,No,02 Aug 2020,524,Explicit,No Archive Warnings Apply,"Explicit Sexual Content,In which Xenophilius tries to force snorkak toenails on Snape,In which George offers a discount on magical cockrings,Established Draco Malfoy/Harry Potter,In which Lucius loses his shit,Wedding Planning,Wall Sex,Romance,Fighting prejudice against gay characters,Harry Potter Epilogue What Epilogue | EWE,Severus Snape Lives,Post-War,Cocksure Snape,masked sex"
