tag,count
Fluff,42771
Angst,31998
Hurt/Comfort,26592
Fluff and Angst,15210
Slow Burn,14331
Angst with a Happy Ending,14211
Smut,13773
AU — Canon Divergence,13143
AU — Modern Setting,11877
Alternate Universe (AU),11616
Anal Sex,10083
Romance,9963
Alpha/Beta/Omega Dynamics,8979
Emotional Hurt/Comfort,8724
Happy Ending,8604
Friends to Lovers,8310
Humor,8166
Mutual Pining,8016
Explicit Sexual Content,7659
AU — College/University,7227
