value,count
Attempted Sexual Assault,52
Major Character Injury,52
Post-Captain America: The Winter Soldier,52
Threesome,52
Cute,52
Childhood Trauma,52
Revenge,52
Face-Fucking,52
Romantic Fluff,52
Unhealthy Relationships,52
Lily Evans Potter Lives,52
Penis In Vagina Sex,52
Winged Scott | Smajor1995 | Dangthatsalongname,52
Threesome - F/F/M,51
The Author Regrets Nothing,51
Fingerfucking,51
Redemption,51
Suicide,51
Larry Stylinson Is Real,51
Top Draco Malfoy,51
Redeemed Draco Malfoy,51
Regulus Black Lives,51
Watcher Charles | Grian,51
Inappropriate Use of the Force,51
Comedy,50
Animagus,50
Alpha Draco Malfoy,50
Bottom Severus Snape,50
Marauders Friendship (Harry Potter),50
Omega Rey,50
Character Study,49
Humour,49
Breathplay,49
Bucky Barnes Needs a Hug,49
Aftermath of Torture,49
Age Regression/De-Aging,49
Manipulation,49
Incest,49
Boys Kissing,49
dramione - Freeform,49
Possessive Tom Riddle,49
Scott | Smajor1995 | Dangthatsalongname Needs a Hug,49
Virgin Rey (Star Wars),49
Virgin Ben Solo,49
Explicit Consent,48
Non-Traditional Alpha/Beta/Omega Dynamics,48
Bottom Draco Malfoy,48
Marriage Law Challenge,48
Jimmy | Solidarity Needs a Hug,48
Seablings,48
POV Rey (Star Wars),48
Alternate Universe - Royalty,47
Eventual Fluff,47
Forced Pregnancy,47
Politics,47
Natasha Romanov Is a Good Bro,47
Mating Bond,47
BAMF Peter Parker,47
Peter Parker Whump,47
Ministry of Magic (Harry Potter),47
Sane Tom Riddle,47
Joel | SmallishBeans-centric,47
Scott | Smajor1995 | Dangthatsalongname Has a Sibling Named Xornoth,47
Fluff and Crack,46
Begging,46
Pre-Serum Steve Rogers,46
Not Avengers: Infinity War Part 1 (Movie) Compliant,46
Smoking,46
Barebacking,46
Whump,46
Dimension Travel,46
Hogwarts Era,46
Manipulative Dumbledore,46
Babies,45
Background Relationships,45
Children,45
True Love,45
Hate Sex,45
Scars,45
Protective Bucky Barnes,45
Twitter,45
Psychological Torture,45
Come Swallowing,45
POV First Person,45
Desk Sex,45
Draco Malfoy Needs a Hug,45
Domestic,44
Tattoos,44
Past Character Death,44
Forgiveness,44
Omega Verse,44
Not Actually Unrequited Love,44
Mates,44
Overstimulation,44
Protective Avengers,44
Threesome - M/M/M,44
NSFW Art,44
Attempted Rape/Non-Con,44
Book 6: Harry Potter and the Half-Blood Prince,44
Ron Weasley is a Good Friend,44
Draco Malfoy in the Muggle World,44
Occlumency (Harry Potter),44
Alpha Kylo Ren,44
Phone Sex,43
Pegging,43
Platonic Cuddling,43
Unhealthy Coping Mechanisms,43
Ned Leeds is a Good Bro,43
Scenting,43
Peter Parker's Field Trip to Stark Industries,43
Pureblood Society (Harry Potter),43
Wrong Boy-Who-Lived (Harry Potter),43
Avian Charles | Grian,43
Possessive Kylo Ren,43
Protectiveness,42
Alternate Universe - Office,42
I'm Sorry,42
Love/Hate,42
Kinda,42
Married Couple,42
Kink Negotiation,42
Not Captain America: Civil War (Movie) Compliant,42
Self-Hatred,42
Implied/Referenced Alcohol Abuse/Alcoholism,42
Fluff and Hurt/Comfort,42
Draco Malfoy is Bad at Feelings,42
Veela Draco Malfoy,42
Sub Hermione Granger,42
Empires SMP Season 2,42
Devoted Reylo,42
Soft Ben Solo,42
I Don't Even Know,41
Bisexuality,41
Non-Linear Narrative,41
Vampires,41
Sexual Fantasy,41
Sorry Not Sorry,41
Parenthood,41
Orgasm Denial,41
I'm Bad At Tagging,41
Switching,41
Crossdressing,41
Cock Warming,41
Genderswap,41
Morally Grey Harry Potter,41
Morally Grey Hermione Granger,41
Order of the Phoenix (Harry Potter),41
Mild Sexual Content,40
Injury,40
Songfic,40
Mild Hurt/Comfort,40
Reincarnation,40
Ice Skating,40
Worldbuilding,40
Protective Natasha Romanov,40
Tony Stark Feels,40
Dark Harry,40
Drarry,40
Ministry of Magic Employee Draco Malfoy,40
Legilimency (Harry Potter),40
Alternate Universe - Voldemort Wins,40
Jimmy | Solidarity-centric,40
Charles | Grian and Pearl | PearlescentMoon are Siblings,40
Protective Peter Parker,40
Drugs,39
Abandoned Work - Unfinished and Discontinued,39
Post-Serum Steve Rogers,39
Post-Avengers: Infinity War Part 1 (Movie),39
Riding,39
First Time Blow Jobs,39
Pet Names,39
Protective Pepper Potts,39
Doggy Style,39
Anal Plug,39
Author Is Sleep Deprived,39
Consensual Sex,39
James Potter & Lily Evans Potter Live,39
Lily Evans Potter Bashing,39
Bryce | fWhip and GeminiTay are Twins,39
Ben Solo Needs A Hug,39
Reunions,38
Guilt,38
Naked Female Clothed Male,38
Stalking,38
Orgy,38
Self-Esteem Issues,38
Pre-Slash,38
Mind Control,38
Awkward Flirting,38
Come Eating,38
Power Dynamics,38
Master/Slave,38
Everyone Is Gay,38
Elounor,38
Sad Harry,38
Harry Potter Next Generation,38
Dark Hermione Granger,38
Morally Grey Draco Malfoy,38
Hogwarts Fifth Year,38
Dumbledore Bashing,38
Tony Stark Has Issues,37
Feels,37
Platonic Relationships,37
spiderson,37
Male Slash,37
Coming of Age,37
Obsession,37
Dom Draco Malfoy,37
Smart Harry Potter,37
Pureblood Politics (Harry Potter),37
POV Severus Snape,37
Pepper Potts Acting as Peter Parker's Parental Figure,37
Tumblr Prompt,36
Comfort,36
Prostitution,36
Pain,36
Courtship,36
Love Triangles,36
Orgasm Control,36
Art,36
Перевод на русский | Translation in Russian,36
No Angst,36
Miscarriage,36
Gaslighting,36
Field Trip,36
one direction - Freeform,36
Hermione Granger & Harry Potter Friendship,36
Head Boy Draco Malfoy,36
Forced Bonding,36
Rey Needs A Hug,36
Drinking Games,35
POV Outsider,35
Drunkenness,35
Sickfic,35
Hospitals,35
Resolved Sexual Tension,35
Arguing,35
Squirting,35
Bucky Barnes Feels,35
Avengers Tower,35
Mental Instability,35
Blackmail,35
Child Neglect,35
Crushes,35
Making Out,35
Creature Fic,35
Blowjobs,35
Somnophilia,35
Fred Weasley Lives,35
One Night Stands,34
Everyone Is Poly Because Avengers,34
Bisexual Steve Rogers,34
Tony Feels,34
First Dates,34
Awesome Pepper Potts,34
Don’t copy to another site,34
Wall Sex,34
Implied Mpreg,34
Chatting & Messaging,34
Love at First Sight,34
Parent Pepper Potts,34
POV Third Person,34
Virgin Hermione Granger,34
Prompt Fic,33
Sexting,33
Pre-Relationship,33
Forbidden Love,33
Corruption,33
Marking,33
Rape Recovery,33
LGBTQ Themes,33
Emotional Hurt,33
Memories,33
Deepthroating,33
References to Depression,33
Dysfunctional Family,33
Consensual Underage Sex,33
Lactation Kink,33
Sexual Abuse,33
Verbal Humiliation,33
Soft Draco Malfoy,33
Library Sex,33
Powerful Harry Potter,33
Blood Magic,33
Face-Sitting,33
Minor Original Character(s),33
Digital Art,33
jily,33
Virgin Rey,33
Curses,32
Non-Consensual Drug Use,32
Hurt,32
Non-Graphic Violence,32
Subspace,32
Edging,32
Awkwardness,32
Blindfolds,32
Implied Relationships,32
Comeplay,32
Romantic Soulmates,32
Near Death Experiences,32
Harems,32
Remus Lupin Lives,32
EWE,32
Healer Draco Malfoy,32
Gay Draco Malfoy,32
Slytherin Hermione Granger,32
Protective Severus Snape,32
Darkfic,32
Sirius Black & James Potter Friendship,32
Not Steve Friendly,32
Halloween,31
Female Friendship,31
Enemies to Friends,31
Eventual Sex,31
Dancing,31
Drabble,31
Gun Violence,31
Rutting,31
Not Avengers: Age of Ultron (Movie) Compliant,31
Asexual Character,31
Period Typical Attitudes,31
