ship,fandom,category,fics
Harry Styles/Louis Tomlinson,One Direction,boy band,39827
Jeon Jeongguk | Jungkook/Kim Taehyung | V,BTS,boy band,36031
Jeon Jungkook/Park Jimin,BTS,boy band,27552
Min Yoongi | Suga/Park Jimin,BTS,boy band,26842
Clay | Dream/GeorgeNotFound,YouTube RPF,vlogger,23187
Kim Namjoon | RM/Kim Seokjin | Jin,BTS,boy band,22097
Jung Hoseok | J-Hope/Min Yoongi | Suga,BTS,boy band,16918
Dan Howell/Phil Lester,YouTube RPF,vlogger,16546
Kim Taehyung | V/Park Jimin,BTS,boy band,14263
Jeon Jungkook/Min Yoongi | Suga,BTS,boy band,13769
Han Jisung | Han/Lee Minho | Lee Know,Stray Kids,boy band,13744
Jensen Ackles/Jared Padalecki,Supernatural RPF,tv,13660
Frank Iero/Gerard Way,My Chemical Romance,boy band,12077
Lee Donghyuck | Haechan/Mark Lee,NCT,boy band,10084
Kim Taehyung | V/Min Yoongi | Suga,BTS,boy band,10072
Zayn Malik/Liam Payne,One Direction,boy band,9386
Byun Baekhyun/Park Chanyeol,EXO,boy band,9330
Kim Seokjin | Jin/Min Yoongi | Suga,BTS,boy band,9124
Wang Yi Bo/Xiao Zhan | Sean,The Untamed,tv,8781
Jeon Jungkook/Kim Seokjin | Jin,BTS,boy band,7985
