year,ship,fandom,Genre,collapsedFandom,totalWorks,relType,isCanon,isRPF
2023,Harry Styles/Louis Tomlinson,One Direction (Band),Western Artist,,39827,M/M,No,Yes
2023,Jeon Jeongguk | Jungkook/Kim Taehyung | V,Bangtan Boys | BTS,Kpop,,36031,M/M,No,Yes
2023,Jeon Jungkook/Park Jimin,Bangtan Boys | BTS,Kpop,,27552,M/M,No,Yes
2023,Min Yoongi | Suga/Park Jimin,Bangtan Boys | BTS,Kpop,,26842,M/M,No,Yes
2023,Clay | Dream/GeorgeNotFound,Youtube RPF,Youtube RPF,,23187,M/M,No,Yes
2023,Tobin Heath/Christen Press,NWSL RPF,Sports RPF,,1465,F/F,Yes,Yes
2023,Im Nayeon/Myoui Mina,TWICE (Band),Kpop,,1147,F/F,No,Yes
2023,Im Nayeon/Yoo Jeongyeon,TWICE (Band),Kpop,,1128,F/F,No,Yes
2023,Bae Joohyun | Irene/Kang Seulgi,Red Velvet,Kpop,,1119,F/F,No,Yes
2023,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,Mamamoo,Kpop,,1090,F/F,No,Yes
2023,Kristin Rosales Watson/Phil Watson | Philza,YouTube RPF,Youtube RPF,,3722,F/M,Yes,Yes
2023,Perrie Edwards/Zayn Malik,One Direction (Band),Western Artist,,1351,F/M,Yes,Yes
2023,Scott Moir/Tessa Virtue,Ice Skating RPF,Sports RPF,,1127,F/M,Semi-Canon,Yes
2023,Eleanor Calder/Louis Tomlinson,One Direction (Band),Western Artist,,1102,F/M,Yes,Yes
2023,Joel | SmallishBeans/Lizzie | LDShadowLady,Empires SMP,Youtube RPF,,1064,F/M,Yes,Yes
