year,My Chemical Romance,Supernatural RPF,TOMORROW X TOGETHER,EXO,SEVENTEEN,NCT,Stray Kids,One Direction,Youtube RPF,BTS
2013,2593,4721,0,0,0,0,0,11438,0,0
2014,3408,6457,0,0,0,0,0,28945,0,0
2015,5113,8897,0,0,0,0,0,49686,2198,0
2016,6890,11216,0,0,0,0,0,58590,8566,13163
2017,7822,13053,0,4017,0,0,0,64047,13401,47189
2019,9004,14663,0,19220,10909,9285,4213,70413,20665,129575
2020,9570,15155,0,25289,16202,24249,6911,71174,22659,173992
2021,10228,15867,3670,30833,21570,39199,13083,74173,104860,222455
2022,11335,16021,11232,34359,26673,52136,32691,74907,237631,263073
2023,12077,15807,15925,35303,34839,54804,50606,77096,271269,276543
2024,12292,15585,18007,35832,38723,58630,60205,77078,261284,284740
