ship,fandom,category,fics
Harry Styles/Louis Tomlinson,One Direction,boy band,40106
Jungkook/V,BTS,boy band,37334
Jungkook/Park Jimin,BTS,boy band,28174
Suga/Park Jimin,BTS,boy band,27452
RM/Jin,BTS,boy band,22478
Dream/GeorgeNotFound,Youtube RPF,vloggers,21824
J-Hope/Suga,BTS,boy band,17018
Dan Howell/Phil Lester,YouTube RPF,vlogger,16759
Han/Lee Know,Stray Kids,boy band,16349
V/Park Jimin,BTS,boy band,14485
Jungkook/Suga,BTS,boy band,14049
Jensen Ackles/Jared Padalecki,Supernatural RPF,actors,13453
Frank Iero/Gerard Way,My Chemical Romance,boy band,12292
Lee Donghyuck/Mark Lee,NCT,boy band,10581
V/Suga,BTS,boy band,10189
Byun Baekhyun/Park Chanyeol,EXO,boy band,9520
Zayn Malik/Liam Payne,One Direction,boy band,9388
Jin/Suga,BTS,boy band,9293
Wang Yi Bo/Xiao Zhan,The Untamed,actors,9236
Jungkook/Jin,BTS,boy band,8275
