fileName,relationship,relType,isCanon,isRPF
ao3_dean_castiel.csv,Castiel/Dean Winchester,M/M,Semi-Canon,No
ao3_derek_stiles.csv,Derek Hale/Stiles Stilinski,M/M,Semi-Canon,No
ao3_sherlock_john.csv,Sherlock Holmes/John Watson,M/M,Semi-Canon,No
ao3_draco_harry.csv,Draco Malfoy/Harry Potter,M/M,Semi-Canon,No
ao3_bucky_steve.csv,"James ""Bucky"" Barnes/Steve Rogers",M/M,Semi-Canon,No
ao3_kara_lena.csv,Kara Danvers/Lena Luthor,F/F,Semi-Canon,No
ao3_regina_emma.csv,Evil Queen | Regina Mills/Emma Swan,F/F,Semi-Canon,No
ao3_clarke_lexa.csv,Clarke Griffin/Lexa,F/F,Semi-Canon,No
ao3_amity_luz.csv,Amity Blight/Luz Noceda,F/F,Semi-Canon,No
ao3_robin_nancy.csv,Robin Buckley/Nancy Wheeler,F/F,Semi-Canon,No
ao3_rey_ben.csv,Rey/Ben Solo | Kylo Ren,F/M,Semi-Canon,No
ao3_hermione_draco.csv,Hermione Granger/Draco Malfoy,F/M,Semi-Canon,No
ao3_lily_james.csv,Lily Evans Potter/James Potter,F/M,Semi-Canon,No
ao3_pepper_tony.csv,Pepper Potts/Tony Stark,F/M,Semi-Canon,No
ao3_hermione_ron.csv,Hermione Granger/Ron Weasley,F/M,Semi-Canon,No
ao3_adrien_marinette.csv,Adrien Agreste | Chat Noir & Marinette Dupain-Cheng | Ladybug,Gen,Semi-Canon,No
ao3_peter_tony.csv,Peter Parker & Tony Stark,Gen,Semi-Canon,No
ao3_scrape_wilbur_and_tommy.csv,Wilbur Soot & TommyInnit,Gen,Semi-Canon,No
ao3_wilbur_techno_tommy_phil.csv,Wilbur Soot & Technoblade & TommyInnit & Phil Watson | Philza,Gen,Semi-Canon,No
ao3_sherlock_john_friendship.csv,Sherlock Holmes & John Watson,Gen,Semi-Canon,No
ao3_lanzhan_weiying.csv,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,M/M,Semi-Canon,No
ao3_magnusbane_aleclightwood_romantic.csv,Magnus Bane/Alec Lightwood,M/M,Semi-Canon,No
ao3_willgraham_hanniballecter_romantic.csv,Will Graham/Hannibal Lecter,M/M,Semi-Canon,No
ao3_katsuki_victor_romantic.csv,Katsuki Yuuri/Victor Nikiforov,M/M,Semi-Canon,No
ao3_blaineanderson_kurthummel.csv,Blaine Anderson/Kurt Hummel,M/M,Semi-Canon,No
ao3_sirius_remus_romantic.csv,Sirius Black/Remus Lupin,M/M,Semi-Canon,No
ao3_adora_catra.csv,Adora/Catra,F/F,Semi-Canon,No
ao3_blakebelladonna_yangxiaolong.csv,Blake Belladonna/Yang Xiao Long,F/F,Semi-Canon,No
ao3_korra_asami.csv,Korra/Asami Sato,F/F,Semi-Canon,No
ao3_marlene_dorcas.csv,Marlene McKinnon/Dorcas Meadowes,F/F,Semi-Canon,No
ao3_Jirou_yaoyorozu.csv,Jirou Kyouka/Yaoyorozu Momo,F/F,Semi-Canon,No
ao3_harry_ginny.csv,Harry Potter/Ginny Weasley,F/M,Semi-Canon,No
ao3_bellamy_clarke.csv,Bellamy Blake/Clarke Griffin,F/M,Semi-Canon,No
ao3_clint_natasha.csv,Clint Barton/Natasha Romanov,F/M,Semi-Canon,No
ao3_Hermione-Granger_Severus-Snape.csv,Hermione Granger/Severus Snape,F/M,Semi-Canon,No
,Jon Snow/Sansa Stark,F/M,Semi-Canon,No
,Jeon Jungkook & Park Jimin,Gen,Semi-Canon,No
,Peter Parker & Morgan Stark,Gen,Semi-Canon,No
,Harley Keener & Peter Parker,Gen,Semi-Canon,No
,Bakugou Katsuki & Uraraka Ochako,Gen,Semi-Canon,No
,Jeon Jungkook & Kim Taehyung | V,Gen,Semi-Canon,No
,Harry Styles/Louis Tomlinson,M/M,Semi-Canon,No
,Jeon Jeongguk | Jungkook/Kim Taehyung | V,M/M,Semi-Canon,No
,Jeon Jungkook/Park Jimin,M/M,Semi-Canon,No
,Min Yoongi | Suga/Park Jimin,M/M,Semi-Canon,No
,Clay | Dream/GeorgeNotFound,M/M,Semi-Canon,No
,Tobin Heath/Christen Press,F/F,Semi-Canon,No
,Im Nayeon/Myoui Mina,F/F,Semi-Canon,No
,Im Nayeon/Yoo Jeongyeon,F/F,Semi-Canon,No
,Bae Joohyun | Irene/Kang Seulgi,F/F,Semi-Canon,No
,Kim Yongsun | Solar/Moon Byulyi | Moonbyul,F/F,Semi-Canon,No
,Kristin Rosales Watson/Phil Watson | Philza,F/M,Semi-Canon,No
ao3_perrie-edwards_zayn-malik.csv,Perrie Edwards/Zayn Malik,F/M,Semi-Canon,No
ao3_scott-moir_tessa-virtue.csv,Scott Moir/Tessa Virtue,F/M,Semi-Canon,No
ao3_eleanor-calder_louis-tomlinson.csv,Eleanor Calder/Louis Tomlinson,F/M,Semi-Canon,No
ao3_joel_lizzy.csv,Joel | SmallishBeans/Lizzie | LDShadowLady,F/M,Semi-Canon,No
ao3_tubbo_tommyinnit.csv,Toby Smith | Tubbo & TommyInnit,Gen,Semi-Canon,No
ao3_technoblade_tommyinnit.csv,Technoblade & TommyInnit,Gen,Semi-Canon,No
ao3_ranboo_tubbo.csv,Ranboo & Toby Smith | Tubbo,Gen,Semi-Canon,No
ao3_bakuguo-katsuki_midoriya-izuku.csv,Bakugou Katsuki & Midoriya Izuku,Gen,Semi-Canon,No
ao3_aziraphale_crowley.csv,Aziraphale & Crowley,Gen,Semi-Canon,No
ao3_dan-howell_phil-lester.csv,Dan Howell/Phil Lester,M/M,Semi-Canon,No
ao3_jimmy_scott-major.csv,Jimmy | Solidarity/Scott Major | Smajor1995,M/M,Semi-Canon,No
ao3_ashlyn-harris_ali-krieger.csv,Ashlyn Harris/Ali Krieger,F/F,Semi-Canon,No
ao3_cara_niki.csv,Cara | CaptainPuffy/Niki | Nihachu,F/F,Semi-Canon,No
ao3_jungkook_suga.csv,Jeon Jungkook & Min Yoongi | Suga,Gen,Semi-Canon,No
ao3_v_park-jimin.csv,Kim Taehyung | V & Park Jimin,Gen,Semi-Canon,No
a03_peter-parker_wade-wilson.csv,Peter Parker & Wade Wilson,Gen,Semi-Canon,No
ao3_harry-potter_original.csv,Harry Potter & Original Character(s),Gen,Semi-Canon,No
