year,ff_no,ff_semi,ff_yes,mm_no,mm_semi,mm_yes,fm_no,fm_semi,fm_yes
2013,33.33333333,0,66.66666667,85.71428571,6.12244898,8.163265306,10.52631579,5.263157895,84.21052632
2014,50,0,50,85.8974359,3.846153846,10.25641026,16.12903226,3.225806452,80.64516129
2015,18.18181818,9.090909091,72.72727273,85.27131783,5.426356589,9.302325581,20.3125,7.8125,71.875
2016,27.77777778,11.11111111,61.11111111,84.31372549,6.37254902,9.31372549,23,17,60
2017,31.03448276,13.79310345,55.17241379,84.92647059,6.985294118,8.088235294,22.48062016,17.82945736,59.68992248
2018,0,0,0,0,0,0,0,0,0
2019,47.05882353,7.843137255,45.09803922,85.74821853,5.93824228,8.313539192,25.25773196,12.88659794,61.8556701
2020,49.20634921,6.349206349,44.44444444,85.82375479,4.980842912,9.195402299,25.20661157,11.98347107,62.80991736
2021,47.6744186,6.976744186,45.34883721,85.01529052,5.04587156,9.93883792,25.66666667,15,59.33333333
2022,52.94117647,6.722689076,40.33613445,85.57457213,4.767726161,9.657701711,26.1707989,14.60055096,59.22865014
2023,56.94444444,6.25,36.80555556,86.36859324,4.362050164,9.269356598,26.71568627,14.46078431,58.82352941
