year,ship,fandom,Genre,collapsedFandom,totalWorks,relType,isCanon,isRPF
2023,Castiel/Dean Winchester,Supernatural,Fantasy,,105307,M/M,Semi-Canon,No
2023,Derek Hale/Stiles Stilinski,Teen Wolf,Fantasy,,64469,M/M,No,No
2023,Sherlock Holmes/John Watson,Sherlock (TV),Crime,,64171,M/M,No,No
2023,Draco Malfoy/Harry Potter,Harry Potter - J. K. Rowling,Fantasy,,62215,M/M,No,No
2023,"James ""Bucky"" Barnes/Steve Rogers",Captain America,Superhero,Marvel,58748,M/M,No,No
2023,Sirius Black/Remus Lupin,Harry Potter - J. K. Rowling,Fantasy,,44820,M/M,No,No
2023,Steve Rogers/Tony Stark,The Avengers (Marvel Movies),Superhero,Marvel,42767,M/M,No,No
2023,Bakugou Katsuki/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Fantasy,,41259,M/M,No,No
2023,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,,36510,M/M,Yes,No
2023,Merlin/Arthur Pendragon,Merlin (TV),Fantasy,,33353,M/M,No,No
2023,Keith/Lance,Voltron: Legendary Defender,Fantasy,Voltron,32582,M/M,No,No
2023,Dean Winchester/Sam Winchester,Supernatural,Fantasy,,30898,M/M,No,No
2023,Bakugou Katsuki/Kirishima Eijirou,Boku NoHero Academia | My Hero Academia,Fantasy,,30298,M/M,No,No
2023,Magnus Bane/Alec Lightwood,Mortal Instruments Series - Cassandra Clare,Fantasy,The Shadowhunter Chronicles,29903,M/M,Yes,No
2023,Dazai Osamu/Nakahara Chuuya,Bungou Stray Dogs,Fantasy,,28328,M/M,No,No
2023,Will Graham/Hannibal Lecter,Hannibal (TV),Thriller,,27027,M/M,Yes,No
2023,Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice,Sports,,25438,M/M,Yes,No
2023,Steve Harrington/Eddie Munson,Stranger Things,Thriller,,23114,M/M,No,No
2023,Midoriya Izuku/Todoroki Shouto,Boku NoHero Academia | My Hero Academia,Fantasy,,22990,M/M,No,No
2023,Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,Boku NoHero Academia | My Hero Academia,Fantasy,,21331,M/M,No,No
