tag,setting,count
AU - Canon Divergence,,13143
AU - Modern Setting,mundane,11877
AU - College/University,mundane,7227
AU - High School,mundane,3936
AU - Soulmates,,3501
AU - Superheroes/Superpowers,,2517
AU - Fantasy,,2358
AU - Royalty,,1857
AU - Coffee Shops & Cafés,mundane,1236
AU - Everyone Lives/Nobody Dies,,1206
AU - Magic,,1197
AU - No Powers,mundane,1158
AU - Vampire,,1104
AU - Human,mundane,1032
AU - Time Travel,,918
AU - Muggle,mundane,819
AU - Historical,,768
AU - Foster Family,mundane,744
AU - Gods & Goddesses,,729
AU - Non-Magical,mundane,678
