year,no_percent,semi_percent,yes_percent
2013,72.0715140833361,8.89062551960361,19.0378603970603
2014,69.5203520608869,9.05903089871246,21.4206170404006
2015,63.5003282994091,11.9736047275115,24.5260669730794
2016,60.5171711932346,13.1304393501177,26.3523894566477
2017,59.9679301294299,12.6461319869681,27.385937883602
2019,61.4423589806008,10.0147131999957,28.5429278194035
2020,59.941435667072,9.83945735158332,30.2191069813447
2021,58.6573962749535,9.06057892285525,32.2820248021912
2022,58.1259047624176,7.95701577780548,33.917079459777
2023,58.291792867351,7.55207924431283,34.1561278883362
2024,58.62535687,7.641364486,33.73327864
