year,ship,partnerA,partnerAID,partnerAGender,partnerB,partnerBID,partnerBGender,fandom,Genre,collapsedFandom,totalWorks,relType
2024,Bruce Banner/Clint Barton,Bruce Banner,5,M,Clint Barton,7,M,The Avengers (Marvel Movies),Superhero,Marvel,1253,MM
2024,Bruce Banner/Natasha Romanov,Bruce Banner,5,M,Natasha Romanov,32,F,The Avengers (Marvel Movies),Superhero,Marvel,3376,FM
2024,Bruce Banner/Thor,Bruce Banner,5,M,Thor,44,M,The Avengers (Marvel Movies),Superhero,Marvel,2334,MM
2024,Bruce Banner/Tony Stark,Bruce Banner,5,M,Tony Stark,45,M,The Avengers (Marvel Movies),Superhero,Marvel,4683,MM
2024,Carol Danvers/Maria Rambeau,Carol Danvers,6,F,Maria Rambeau,27,F,Marvel Cinematic Universe,Superhero,Marvel,1113,FF
2024,Clint Barton/Laura Barton,Clint Barton,7,M,Laura Barton,24,F,The Avengers (Marvel Movies),Superhero,Marvel,2701,FM
2024,Clint Barton/Natasha Romanov,Clint Barton,7,M,Natasha Romanov,32,F,The Avengers (Marvel Movies),Superhero,Marvel,11441,FM
2024,Clint Barton/Phil Coulson,Clint Barton,7,M,Phil Coulson,37,M,The Avengers (Marvel Movies),Superhero,Marvel,10960,MM
2024,Clint Barton/Tony Stark,Clint Barton,7,M,Tony Stark,45,M,The Avengers (Marvel Movies),Superhero,Marvel,1486,MM
2024,Darcy Lewis/Steve Rogers,Darcy Lewis,9,F,Steve Rogers,42,M,Marvel Cinematic Universe,Superhero,Marvel,2828,FM
2024,Gamora/Peter Quill,Gamora,10,F,Peter Quill,36,M,Marvel Cinematic Universe,Superhero,Marvel,2030,FM
2024,Harley Keener/Peter Parker,Harley Keener,13,M,Peter Parker,35,M,Marvel Cinematic Universe,Superhero,Marvel,3045,MM
2024,Harry Osborn/Peter Parker,Harry Osborn,14,M,Peter Parker,35,M,Spider-Man,Superhero,Marvel,1839,MM
2024,Jack Rollins/Brock Rumlow,Jack Rollins,16,M,Brock Rumlow,4,M,Marvel Cinematic Universe,Superhero,Marvel,1200,MM
