fandom,genre,menMainCast,womenMainCast,nonbinaryMainCast,menPercent,womenPercent,nonbinaryPercent,wnbPercent
Marvel,Superhero,30,19,0,61.2244898,38.7755102,0,38.7755102
Harry Potter,Fantasy,6,3,0,66.66666667,33.33333333,0,33.33333333
Supernatural,Fantasy,3,0,0,100,0,0,0
My Hero Academia,Fantasy,15,3,0,83.33333333,16.66666667,0,16.66666667
Sherlock,Crime,4,3,0,57.14285714,42.85714286,0,42.85714286
Teen Wolf,Fantasy,7,2,0,77.77777778,22.22222222,0,22.22222222
DC Comics,Superhero,11,3,0,78.57142857,21.42857143,0,21.42857143
Star Wars,Science Fiction,23,3,0,88.46153846,11.53846154,0,11.53846154
Dragon Age,Video Game,7,5,1,53.84615385,50,33.33333333,83.33333333
Haikyuu!!,Sports,12,0,0,100,0,0,0
Attack on Titan,Fantasy,12,6,0,66.66666667,33.33333333,0,33.33333333
Voltron,Fantasy,6,3,0,66.66666667,33.33333333,0,33.33333333
Miraculous Ladybug,Superhero,3,3,0,50,50,0,50
Doctor Who,Science Fiction,900,508,59,61.34969325,34.62849352,4.021813224,38.65030674
Genshin Impact,Video Game,20,39,0,33.89830508,66.10169492,0,66.10169492
Stranger Things,Science Fiction,14,7,1,63.63636364,31.81818182,4.545454545,36.36363637
Star Trek,Science Fiction,7,2,0,77.77777778,22.22222222,0,22.22222222
Merlin,Fantasy,7,2,0,77.77777778,22.22222222,0,22.22222222
Once Upon a Time,Fantasy,182,125,1,59.09090909,40.58441558,0.324675325,40.90909091
Game of Thrones,Fantasy,36,16,0,69.23076923,30.76923077,0,30.76923077
Good Omens,Fantasy,8,4,6,44.44444444,22.22222222,33.33333333,55.55555555
Naruto,Fantasy,5,3,0,62.5,37.5,0,37.5
The Shadowhunter Chronicles,Fantasy,8,3,0,72.72727273,27.27272727,0,27.27272727
Homestuck,Science Fiction,10,7,0,58.82352941,41.17647059,0,41.17647059
The 100,Science Fiction,6,4,0,60,40,0,40
Yuri!!! on Ice,Sports,16,3,0,84.21052632,15.78947368,0,15.78947368
Glee,Slice of Life,21,15,0,58.33333333,41.66666667,0,41.66666667
Undertale,Video Game,7,2,2,63.63636364,18.18181818,18.18181818,36.36363636
Stargate,Science Fiction,7,2,0,77.77777778,22.22222222,0,22.22222222
Bungou Stray Dogs,Fantasy,31,8,1,77.5,20,2.5,22.5
Percy Jackson and the Olympians,Fantasy,6,2,0,75,25,0,25
Tolkien,Fantasy,,,,82,18,0,18
Jujutsu Kaisen,Fantasy,13,2,1,81.25,12.5,6.25,18.75
Módào Zǔshī,Fantasy,8,0,0,100,0,0,0
Hannibal,Thriller,5,3,0,62.5,37.5,0,37.5
Avatar: The Last Airbender,Fantasy,7,3,0,70,30,0,30
Final Fantasy,Video Game,10,2,,83.33333333,16.66666667,0,16.66666667
Hetalia: Axis Powers,Historical,8,0,0,100,0,0,0
Persona,Video Game,5,4,0,55.55555556,44.44444444,0,44.44444444
Les Misérables,Historical,36,16,0,69.23076923,30.76923077,0,30.76923077
Mass Effect,Video Game,3,0,2,60,0,0.03225806452,0.03225806452
Sanders Sides,Slice of Life,6,0,0,100,0,0,0
Overwatch,Video Game,20,20,1,48.7804878,48.7804878,2.43902439,51.2195122
9-1-1,Crime,8,5,0,61.53846154,38.46153846,0,38.46153846
The Untamed,Thriller,2,0,0,100,0,0,0
Shameless,Slice of Life,11,9,0,55,45,0,45
The Witcher,Fantasy,6,5,0,54.54545455,45.45454545,0,45.45454545
Danganronpa,Video Game,9,9,0,50,50,0,50
Hamilton,Historical,7,3,0,70,30,0,30
Jojo's Bizarre Adventure,Fantasy,14,2,0,77.77777778,22.22222222,0,22.22222222
