year,ship,partnerA,partnerAID,partnerAGender,partnerB,partnerBID,partnerBGender,fandom,Genre,collapsedFandom,totalWorks,relType
2024,Percy Weasley/Oliver Wood,Percy Weasley,42,M,Oliver Wood,40,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1581,MM
2024,Neville Longbottom/Pansy Parkinson,Neville Longbottom,37,M,Pansy Parkinson,41,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1569,FM
2024,Lucius Malfoy/Severus Snape,Lucius Malfoy,31,M,Severus Snape,51,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1565,MM
2024,Lavender Brown/Ron Weasley,Lavender Brown,29,F,Ron Weasley,47,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1532,FM
2024,Scorpius Malfoy/Rose Weasley,Scorpius Malfoy,49,M,Rose Weasley,48,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1519,FM
2024,Sirius Black/Hermione Granger,Sirius Black,52,M,Hermione Granger,26,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1482,FM
2024,Daphne Greengrass/Harry Potter,Daphne Greengrass,13,F,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1461,FM
2024,Pansy Parkinson/Harry Potter,Pansy Parkinson,41,F,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1411,FM
2024,Angelina Johnson/George Weasley,Angelina Johnson,5,F,George Weasley,22,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1385,FM
2024,Fleur Delacour/Hermione Granger,Fleur Delacour,18,F,Hermione Granger,26,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1369,FF
2024,Hermione Granger/Lucius Malfoy,Hermione Granger,26,F,Lucius Malfoy,31,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1354,FM
2024,Hermione Granger/Viktor Krum,Hermione Granger,26,F,Viktor Krum,59,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1320,FM
2024,Cedric Diggory/Harry Potter,Cedric Diggory,12,M,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1313,MM
2024,Ginny Weasley/Blaise Zabini,Ginny Weasley,23,F,Blaise Zabini,11,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1301,FF
2024,Regulus Black/Barty Crouch Jr.,Regulus Black,44,M,Barty Crouch Jr.,8,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1262,MM
2024,Bellatrix Black Lestrange/Rodolphus Lestrange,Bellatrix Black Lestrange,9,F,Rodolphus Lestrange,46,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1248,FM
2024,James Potter/Severus Snape,James Potter,28,M,Severus Snape,51,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1237,MM
2024,Sirius Black/Harry Potter,Sirius Black,52,M,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1236,MM
2024,Draco Malfoy/Pansy Parkinson,Draco Malfoy,16,M,Pansy Parkinson,41,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1232,FM
2024,Newt Scamander/Theseus Scamander,Newt Scamander,38,M,Theseus Scamander,56,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1215,MM
2024,Lucius Malfoy/Harry Potter,Lucius Malfoy,31,M,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1215,MM
2024,Queenie Goldstein/Jacob Kowalski,Queenie Goldstein,43,F,Jacob Kowalski,27,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1124,FM
2024,Hermione Granger/Ginny Weasley,Hermione Granger,26,F,Ginny Weasley,23,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1089,FF
2024,Hannah Abbott/Neville Longbottom,Hannah Abbott,24,F,Neville Longbottom,37,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1061,FM
2024,Pansy Parkinson/Ron Weasley,Pansy Parkinson,41,F,Ron Weasley,47,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1057,FM
2024,Teddy Lupin/Victoire Weasley,Teddy Lupin,54,M,Victoire Weasley,58,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1048,FM
2024,Pansy Parkinson/Blaise Zabini,Pansy Parkinson,41,F,Blaise Zabini,11,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1001,FM
2024,Pandora Lovegood/Lily Evans Potter,Pandora Lovegood,60,F,Lily Evans Potter,30,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1411,FF
2024,Draco Malfoy/Theodore Nott,Draco Malfoy,16,M,Theodore Nott,55,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1096,MM
