year,ship,partnerA,partnerAID,partnerAGender,partnerB,partnerBID,partnerBGender,fandom,Genre,collapsedFandom,totalWorks,relType
2024,Draco Malfoy/Harry Potter,Draco Malfoy,16,M,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,64661,MM
2024,Sirius Black/Remus Lupin,Sirius Black,52,M,Remus Lupin,45,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,50280,MM
2024,Hermione Granger/Draco Malfoy,Hermione Granger,26,F,Draco Malfoy,16,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,28955,FM
2024,Lily Evans Potter/James Potter,Lily Evans Potter,30,F,James Potter,28,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,26747,FM
2024,Hermione Granger/Ron Weasley,Hermione Granger,26,F,Ron Weasley,47,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,20895,FM
2024,Harry Potter/Ginny Weasley,Harry Potter,25,M,Ginny Weasley,23,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,17430,FM
2024,Harry Potter/Severus Snape,Harry Potter,25,M,Severus Snape,51,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,16420,MM
2024,Regulus Black/James Potter,Regulus Black,44,M,James Potter,28,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,15511,MM
2024,Harry Potter/Voldemort,Harry Potter,25,M,Voldemort,57,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,12790,MM
2024,Hermione Granger/Severus Snape,Hermione Granger,26,F,Severus Snape,51,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,8814,FM
2024,Marlene McKinnon/Dorcas Meadowes,Marlene McKinnon,33,F,Dorcas Meadowes,15,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,8623,FF
2024,Hermione Granger/Harry Potter,Hermione Granger,26,F,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,7864,FM
2024,Lucius Malfoy/Narcissa Black Malfoy,Lucius Malfoy,31,M,Narcissa Black Malfoy,36,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,6129,FM
2024,Barty Crouch Jr./Evan Rosier,Barty Crouch Jr.,8,M,Evan Rosier,17,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,5060,MM
2024,Albus Dumbledore/Gellert Grindelwald,Albus Dumbledore,1,M,Gellert Grindelwald,21,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,5050,MM
2024,Scorpius Malfoy/Albus Severus Potter,Scorpius Malfoy,49,M,Albus Severus Potter,2,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,4513,MM
2024,Remus Lupin/Nymphadora Tonks,Remus Lupin,45,M,Nymphadora Tonks,39,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,4233,FM
2024,Remus Lupin/Severus Snape,Remus Lupin,45,M,Severus Snape,51,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,3907,MM
2024,Sirius Black/James Potter,Sirius Black,52,M,James Potter,28,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,3874,MM
2024,Luna Lovegood/Ginny Weasley,Luna Lovegood,32,F,Ginny Weasley,23,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,3663,FF
2024,Astoria Greengrass/Draco Malfoy,Astoria Greengrass,7,F,Draco Malfoy,16,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,3512,FM
2024,Mary Macdonald/Lily Evans Potter,Mary Macdonald,34,F,Lily Evans Potter,30,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,3180,FF
2024,Harry Potter/Ron Weasley,Harry Potter,25,M,Ron Weasley,47,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,3150,MM
2024,Lily Evans Potter/Severus Snape,Lily Evans Potter,30,F,Severus Snape,51,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2858,FM
2024,Sirius Black/Severus Snape,Sirius Black,52,M,Severus Snape,51,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2698,MM
2024,Arthur Weasley/Molly Weasley,Arthur Weasley,6,M,Molly Weasley,35,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2521,FM
2024,Hermione Granger/Pansy Parkinson,Hermione Granger,26,F,Pansy Parkinson,41,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2448,FF
2024,Seamus Finnigan/Dean Thomas,Seamus Finnigan,50,M,Dean Thomas,14,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2432,MM
2024,Fleur Delacour/Bill Weasley,Fleur Delacour,18,F,Bill Weasley,10,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2216,FM
2024,Hermione Granger/Fred Weasley,Hermione Granger,26,F,Fred Weasley,20,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2192,FM
2024,Hermione Granger/Voldemort,Hermione Granger,26,F,Voldemort,57,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2170,FM
2024,Neville Longbottom/Luna Lovegood,Neville Longbottom,37,M,Luna Lovegood,32,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2166,FM
2024,Hermione Granger/Bellatrix Black Lestrange,Hermione Granger,26,F,Bellatrix Black Lestrange,9,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,2163,FF
2024,Alice Longbottom/Frank Longbottom,Alice Longbottom,3,F,Frank Longbottom,19,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1916,FM
2024,Draco Malfoy/Ginny Weasley,Draco Malfoy,16,M,Ginny Weasley,23,F,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1870,FM
2024,Draco Malfoy/Ron Weasley,Draco Malfoy,16,M,Ron Weasley,47,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1847,MM
2024,Luna Lovegood/Harry Potter,Luna Lovegood,32,F,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1807,FM
2024,Andromeda Black Tonks/Ted Tonks,Andromeda Black Tonks,4,F,Ted Tonks,53,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1795,FM
2024,Hermione Granger/Theodore Nott,Hermione Granger,26,F,Theodore Nott,55,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1749,FM
2024,Theodore Nott/Harry Potter,Theodore Nott,55,M,Harry Potter,25,M,Harry Potter - J. K. Rowling,Fantasy,Harry Potter - J. K. Rowling,1681,MM
