fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,Mated,M/M,Semi-Canon,No,12 May 2019,"1,544",Teen And Up Audiences,No Archive Warnings Apply,"Alpha/Beta/Omega Dynamics,Vicchan Lives,Romance,Alpha Victor Nikiforov,Omega Katsuki Yuuri,Alpha Christophe Giacometti,Omega Phichit Chulanont"
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,A Study in Possession,M/M,Semi-Canon,No,26 Jul 2017,"1,544",Explicit,No Archive Warnings Apply,"Press and Tabloids,Possessive Behavior,Cock Cages,Chastity Device,Face-Fucking,Facials,Orgasm Delay/Denial,Skype,Voyeurism,Exhibitionism,Sex Toys,Prostate Milking,Overstimulation,Crying,Fluff,Cultural Differences"
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,Take Strength,M/M,Semi-Canon,No,09 Jun 2018,"1,543",Teen And Up Audiences,No Archive Warnings Apply,"Family,Romance,Hurt/Comfort,Domestic Fluff,Adoption,this fandom needs more kidfic"
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,A Cave Beside the Sea,M/M,Semi-Canon,No,12 Feb 2018,"1,541",Explicit,No Archive Warnings Apply,"Tentacles,Tentacle Sex,Anal Sex,Face-Fucking,Rough Sex,Anal Plug,Nipple Play,Double Penetration,Deepthroating,Rough Oral Sex,Multiple Orgasms,Prostate Milking,Bottom Victor Nikiforov,Long-Haired Victor Nikiforov,Overstimulation,Crying,(But in the good way),Squid Demon Yuuri Katsuki,Dubious Consentacles,Spanking,Rimming"
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,My Fair Dragon,M/M,Semi-Canon,No,13 Dec 2017,"1,541",Teen And Up Audiences,No Archive Warnings Apply,"Alternate Universe - Fantasy,Dragon Victor Nikiforov,Knight Katsuki Yuuri,Humor,Don't copy to another site"
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,stammi vicino,M/M,Semi-Canon,No,22 Dec 2016,"1,540",General Audiences,Creator Chose Not To Use Archive Warnings,"Fluff,Canon Compliant,Introspection,i wrote this after not knowing what to do about my feelings for ep 12,Domestic Fluff"
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,After Everyone Else,M/M,Semi-Canon,No,14 Mar 2017,"1,532",Explicit,No Archive Warnings Apply,"Established Relationship,Open Relationships,Polyamory Negotiations (implied),Explicit Consent,Sexual Fantasy,Voyeurism,Post-Canon,POV Victor,Victor's Foot Thing,Blow Jobs,Past Christophe Giacometti/Victor Nikiforov,Nipple Play,consent kink,Biting,Clubbing,Safewords,Kink Discovery,Dom Katsuki Yuuri,Yuuri Wins The Best Husband Award,Victor Has A Lot Of Feelings And No Idea What To Do With Them,Chris Is Up For It Literally All The Time,Victor Is Into Other People Being Into Yuuri,Threesome - M/M/M,Come Sharing,Crying"
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,What Could Have Been,M/M,Semi-Canon,No,08 Jun 2017,"1,532",Mature,Creator Chose Not To Use Archive Warnings,"Time Travel,Time Travel Fix-It,Anxiety,Pining,Light Angst,Fluff and Angst,Loyalty,Dark Victor Nikiforov,just a little,Idiots in Love,Yuri is Done with this Shit,Matchmaker Phichit Chulanont,Angry Yuri Plisetsky,Oblivious Katsuki Yuuri,Sad Katsuki Yuuri,Established Katsuki Yuuri/Victor Nikiforov,Pining Victor Nikiforov,BAMF Katsuki Yuuri,Humor,Fluff"
Yuri!!! on Ice (Anime),Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri/Victor Nikiforov,BF Material,M/M,Semi-Canon,No,01 Oct 2017,"1,531",Teen And Up Audiences,No Archive Warnings Apply,"personal assistant au,despite the summary there's really not much sleeping of any kind involved,i don't know a thing about running magazines my dude"
Yuri!!! on Ice (Anime),Katsuki Hiroko/Katsuki Toshiya,Katsuki Yuuri/Victor Nikiforov,Katsudon,M/M,Semi-Canon,No,28 Mar 2017,"1,531",General Audiences,No Archive Warnings Apply,"Post-Canon,Cooking,Established Relationship,Hiroko's pov,POV Female Character,POV Outsider,Bittersweet Ending,(don't say i didn't warn you),Fandom Trumps Hate"
