fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Hermitcraft SMP,Oliver Brotherhood | Mumbo Jumbo & Charles | Grian,Joel | SmallishBeans/Lizzie | LDShadowLady,A True Hermit,F/M,Semi-Canon,No,25 Dec 2023,27,Mature,"Graphic Depictions Of Violence,Major Character Death","this is really angsty,Angst,Fluff,Death,there isn’t any actual relationships but close friendships,Zombie Apocalypse,Hermitcraft - Freeform,Joel | SmallishBeans Angst,Joel | SmallishBeans-centric,Cat Hybrid Lizzie | LDShadowLady (Video Blogging RPF),Hurt Charles | Grian,grian is a monster,Charles | Grian Angst,Parrot Hybrid Charles | Grian,Event: Empires SMP x Hermitcraft Rift 2022,Disabled Ryan | GoodTimesWithScar,Ryan | GoodTimesWithScar-centric,Hurt Ryan | GoodTimesWithScar,Human Ryan | GoodTimesWithScar,Oliver Brotherhood | Mumbo Jumbo-centric,Human Oliver Brotherhood | Mumbo Jumbo,Oliver Brotherhood | Mumbo Jumbo Angst,Hurt Oliver Brotherhood | Mumbo Jumbo,Goat Hybrid Steffen Mössner | Docm77,Blood and Injury,Friendship,Brotherly Bonding,Team Bonding,Near Death Experiences,Character Death,scar needs a hug,Angst with a Happy Ending,Rivalry,more tags to come,Hermitcraft SMP References,Peace love and plants"
Empires SMP,Jimmy | Solidarity/Scott Major | Smajor1995,Joel | SmallishBeans/Lizzie | LDShadowLady,Ice and fire do not mix,F/M,Semi-Canon,No,17 Jan 2024,27,Teen And Up Audiences,Graphic Depictions Of Violence,"My First Fanfic,Corrupted Scott Major | Smajor1995,Empires SMP Season 1,Scott | Smajor1995 | Dangthatsalongname Needs a Hug,Champion of Exor Xornoth (Empires SMP),Champion of Aeor Scott Major | Smajor1995,Scott | Smajor1995 | Dangthatsalongname Has a Sibling Named Xornoth,Scott | Smajor1995 | Dangthatsalongname Has Ice Powers,Traumatized Scott Major | Smajor1995,Scott Major | Smajor1995-centric,I'm Bad At Tagging,Hurt/Comfort,I Wrote This Instead of Sleeping,Gay Scott Major | Smajor1995,Tags May Change,Author Is Sleep Deprived,How Do I Tag,no beta we die like scott at the end of empires s1,Toothpaste Is An Ex Lawyer,Why Did I Write This?"
3rd Life | Last Life SMP Series,Joel | SmallishBeans/Lizzie | LDShadowLady (Video Blogging RPF),Joel | SmallishBeans/Lizzie | LDShadowLady,"""I don't wanna know I'm not capable Of coming out alive""",F/M,Semi-Canon,No,31 Dec 2023,27,Not Rated,"Graphic Depictions Of Violence,Major Character Death","Joel | SmallishBeans-centric,Joel | SmallishBeans Needs a Hug,Hurt Joel | SmallishBeans,Joel | SmallishBeans Angst,Angst,Other Additional Tags to Be Added,Jimmy | Solidarity and Lizzie | LDShadowLady are Siblings,Jimmy | Solidarity Needs a Hug,Lizzie | LDShadowLady Needs a Hug (Video Blogging RPF),Charles | Grian Needs a Hug,Near Death Experiences,Alternate Universe - High School,Burns,High School,Song: I Wanna Be Yours (Arctic Monkeys),Title from a Mother Mother Song,How Do I Tag"
3rd Life | Last Life SMP Series,Joel | SmallishBeans/Lizzie | LDShadowLady (Video Blogging RPF),Joel | SmallishBeans/Lizzie | LDShadowLady,Dos Oruguitas,F/M,Semi-Canon,No,26 Nov 2023,27,Teen And Up Audiences,Major Character Death,"TW: description and handling of corpses,secret life,Grief/Mourning,Charles | Grian and Jimmy | Solidarity and Pearl | PearlescentMoon are Siblings,Secret Life SMP Setting,Modern Setting,Harry Potter magic system bc this is technically tangentially related to an HP fic,(but only the magic of HP is used. Not any of its characters or other worldbuilding ),BAMF Charles | Grian,Hopeful Ending,no beta we die like lizzie"
The Magnus Archives (Podcast),Joel | Smallishbeans & Martyn | InTheLittleWood,Joel | SmallishBeans/Lizzie | LDShadowLady,Run boy run (they're trying to catch you),F/M,Semi-Canon,No,26 Nov 2023,27,Teen And Up Audiences,"Creator Chose Not To Use Archive Warnings,Graphic Depictions Of Violence","Statement Fic (The Magnus Archives),Original Statement (The Magnus Archives),Canon-Typical Violence,The Hunt Fear Entity (The Magnus Archives),Alternate Universe - The Magnus Archives Fusion,Hurt/Comfort,Angst,Mild Gore,Hunt Avatar Martyn,Hurt Joel | SmallishBeans"
3rd Life | Last Life SMP Series,Joel | SmallishBeans/Lizzie | LDShadowLady (Video Blogging RPF),Joel | SmallishBeans/Lizzie | LDShadowLady,i know you’re strong enough to do this (on your own),F/M,Semi-Canon,No,15 Oct 2023,27,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Letters,Father-Son Relationship,Goodbyes,Alternate Universe - Modern Setting,Alternate Universe - Modern with Magic,Curse AU,Implied/Referenced Character Death,3rd Life | Last Life SMP Series-Typical Character Death,Apologies,Joel | SmallishBeans-centric,they dont actually end up dying but they think they will and act like it"
3rd Life | Last Life SMP Series,Joel | SmallishBeans/Lizzie | LDShadowLady (Video Blogging RPF),Joel | SmallishBeans/Lizzie | LDShadowLady,How To Make Someone Smile Again: A 28 Step Guide,F/M,Semi-Canon,No,13 Oct 2023,27,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Choose Your Own Adventure,Crack,Friendship,Surprise Ending,POV Second Person,Derealization,Unreliable Narrator,Additional Tags Unable To Be Added Due To Spoilers,This Is Not Going To Go The Way You Think,You Have Been Warned,House Party,Fluff,Humor"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott Major | Smajor1995,Joel | SmallishBeans/Lizzie | LDShadowLady,All The Missing Pieces,F/M,Semi-Canon,No,12 Feb 2023,27,General Audiences,No Archive Warnings Apply,"Temporary Amnesia,Fun,Author Projecting onto Scott Major | Smajor1995,Childhood Trauma,yay,How Do I Tag,kind of feels like a scooby doo episode,Ghosts"
Empires SMP,Joel | SmallishBeans/Lizzie | LDShadowLady (Video Blogging RPF),Joel | SmallishBeans/Lizzie | LDShadowLady,sleeping by the dead,F/M,Semi-Canon,No,06 Aug 2022,27,Explicit,"Graphic Depictions Of Violence,Major Character Death","Blood and Injury,Blood and Gore,Blood and Violence,Blood and Torture,Guro,Religious Imagery & Symbolism,Crying,Men Crying,Fucked Up,ventfic,Necrophilia,Poetry,Obsessive Behavior,Unhealthy Coping Mechanisms,Dead Dove: Do Not Eat"
Empires SMP,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Joel | SmallishBeans/Lizzie | LDShadowLady,Flower Husbands Prompts Needed!,F/M,Semi-Canon,No,14 Jun 2022,27,General Audiences,Creator Chose Not To Use Archive Warnings,"How Do I Tag,New Author,Actual Fic Will Be Created When I Have Enough Ideas,Ideas pleeeeeease"
