relType,works,percent
M/M,3831810,52.42171034
F/M,1245858,17.04416639
Gen,1053842,14.41725975
F/F,397593,5.439336783
XReader,367263,5.024402203
Other,239864,3.281499116
Original,116747,1.597176639
Multi,56609,0.7744487855
