year,ship,fandom,Genre,collapsedFandom,totalWorks,relType,isCanon,isRPF
2024,Castiel/Dean Winchester,Supernatural,Fantasy,,105320,M/M,Semi-Canon,No
2024,Draco Malfoy/Harry Potter,Harry Potter,Fantasy,,64661,M/M,No,No
2024,Sherlock Holmes/John Watson,Sherlock,Crime,,63802,M/M,No,No
2024,Derek Hale/Stiles Stilinski,Teen Wolf,Fantasy,,63573,M/M,No,No
2024,"James ""Bucky"" Barnes/Steve Rogers",Marvel Cinematic Universe,Superhero,Marvel,58508,M/M,No,No
2024,Sirius Black/Remus Lupin,Harry Potter,Fantasy,,50280,M/M,No,No
2024,Bakugou Katsuki/Midoriya Izuku,My Hero Academia,Superhero,,42852,M/M,No,No
2024,Steve Rogers/Tony Stark,Marvel Cinematic Universe,Superhero,Marvel,42143,M/M,No,No
2024,Lán Zhàn/Wèi Yīng,Módào Zǔshī,Fantasy,,37617,M/M,Yes,No
2024,Merlin/Arthur Pendragon,Merlin,Fantasy,,33355,M/M,No,No
2024,Rey/Kylo Ren,Star Wars,Science Fiction,Star Wars,26933,F/M,Yes,No
2024,Lily Evans Potter/James Potter,Harry Potter,Fantasy,,26747,F/M,Yes,No
2024,Pepper Potts/Tony Stark,Marvel Cinematic Universe,Superhero,Marvel,21520,F/M,Yes,No
2024,Hermione Granger/Ron Weasley,Harry Potter,Fantasy,,20895,F/M,Yes,No
2024,Harry Potter/Ginny Weasley,Harry Potter,Fantasy,,17430,F/M,Yes,No
2024,Tenth Doctor/Rose Tyler,Doctor Who,Science Fiction,,15332,F/M,Semi-Canon,No
2024,Kylo Ren/Rey,Star Wars,Science Fiction,Star Wars,15149,F/M,Yes,No
2024,Fox Mulder/Dana Scully,The X-Files,Science Fiction,,14204,F/M,Yes,No
2024,Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians,Fantasy,,14172,F/M,Yes,No
2024,Bellamy Blake/Clarke Griffin,The 100,Science Fiction,,13855,F/M,No,No
2024,Lena Luthor/Kara Zor-El,Overwatch,Video Game,,20349,F/F,No,No
2024,Kara Danvers/Lena Luthor,Supergirl (TV 2015),Superhero,DC Comics,20315,F/F,No,No
2024,Evil Queen | Regina Mills/Emma Swan,Once Upon a Time (TV),Fantasy,,14802,F/F,No,No
2024,Amity Blight/Luz Noceda,The Owl House,Fantasy,,12391,F/F,Yes,No
2024,Clarke Griffin/Lexa,The 100,Science Fiction,,12175,F/F,Yes,No
2024,Adora/Catra,She-Ra and the Princesses of Power (2018),Fantasy,,11360,F/F,Yes,No
2024,Marlene McKinnon/Dorcas Meadowes,Harry Potter - J. K. Rowling,Fantasy,,8623,F/F,No,No
2024,Robin Buckley/Nancy Wheeler,Stranger Things,Thriller,,8307,F/F,No,No
2024,Blake Belladonna/Yang Xiao Long,RWBY,Fantasy,,7582,F/F,Yes,No
2024,Korra/Asami Sato,Avatar: The Last Airbender,Science Fiction,,7122,F/F,Yes,No
