year,ff_no,ff_semi,ff_yes,mm_no,mm_semi,mm_yes,fm_no,fm_semi,fm_yes
2013,27.83933518,0,72.16066482,82.50700183,10.61731824,6.87567993,14.14901554,4.197346654,81.65363781
2014,51.03575482,0,48.96424518,79.23236201,11.8165621,8.95107589,17.25207933,4.021113244,78.72680742
2015,27.30480812,5.006616674,67.68857521,78.70193223,12.40173366,8.89633411,23.49263815,7.989017792,68.51834406
2016,27.93990301,5.76073779,66.2993592,77.97553331,12.27321238,9.751254309,22.90496985,15.23070169,61.86432846
2017,31.44130156,7.494768109,61.06393033,76.82573855,11.71185948,11.46240197,22.82014396,15.92101126,61.25884477
2018,0,0,0,0,0,0,0,0,0
2019,40.80798281,6.29662994,52.89538725,77.16285714,10.44750262,12.38964024,24.18296847,11.57406182,64.24296971
2020,43.01947757,5.491114379,51.48940805,76.7004388,9.867161876,13.43239933,23.93461763,10.97310798,65.09227439
2021,42.66492606,5.563033154,51.77204078,76.64987155,9.206454133,14.14367432,24.5273999,12.08504449,63.38755561
2022,46.30000682,6.392299624,47.30769356,77.06207188,8.437294899,14.50063322,24.53470706,12.10690769,63.35838525
2023,49.71590371,6.136425774,44.14767052,77.84389375,7.787901271,14.36820498,25.100899,12.28888928,62.61021172
2024,52.48598184,5.821785263,41.6922329,78.2716342,7.691670198,14.0366956,24.53237109,12.90560048,62.56202843
